|joey|rachel|monica|phoebe|chandler|ross|other
valid|0|0|0|0|0|2|1
phenomenal|0|0|0|0|0|0|5
longer|5|6|5|3|4|5|6
sweep|1|4|1|1|0|2|1
sweeping|1|0|0|1|1|2|1
sorta|3|4|2|4|0|1|5
fella|1|0|1|1|1|1|4
sweeper|0|0|0|1|0|0|0
physicists|0|0|0|1|0|0|0
rrrreally|0|0|0|0|0|0|1
expensive|3|1|4|3|3|3|6
tidying|0|0|0|1|0|0|0
hop|1|1|1|3|2|5|4
phrase|0|0|2|1|2|2|0
bobby|5|5|3|1|4|3|12
catching|0|2|3|1|2|1|1
earlier|3|3|3|1|1|6|5
flight|3|6|7|4|0|4|14
elf|1|0|0|0|0|0|1
onell|0|1|0|0|0|0|0
dragging|0|0|2|1|0|1|0
hands|22|14|10|11|9|7|25
blast|2|0|0|1|1|2|0
watched|2|6|2|2|5|0|1
juggling|0|0|0|1|1|1|0
taught|7|6|1|5|4|2|3
melon|1|0|1|0|3|0|0
max|1|0|0|3|2|0|1
bags|2|4|3|3|1|1|5
minsk|0|0|0|12|0|0|16
russia|0|0|0|4|0|0|1
grant|1|0|0|1|0|5|12
expenses|0|0|0|0|0|0|1
paid|11|4|10|4|9|4|3
january|0|0|1|0|0|1|2
lifson|0|0|0|0|0|0|1
yamaguchi|0|0|0|0|0|0|1
flench|0|0|0|0|0|0|1
nonononononono|0|0|0|0|0|0|1
maxs|0|0|0|0|0|0|1
artichoke|0|0|0|0|0|0|1
diet|0|5|2|0|2|0|3
sandy|4|5|0|0|0|3|3
par|0|0|0|0|0|2|0
tay|0|0|0|0|1|6|1
greet|0|0|0|0|0|1|0
guests|0|0|2|3|0|1|0
urinate|0|0|1|0|0|0|0
embarrassed|1|4|2|3|6|2|6
walk|25|15|18|15|20|15|10
mingling|0|0|0|0|0|1|0
gosh|0|15|13|4|1|0|12
jerk|4|7|3|2|3|3|5
bloated|1|0|0|1|0|0|0
airport|4|5|5|6|5|8|6
cab|7|7|2|15|2|18|12
blonde|1|4|0|1|2|1|4
planet|0|2|1|1|1|1|1
pocketbook|0|1|0|0|0|0|0
blowing|1|1|0|0|0|2|1
whistle|0|2|1|2|1|0|0
thingy|0|1|1|1|0|0|0
cabs|0|1|0|1|1|1|0
tackles|0|1|0|0|0|0|0
kerb|0|1|0|0|0|0|0
eating|10|3|6|1|6|5|5
dip|1|1|0|0|0|1|2
mentally|0|1|0|0|0|1|2
undressed|0|0|0|0|0|0|1
haaah|0|0|0|0|0|0|1
camera|7|3|7|0|2|2|6
grandfather|0|1|0|0|2|1|3
reunited|0|0|0|0|1|0|1
glitter|0|0|1|0|0|0|1
necessarily|1|0|1|0|1|0|1
misunderstood|0|0|2|0|1|1|1
yoko|0|0|0|0|0|0|1
belong|1|0|0|3|2|0|0
tearing|0|0|2|1|0|0|1
arms|3|2|1|3|2|2|4
midnight|4|1|1|1|4|3|6
virtual|0|0|0|0|0|0|1
snowstorm|0|0|0|0|0|0|1
confetti|0|0|0|0|0|0|1
bedroom|5|13|10|8|9|3|11
geek|0|3|0|1|3|0|1
vrrbddy|0|1|0|0|0|0|0
bll|0|2|0|0|0|0|0
drrbing|0|2|0|0|0|0|0
joy|0|0|1|5|2|2|0
upon|0|1|1|0|1|5|3
whiz|0|0|0|0|1|0|0
alrightalrightalright|1|0|0|0|0|0|0
changing|5|5|1|6|2|2|4
diapers|0|2|0|1|0|4|2
pickin|0|0|0|0|0|1|0
fleas|0|0|0|0|0|1|0
phoning|0|0|0|0|0|1|0
cracked|1|1|1|0|1|1|1
tooth|2|3|0|1|1|0|0
yesterdays|1|0|0|1|0|1|0
daily|0|0|0|1|0|0|1
horoscope|0|1|0|1|0|0|0
potential|0|0|1|0|0|0|1
hearts|1|0|1|2|1|0|0
plunge|0|0|1|0|0|0|1
depression|0|0|1|0|1|0|0
momma|3|0|0|1|0|0|1
woo|3|6|7|8|2|5|10
hoo|5|3|4|6|7|8|2
scout|0|0|0|1|0|0|0
bet|23|17|28|15|13|11|13
lawyer|0|4|3|3|0|0|9
dents|0|0|0|1|0|0|0
knuckles|0|0|0|2|0|0|0
artistic|0|0|0|1|0|0|0
teaches|1|0|2|1|0|1|0
sculpting|0|0|1|0|0|0|0
dance|10|2|19|13|16|10|31
conscious|1|0|1|0|1|1|1
woowoo|2|0|0|0|0|0|0
book|17|20|12|17|24|15|20
euphoria|0|1|0|1|0|0|1
unbound|0|0|0|0|0|0|1
nora|0|0|0|0|0|1|3
tyler|0|0|1|0|0|0|1
weekend|8|9|10|8|12|12|8
bernies|0|0|0|0|2|0|0
showtime|0|0|0|0|1|0|1
hbo|0|0|0|0|1|0|0
cinemax|0|0|0|0|1|0|0
groin|0|0|0|0|1|0|0
passing|0|0|0|1|2|1|0
page|5|1|4|1|6|5|2
79|0|0|0|0|2|0|0
mistress|0|0|1|0|1|0|1
bona|0|0|0|0|0|0|1
sera|0|0|0|0|0|0|1
rigatoni|0|0|0|0|0|1|0
explode|1|1|0|1|0|1|0
fire|23|9|20|12|11|11|13
arrested|0|0|1|2|1|1|3
london|18|7|16|8|12|13|7
busy|4|3|1|5|6|2|9
beaming|0|0|0|1|1|0|0
pride|0|0|2|3|5|1|0
embarrassing|6|7|2|2|3|3|4
occasionally|1|0|0|0|1|0|2
intimate|0|0|1|1|0|1|1
craving|0|0|1|2|0|0|1
kung|0|1|0|0|1|0|1
pow|0|0|0|0|1|0|1
tour|2|1|0|1|0|1|5
son|8|6|4|7|5|29|28
somehow|3|2|0|1|1|4|2
fabulous|0|2|1|0|1|0|3
condoms|1|2|0|0|4|1|1
burst|1|0|0|0|3|0|0
flames|0|0|0|0|2|0|0
congress|0|0|1|0|0|0|1
debating|0|0|1|0|0|0|0
deficit|0|0|1|0|0|0|0
reduction|0|0|1|0|0|0|0
fares|0|0|1|0|0|0|0
teams|1|0|2|1|1|1|0
sports|3|1|1|0|8|2|1
glen|0|0|0|2|0|0|0
agamemnon|0|0|0|1|0|0|0
famished|0|0|0|0|0|0|1
dive|3|0|0|1|0|1|0
tequila|0|0|3|1|1|1|2
shots|5|0|3|1|2|1|2
drinking|3|5|3|5|4|6|6
appraise|0|0|0|0|0|1|0
written|1|3|1|2|2|5|8
writer|0|1|1|0|0|2|0
dozen|0|0|1|0|0|1|2
european|0|2|1|0|0|0|1
cities|1|0|0|0|0|1|1
euphemisms|0|0|0|0|0|0|1
male|0|1|1|0|6|6|4
genitalia|0|0|0|0|0|0|1
myyy|0|0|0|0|1|0|0
messages|1|5|4|1|1|5|6
226|0|0|0|0|0|0|1
slugger|0|0|0|0|0|0|1
licker|0|0|0|0|0|0|1
licking|0|0|1|0|2|1|1
sold|4|2|5|3|5|3|9
copies|1|1|1|2|1|1|2
nipples|1|4|1|0|5|2|5
showing|2|4|2|0|4|6|2
sell|5|4|3|5|4|6|12
pages|5|1|2|1|0|8|2
secondary|0|0|0|0|0|0|1
complication|0|0|0|0|0|0|1
uhhhh|3|0|0|0|0|1|0
bizarro|1|0|0|0|0|0|0
code|5|0|1|1|3|2|2
sisters|5|11|3|6|3|5|6
lookin|5|0|0|0|1|0|1
discussed|0|1|2|0|0|1|0
racquetball|0|0|2|0|1|2|3
overslept|1|0|0|0|0|1|0
racket|1|0|0|0|0|0|1
restrung|0|0|0|0|0|1|0
grip|2|0|0|0|0|2|0
scum|0|0|0|0|0|3|0
regular|6|6|4|8|5|4|3
gloria|1|0|0|0|1|1|0
handsome|3|4|3|2|1|0|1
birth|6|3|3|16|1|1|6
area|2|2|3|7|6|5|6
raquetball|0|0|0|0|1|1|0
forgot|13|17|18|9|4|13|13
goggles|0|1|0|1|1|2|1
ciao|0|0|0|0|0|0|1
bela|0|0|0|0|0|0|1
jockstrap|1|0|0|0|0|0|1
pajamas|0|0|1|1|0|0|0
drun|0|0|0|0|0|1|0
woulda|1|0|0|0|0|0|0
crap|6|6|4|16|9|5|13
slam|0|0|0|0|1|0|0
undone|0|0|1|0|0|0|1
karen|2|0|1|2|1|0|2
chapter|1|2|0|0|1|0|3
liberated|0|1|0|0|0|0|0
denim|0|1|0|1|0|0|1
j|2|0|1|4|8|2|5
engorged|0|0|1|0|0|0|0
hospital|5|10|6|8|4|13|16
trick|1|2|1|4|2|3|6
knockout|1|0|0|0|0|0|0
conversation|3|7|8|4|5|12|9
kisser|4|4|3|1|1|1|0
sets|1|0|0|0|1|3|1
expect|3|3|3|2|8|8|2
freudian|0|0|0|0|1|0|0
nightmare|0|3|1|0|2|3|1
behaves|0|0|0|0|0|1|0
complex|1|0|1|0|1|0|1
rehearsing|1|0|0|0|0|1|1
greek|1|2|0|0|1|1|1
tonsil|0|0|0|0|1|0|0
tennis|0|0|2|3|4|0|2
knee|2|3|0|1|0|6|3
aaah|0|1|0|1|1|2|0
whadyou|0|0|0|1|0|0|0
woozy|0|0|0|0|0|0|1
etch|0|0|0|0|0|0|1
sketch|1|2|1|0|0|1|1
massager|0|0|2|0|0|0|0
shaved|0|0|0|1|0|0|0
sang|2|3|0|2|1|2|0
cars|1|0|0|0|1|3|2
lisbon|0|0|0|0|0|0|1
effect|0|0|0|0|1|0|0
o|11|13|2|4|19|18|9
forbidden|1|0|0|1|0|2|1
bomb|1|1|2|0|0|1|0
spelling|1|1|0|1|0|1|0
upside|2|1|0|0|2|1|1
kiddo|0|0|0|1|1|0|1
nota|0|0|0|0|1|0|1
howdya|0|0|0|0|0|1|0
absolute|0|1|0|1|0|0|0
opinion|1|4|2|3|2|2|1
reaching|1|2|0|0|1|0|0
heaving|1|1|0|0|0|0|0
beasts|1|1|0|0|0|0|0
niffle|0|0|1|0|0|0|0
usually|10|1|5|3|5|1|8
typist|0|1|0|0|0|0|0
throbbing|0|0|0|0|0|1|0
pens|0|0|0|0|0|1|1
writing|4|2|7|11|9|6|3
syl|0|0|3|0|0|0|0
lasagna|2|0|4|1|0|1|0
meats|0|0|1|0|0|1|0
layer|2|4|1|1|1|0|0
scrape|0|0|1|0|0|0|0
plunk|0|0|0|0|0|1|0
uterus|0|2|1|5|1|3|4
compass|0|0|0|0|1|1|0
placenta|0|0|0|1|0|0|0
yogurt|1|0|0|2|1|0|0
caterer|0|0|6|2|0|0|1
lasagnas|1|0|4|0|0|0|0
uncle|7|5|2|1|2|10|6
freddie|0|0|1|0|0|0|0
mommy|5|7|1|1|4|10|4
poconos|0|2|1|0|0|0|0
poc|0|1|0|0|0|0|0
nos|0|1|0|0|0|0|0
poke|3|1|0|0|0|0|1
mma|0|0|0|0|0|0|2
mmaah|0|0|0|0|0|0|1
fling|1|5|0|0|3|1|0
flung|0|2|0|0|0|1|0
danielle|0|1|0|0|5|0|0
steele|0|1|0|0|0|0|0
nauseous|0|1|0|2|0|2|0
physically|0|1|1|0|1|4|0
immigration|0|0|0|0|0|2|0
babies|15|20|17|30|15|7|25
toes|1|3|2|0|0|2|4
mmwa|0|0|0|0|0|1|0
sends|0|1|0|0|1|1|0
meat|7|0|8|15|2|1|1
results|0|0|0|0|1|1|4
amnio|0|0|0|0|0|0|1
uhh|50|23|7|4|20|33|29
huey|0|0|0|0|0|1|0
lewis|0|1|4|0|0|3|1
tanya|0|0|0|0|0|2|1
image|0|0|0|0|3|3|0
yaw|0|0|0|0|0|1|0
oop|0|0|1|2|1|2|0
certainly|1|3|3|5|3|3|11
mmmwa|0|0|0|0|0|2|0
deb|0|0|0|0|0|0|1
rona|0|0|0|0|0|0|1
adventure|0|1|0|0|2|0|1
delvecchio|0|0|0|0|1|0|0
impressions|0|1|1|0|2|1|0
imagination|0|1|0|2|1|0|0
commitment|3|1|4|3|5|3|1
kip|4|2|0|0|3|0|0
hibachi|0|0|0|0|2|0|0
changes|2|2|3|1|1|0|2
schedule|2|0|1|2|1|4|7
4|5|2|14|3|5|4|12
00|4|1|0|3|8|3|5
herbal|1|0|0|3|0|0|2
massage|0|5|5|35|4|3|6
pushed|1|1|1|1|4|0|2
30|8|10|4|2|10|13|20
somerfield|0|0|0|0|0|0|1
canceled|3|1|0|0|1|0|3
5|11|2|12|3|8|6|7
shiatsu|0|0|0|0|0|0|1
3|6|3|10|5|8|4|11
unprofessional|0|0|0|0|0|0|1
yum|1|1|0|1|2|0|4
buon|0|0|0|0|0|0|1
bella|0|0|0|0|0|0|1
racquela|0|0|0|0|0|0|1
eh|15|8|7|6|19|22|14
racquelas|0|0|0|1|0|0|0
whoops|2|4|0|1|1|3|1
sorts|0|0|0|2|0|0|1
cappuccino|0|1|0|0|0|1|2
closes|1|2|0|0|2|0|0
ooooohh|0|0|0|0|0|0|1
scouts|0|0|0|3|2|0|0
camped|0|0|0|2|0|0|0
oooooo|0|0|0|0|0|0|1
ooo|0|6|1|1|0|0|0
uma|0|1|0|1|0|0|0
thurman|0|1|0|1|0|0|0
actress|4|3|1|1|1|1|2
moral|0|0|0|2|0|1|0
obligation|0|0|0|0|0|1|0
feminist|1|0|0|0|0|1|0
patio|1|0|0|0|1|0|0
ladybugs|1|0|0|0|0|0|0
insects|0|0|0|0|1|1|0
suggest|0|2|0|0|3|0|0
dining|0|1|1|0|1|0|0
suitcases|0|1|0|0|0|0|0
oatmeal|1|1|0|1|0|0|0
raisin|1|0|0|1|0|0|0
tasted|0|1|1|2|2|3|0
proves|0|0|0|2|1|0|0
balance|0|0|1|0|1|1|0
plates|4|1|10|1|3|0|1
cares|6|1|8|7|2|12|6
sink|1|1|4|2|0|0|2
suck|10|0|11|9|6|4|5
pig|3|7|2|1|4|0|1
charming|1|2|5|2|3|0|1
kicked|3|2|1|6|4|5|1
butts|3|4|0|0|0|5|0
olympic|1|0|0|0|0|0|0
swoop|1|0|1|0|2|4|0
walks|3|6|2|0|1|3|2
sees|2|4|2|2|3|4|5
anti|1|1|0|0|1|2|0
catholic|2|0|0|0|1|0|1
distraught|0|0|0|0|1|0|0
stare|4|0|1|0|1|1|1
throwing|3|4|6|3|3|3|5
balcony|0|1|3|2|7|4|3
gesturing|0|0|2|0|0|0|0
arm|4|3|2|2|4|5|7
waving|2|0|2|0|0|0|1
enormous|0|0|1|1|0|0|0
375|0|0|1|0|0|0|0
grazie|0|0|0|0|0|0|1
overwhelmed|0|0|0|0|0|1|0
ohhhh|4|6|4|1|1|2|5
medium|0|3|1|2|0|0|0
swearing|0|0|0|0|1|1|2
altogether|0|0|0|0|0|1|1
develop|0|0|0|1|1|1|0
screening|0|0|0|0|3|2|0
process|1|2|2|3|3|2|3
2|12|5|16|2|11|7|17
hanging|11|4|7|7|9|4|4
wussies|0|0|1|0|0|0|0
barge|0|2|1|2|0|0|0
anybodys|0|1|1|0|1|0|0
privacy|3|1|1|1|1|2|1
relatively|0|0|0|0|1|0|0
weave|0|0|0|0|2|0|0
nipular|0|0|0|0|1|0|0
areas|0|1|0|0|2|1|0
patient|1|1|0|3|1|0|2
rings|4|2|0|3|0|2|1
takes|17|7|3|9|1|9|8
oops|1|6|3|2|0|1|5
shrink|0|0|3|1|2|0|1
shrinky|0|0|0|1|0|0|0
vinyl|0|0|0|1|0|0|0
okaaay|0|1|0|0|2|0|1
boobies|1|0|0|1|4|2|0
telescope|1|0|2|0|1|0|0
box|10|9|16|10|11|10|9
donuts|1|0|0|0|3|0|1
rock|5|4|2|3|7|6|2
sparky|0|0|0|0|1|0|0
intimacy|0|1|0|0|1|0|1
humour|0|0|0|0|1|0|2
adam|0|2|0|1|0|0|2
puberty|0|1|0|0|0|0|2
textbook|0|0|0|0|0|0|1
mid|0|0|0|1|0|1|3
town|4|5|4|10|7|8|16
hauling|0|0|0|0|0|0|1
ferry|1|0|0|0|0|4|2
roger|0|1|7|5|5|0|1
puppet|0|0|2|2|1|1|1
ma|9|0|0|0|0|4|1
appointment|2|4|4|3|1|3|2
bazida|1|0|0|0|0|0|0
ronni|2|1|0|0|0|0|4
pet|0|1|0|3|3|5|3
mortician|0|0|0|0|0|0|1
navy|0|2|1|1|0|0|2
yard|0|0|3|2|1|0|1
ships|0|0|0|0|0|0|2
memory|2|0|3|1|0|1|3
yever|0|0|0|0|0|0|1
yhave|0|0|0|0|0|0|1
burning|1|1|0|2|1|2|3
tomatoes|0|0|2|0|2|2|3
ems|0|0|0|0|0|0|1
leading|2|2|0|1|0|0|1
spy|1|0|0|0|0|1|0
cia|1|0|0|0|0|0|0
staring|2|5|5|4|9|6|3
adults|1|2|1|0|2|4|0
resolve|0|0|0|0|0|1|0
tit|0|1|0|0|0|0|1
tat|0|1|0|0|1|0|0
rog|1|0|0|0|1|0|1
analytical|0|0|0|0|0|1|0
level|5|1|2|1|4|2|4
marriage|5|6|10|8|17|30|17
fail|0|0|0|0|0|2|1
low|2|1|4|0|4|3|2
esteem|0|0|0|0|0|0|1
compensate|0|0|0|0|0|0|1
overshadowing|0|0|0|0|0|0|1
sibling|0|0|1|0|0|0|2
conceivable|0|0|0|0|0|0|1
sabotage|0|0|0|0|0|0|2
failure|0|0|1|0|0|0|1
guilty|1|4|4|0|1|5|1
failures|0|0|0|0|0|1|0
sucking|1|1|3|2|0|0|1
liking|0|1|1|2|1|2|1
weebles|0|3|0|0|0|0|0
weeble|0|1|0|0|0|0|0
palace|1|1|0|0|1|0|0
cruise|2|1|0|0|0|0|1
ship|2|3|2|3|0|3|2
lifeboat|0|1|0|0|0|0|0
wobble|0|1|0|0|0|0|0
geez|2|2|0|0|2|1|1
cuter|0|2|2|0|0|1|4
pictures|3|5|8|2|7|7|5
nip|0|0|0|0|1|0|1
embolism|0|0|0|1|1|0|0
pets|0|1|0|1|0|0|3
laid|1|0|0|2|1|3|1
pose|0|0|0|0|0|0|1
chasing|0|0|1|0|4|0|1
tail|1|2|0|0|1|1|1
jumping|1|2|0|0|1|3|1
frisbee|0|0|0|0|0|0|1
ronnis|1|0|0|0|0|0|0
babe|0|3|0|1|6|0|3
kerplunk|0|0|0|0|1|0|0
train|0|2|2|4|0|4|5
wherem|0|0|0|0|0|0|1
hotel|5|3|7|2|5|9|4
mister|2|3|4|3|4|2|5
strict|0|0|0|0|1|1|2
followed|0|3|0|1|1|0|0
starting|7|2|3|7|6|6|11
kicky|0|0|0|0|1|0|1
pancakes|4|2|2|0|1|0|2
fitting|0|0|0|0|1|0|2
guts|0|1|3|0|2|0|2
ours|0|2|5|3|4|2|3
rappelano|0|0|0|0|0|0|1
bathrooms|0|1|0|1|0|0|3
fasten|0|1|0|0|0|0|0
seatbelts|0|1|0|0|0|0|0
trib|0|1|0|0|0|0|1
rogers|2|0|0|2|0|0|2
perceptive|0|0|0|1|0|0|0
freaks|0|1|0|1|0|3|0
oww|3|3|1|0|0|3|2
garbage|1|2|2|3|5|3|3
gods|2|0|0|2|2|1|7
sake|1|1|1|2|1|1|4
james|0|3|2|7|6|2|3
bond|2|3|0|2|1|4|4
accountants|0|1|0|0|0|0|1
shop|8|6|0|0|5|5|9
bottle|3|5|4|2|3|12|2
hobby|0|0|0|0|0|0|1
disrespectful|1|0|0|0|0|0|0
ideal|0|0|2|0|0|1|1
sting|0|1|1|6|1|1|2
poodle|0|0|0|0|1|0|1
stuffer|0|0|0|0|0|0|1
ashamed|1|1|0|2|1|0|1
attentive|0|0|0|0|0|0|1
loving|1|5|0|1|4|0|4
anniversary|1|2|10|10|7|3|6
prettier|1|0|0|0|0|1|2
aaaah|1|0|0|0|0|0|2
wonderfulness|0|0|0|1|0|0|0
creepy|0|1|3|6|1|2|4
behaviour|0|0|1|0|0|0|2
dysfunctional|0|0|0|0|0|0|1
dynamic|0|0|0|0|0|0|1
dependant|0|0|0|0|0|0|1
emotionally|0|1|1|1|0|1|1
stunted|0|0|0|0|0|1|1
cups|5|3|3|10|7|2|3
cheating|3|2|2|0|5|2|2
tina|1|0|0|0|0|0|0
restraining|1|0|0|1|1|0|0
changed|3|7|7|6|5|3|13
waltons|0|0|0|0|1|0|0
mountain|2|0|1|0|3|1|1
mistakes|1|1|1|0|0|0|0
alcoholic|0|1|0|0|1|0|1
blond|3|1|1|2|1|1|1
tracks|1|1|0|0|0|0|0
boobie|1|0|0|0|0|0|0
payback|1|0|0|0|0|0|0
express|1|0|0|0|2|0|0
lent|0|4|1|0|0|1|0
egg|5|0|2|3|4|3|1
returning|1|2|2|2|0|0|3
winning|2|1|5|2|2|2|1
insane|0|3|6|1|5|9|6
mans|5|1|0|0|3|0|1
valentines|0|0|0|2|1|1|3
depends|1|2|1|1|1|2|0
bail|2|0|0|0|0|1|0
needy|1|0|0|1|6|1|0
vulnerable|2|0|1|0|0|1|0
thinkin|8|1|1|2|0|3|2
cha|3|3|0|1|0|1|0
ching|2|1|0|0|0|0|0
trading|0|1|0|2|2|0|1
coats|0|2|2|1|1|4|5
wash|3|2|4|1|1|1|5
zinfandel|0|0|0|0|0|0|2
makin|3|0|0|0|1|0|0
waitin|4|0|0|0|1|0|0
lorraine|1|0|0|0|0|0|0
yellin|1|0|0|0|0|0|0
compared|2|3|0|1|0|0|1
pete|2|6|18|3|3|1|4
carney|0|2|1|0|0|0|0
weeper|0|1|0|0|0|0|0
crying|6|12|15|6|12|2|4
howard|0|0|1|1|0|3|22
win|11|23|22|10|30|15|5
jerks|1|1|0|3|0|0|0
magnets|0|0|2|0|0|0|0
digital|0|2|0|1|0|0|0
abby|0|0|0|1|0|0|0
shaves|0|0|0|1|0|0|0
ritual|0|1|1|1|0|1|0
voluntarily|0|1|0|0|2|0|0
chant|0|0|0|1|0|0|1
burnings|0|1|1|0|0|0|0
quarters|2|0|2|2|1|0|1
rolls|2|0|0|0|0|0|1
puppets|1|0|0|1|0|1|2
theater|2|0|0|1|2|1|2
cruelty|0|0|0|0|0|0|1
slather|1|0|0|0|0|0|0
lick|1|1|1|0|2|0|1
slathering|1|0|0|0|0|0|0
mousses|0|0|0|0|0|0|1
dinners|1|0|5|0|0|1|0
throws|1|0|1|0|2|1|1
enjoyed|0|0|1|2|3|0|6
stickin|0|0|0|0|0|0|1
zipper|0|1|0|0|0|0|1
dessert|3|7|3|2|3|1|3
screen|0|1|4|2|2|2|5
overpriced|0|1|0|0|1|0|0
champagne|1|1|3|0|5|5|2
rob|0|1|0|1|1|0|1
roy|0|1|2|0|1|0|0
rache|2|1|3|0|1|4|0
reunion|0|0|0|1|0|0|1
experience|4|4|1|3|4|6|8
jet|0|0|0|1|2|1|0
lag|0|0|0|0|0|1|0
human|3|6|0|8|6|5|5
flies|0|0|0|0|0|1|0
angeles|0|0|0|0|0|1|0
loses|1|1|0|3|1|1|0
personal|8|4|1|3|3|6|6
lovers|1|0|1|1|0|0|3
label|0|0|4|0|0|3|0
helloo|0|0|0|1|0|1|1
sage|0|0|0|1|0|0|0
branches|0|0|0|1|0|1|0
sacramental|0|0|0|1|0|0|0
oregano|0|0|1|0|0|0|0
fresca|0|0|1|0|0|0|0
semen|0|0|0|1|0|0|0
righteous|0|0|0|2|1|0|0
barrys|0|1|0|0|0|0|1
letters|0|1|1|0|3|3|4
ritters|0|1|0|0|0|0|0
boxer|2|1|0|1|1|0|2
shorts|0|2|0|0|5|0|1
receipt|0|1|0|1|1|0|2
nokululu|0|0|0|1|0|0|0
oon|0|0|0|1|0|0|0
scotty|0|0|1|0|0|0|0
jared|0|0|1|0|0|0|0
paulos|0|1|0|0|0|0|0
grappa|0|1|0|0|0|0|0
pure|3|0|1|0|2|2|2
matchmaker|0|0|0|0|0|0|1
few|12|5|18|5|9|8|23
peoplell|0|0|0|0|1|1|0
scooch|0|0|0|0|0|2|1
guysll|0|0|0|0|0|1|0
scooching|0|0|0|0|0|1|1
kristen|2|0|0|0|0|3|4
riggs|0|0|0|0|0|1|0
kristin|0|0|0|0|0|3|0
funnily|0|0|0|0|0|1|0
cards|2|2|4|4|3|8|5
charred|0|0|0|0|0|0|1
hairier|0|0|0|0|0|0|1
chief|0|0|0|0|1|0|1
bonfire|0|0|0|0|0|0|2
busiest|0|0|0|0|0|0|1
loaded|0|0|0|0|1|0|0
chan|4|0|2|0|4|1|1
jan|1|0|0|0|2|0|0
ending|2|1|1|1|0|1|1
seek|0|0|0|1|1|1|1
deep|3|1|3|7|1|3|6
soul|0|0|5|6|3|0|1
foghorn|0|0|0|1|0|0|1
wolverine|0|0|0|0|0|0|1
coat|4|8|2|9|5|8|11
perfectly|1|2|4|1|2|5|4
talkin|2|0|2|1|1|3|3
wacky|0|0|0|0|0|1|0
pin|2|2|0|0|1|1|5
deny|0|2|0|0|1|2|0
besides|4|5|9|3|6|12|9
carrying|2|2|1|3|3|4|0
somethin|10|0|0|0|2|3|2
truck|2|2|1|1|1|2|1
bell|3|1|1|3|3|2|3
firemen|0|1|0|0|0|0|0
swizzel|0|0|0|0|0|0|1
eraser|0|0|0|0|0|0|1
tedlock|0|0|0|0|0|0|1
flattering|0|0|2|0|1|1|1
length|0|0|1|0|1|0|1
kostelick|0|0|0|0|0|0|1
office|6|36|10|15|22|17|31
prank|0|0|0|0|0|0|1
memos|0|0|0|0|0|0|1
tells|1|3|4|1|1|6|6
processing|3|0|1|0|0|0|3
supervisor|0|3|0|0|0|0|1
temp|0|1|0|0|0|0|2
promotion|0|0|0|1|0|0|2
admitting|0|0|0|0|0|0|1
worrying|1|4|1|1|2|1|1
wenus|0|0|0|0|3|0|5
weekly|0|0|1|0|2|0|1
estimated|0|0|0|0|1|0|1
net|0|0|0|0|3|0|2
usage|0|0|0|0|1|0|2
systems|0|0|0|0|1|1|2
term|0|1|1|4|4|1|1
client|1|0|1|11|0|0|5
chef|3|1|17|5|5|5|19
cheffing|0|0|0|0|0|0|1
ecclectic|0|0|0|0|0|0|1
create|0|0|2|2|1|0|4
menu|0|0|1|2|0|1|3
phoeb|0|0|0|0|0|0|1
shirt|8|7|6|7|8|12|11
suity|0|0|0|0|0|0|1
robert|2|1|1|4|1|0|4
pillman|0|0|0|0|0|0|1
counselor|0|0|0|1|0|1|2
gogo|0|0|0|0|0|0|2
added|1|1|1|2|0|2|2
goals|0|1|0|0|1|0|1
dreams|1|1|1|1|1|1|2
lesser|0|1|0|0|0|1|0
speech|11|2|3|4|5|8|10
10th|0|1|0|0|0|1|1
formerly|0|0|1|0|0|1|2
owned|0|3|0|0|0|1|1
bears|0|0|1|0|0|2|3
audition|49|4|4|6|9|9|15
ahh|27|20|3|18|27|19|40
yummy|0|1|0|7|2|0|3
noises|0|1|2|2|2|0|4
neighborhood|0|1|1|0|0|2|5
tonys|1|0|0|0|0|0|0
32|1|0|0|0|3|0|1
ounce|1|0|0|0|0|0|0
steak|4|1|1|2|2|0|1
ahem|0|0|0|0|0|4|1
puma|0|0|0|0|0|1|0
bug|2|2|2|1|2|4|2
bzzzz|0|0|0|0|0|0|1
celia|1|0|0|0|0|2|0
curator|0|0|0|0|0|2|0
introduce|1|2|1|0|3|5|5
monkey|13|5|7|1|9|27|19
metaphorically|0|0|0|0|0|0|1
chick|16|2|0|3|18|0|4
magnet|1|2|1|0|0|0|0
furry|1|0|0|1|0|0|0
seal|1|0|0|1|0|0|0
claws|0|0|1|3|0|1|1
salmon|1|3|5|2|0|4|2
mousse|0|0|0|0|1|1|4
creamier|1|0|0|0|0|0|0
fish|4|3|3|7|11|3|6
aptitude|0|0|0|0|0|1|1
tests|0|0|3|0|2|0|4
intelligence|0|0|0|1|0|0|1
personality|0|1|0|1|2|0|1
learn|10|9|5|10|10|5|9
ideally|0|0|0|0|0|0|1
suited|1|0|0|0|2|0|1
data|0|0|1|0|3|2|1
large|2|2|0|0|4|2|7
multinational|0|0|0|0|0|0|1
corporation|0|0|0|0|0|0|1
pictured|1|0|0|0|0|0|4
thisll|1|1|0|0|0|1|2
cheer|1|2|1|3|4|2|4
grape|0|1|0|1|1|2|1
appetizer|0|0|1|1|0|0|2
french|7|4|1|7|1|3|6
amouz|0|0|0|0|0|0|3
bouche|0|0|0|0|0|0|2
ing|0|0|1|1|0|0|3
wendy|1|0|2|1|1|1|7
