Monica|2| Okay, now this one is rare, this one is medium well! Now go-go-go!  Hey Phoebe!
Phoebe|5| Hey!
Monica|2| Hey how was dinner?!
Phoebe|5| Dinner was good! 
Monica|2| Okay!
Phoebe|5| I’m just saying hi! Now I’m gonna go! 
Monica|2| Okay!
Phoebe|5|  Oh, well hello there.
Guy|0| Hi.
Phoebe|5|  I didn’t see this on the menu.
Monica|2| Uh Tim? This is Phoebe. Phoebe this is Tim, my new sous chef.
Phoebe|5| Oh, so you're Monica’s boss?
Tim|0| Actually she’s my-my boss. Sous is French for under.
Phoebe|5| Oh! I sous stand.
Monica|2| Hey Tim? I need a calamari and a Caesar salad. And umm, could you get me the pesto?
Tim|0| Yeah.
Phoebe|5| Oh you…you made pesto?
Tim|0| Yes I did.
Phoebe|5| Would you say your pesto is the best-o?
Tim|0| I…I-I don’t know, but I would say it’s pretty good-o. 
Monica|2| All right, I still need a calamari and a Caesar salad.
Tim|0| I like your necklace.
Phoebe|5| I made it myself.
Tim|0| You are so talented.
Phoebe|5| Well, it’s no pesto.
Monica|2| All right, all right! Let’s just cut to the chase, okay?  You’re single.  You’re single.  He gets off work at eleven.  She’ll be waiting for your call.  I’ll give him your number if I can get one calamari and one Caesar salad!!  I did not yell. I am not putting a dollar in the jar.
Mr. Franklin|0| Wow Bing! Burning the midnight oil.
Chandler|4| You know me sir. Oh ah, I do have a question for ya. Do you know how I get around the office computer network so I can access the really good Internet porn?
Mr. Franklin|0| You’re a joker Bing. 
Chandler|4| What’s funny about that?
Ross|6|  Hey! Sorry I kept you waiting so long.
Chandler|4| Hey that’s okay. So, where do you want to go?
Ross|6| Oh ah, I think you know where I want to go.
Chandler|4| The Hard Rock Café?
Ross|6| Yeah!
Chandler|4| Again?!
Ross|6| Yeah!!
Ross|6| I’m telling you, I like the food!
Chandler|4| You like the Purple Rain display!  Hey Bob.
Bob|0| Hey Toby! Have a good night. 
Ross|6| Did that guy just call you Toby?
Chandler|4| Yeah, he thinks that’s my name.
Ross|6| Well, why don’t you correct him?
