Monica|2| Hey.
Chandler|4| Hey.
Monica|2| Oh my God! You cleaned!  Look at these floors! You did the windows! Oh, I have been begging you for months and you did! You cleaned! And nagging works!
Chandler|4| Y’know uh, I didn’t actually do this.
Monica|2| Oh no, was I cleaning in my sleep again?
Chandler|4| No, it wasn’t you.
Monica|2| Well then who?
Chandler|4| I got a maid. Yay!
Monica|2|  I hope by maid you mean mistress, because if some other woman was here cleaning then…
Chandler|4| Uh honey, I know you don’t like to relinquish control…
Monica|2| Oh, relinquish is just a fancy word for lose!
Chandler|4| Look, she’s really nice. Okay? And she mentioned that she adored the way that you arranged the sponges.
Monica|2| Did she really say that?
Chandler|4| Yes, I distinctly remember ‘cause I thought it was a joke. Now just give her a chance, okay?
Monica|2| Fine, I can do it.  Whew.
Chandler|4| What’s the matter?
Monica|2| Well, usually when I’m this anxious, I clean!
Phoebe|5|  Who’s cell phone is that? It’s just so annoying; everywhere you go.
Ross|6| I think it’s coming from your bag.
Phoebe|5|  I never get calls!!  Hello?
Eric|0| Hi, it’s Eric. From the Halloween party, Ursula’s fiancée. 
Phoebe|5| Oh my God Eric hi! Wait, how’d you get this number?
Eric|0| Oh, I have a friend who’s a cop and he got it for me.
Phoebe|5| Wow! What an incredible violation—and wonderful surprise.
Eric|0| Uh listen, I just—I thought you should know I broke up with Ursula.
Phoebe|5| Oh you did?  He did it! He did it!
Rachel|1| Wow! What did he do?
Phoebe|5| Shhh! I’m talking.
Eric|0| Anyway, I was wondering if, you were the sort of person who…eats lunch.
Phoebe|5| Are you asking me out? ‘Cause it would be kinda weird since you just broke up with my sister.
Eric|0| Yeah uh…okay. I’m-I’m sorry. Bye.
Phoebe|5| No! Wait! I was just saying that so you’d think I was a good person. Fight for me.
Eric|0| Uhh, I won’t take no for an answer.
Phoebe|5| Not great, but we can work on it at lunch. Okay, I can be at your apartment in two hours.
Eric|0| Great! But wh-wh—How do you know where I live?
Phoebe|5| I’ve got friends too. Okay, bye.
Eric|0| Bye.
Phoebe|5| Oh my God! I’m going out with Eric! Ooh, this day is really gonna be so much better than I thought it was gonna be. Oh Ross, I can’t make lunch. 
Ross|6| So apparently I’m available for lunch.
Rachel|1| I can’t. I’m busy. I’m apartment hunting.
Ross|6| You’re moving?
Rachel|1|" Yeah, I can’t live with Joey once the baby comes. I don’t want my child’s first words to be,  ""How you doin’?"""
Ross|6| So does-does Joey know you’re moving?
Rachel|1| Well, I haven’t discussed it with him yet, but I know he’s gonna be relieved. Last week, he brought this girl over and I started talking to her about morning sickness and then I showed her pictures from my pregnancy book.
Ross|6| That’s not really porn.
Rachel|1| Not so much.
Ross|6| Hey, y’know what and if you’re looking for a place? I just heard in the elevator this morning that a woman in my building died.
Rachel|1| Oh my God! Was she old? Does she have a view?
Ross|6| Well I don’t know, but how-how great would that be huh? You living in my building. I could help take care of the baby. I can come over whenever I want.  With your permission.
Rachel|1| Yeah that would really be great.
Ross|6| Yeah.
Rachel|1| Well can we see it?! Oh maybe we shouldn’t. I mean if she just died this morning out of respect.
Ross|6| Yeah. No. No you’re right. 
Rachel|1| Shall we?
Ross|6| Yeah.
Mrs. Verhoeven's Daughter|0| Yes?
Ross|6| Hi. I’m Ross Geller. I live in the building.
Rachel|1| And I’m Rachel, an admirer of the building.
Ross|6| I-I heard about Mrs. Verhoeven passing away and I’m so sorry for your loss.
Mrs. Verhoeven's Daughter|0| She didn’t pass.
Ross|6| What?
Mrs. Verhoeven's Daughter|0| My mother’s still alive.
Ross|6| Oh, thank God!
Mrs. Verhoeven's Daughter|0| It looked like we were gonna lose her this morning, but she’s a tough old bird.
Rachel|1| Ahh.
