char_name|char_id|unprocessed_line|processed_line
ROSS|0|Man, I sure miss Julie|man i sure miss julie
CHANDLER|0|Spanish midgets|spanish midgets
CHANDLER|0|Spanish midgets wrestling|spanish midgets wrestling
CHANDLER|0|Julie|julie
CHANDLER|0|Ok, yes, I see how you got there|ok yes i see how you got there
ROSS|0|You ever figure out what that thing's for|you ever figure out what that things for
CHANDLER|0|No, see, I'm trying this new screening thing|no see i am trying this new screening thing
CHANDLER|0|You know, I figure if I'm always answering the phone, people'll think I don't have a life|you know i figure if i am always answering the phone peoplell think i do not have a life
CHANDLER|0|My god, Rodrigo never gets pinned|my god rodrigo never gets pinned
|0|Here comes the beep, you know what to do|here comes the beep you know what to do
JADE|0|Hello, I'm looking for Bob|hello i am looking for bob
JADE|0|This is Jane|this is jane
JADE|0|I don't know if you're still at this number, but I was just thinking about us, and how great it was, and, well, I know it's been three years, but, I was kinda hoping we could hook up again|i do not know if you are still at this number but i was just thinking about us and how great it was and well i know it is been three years but i was kinda hoping we could hook up again
JADE|0|I barely had t he nerve to make this call, so you know what I did|i barely had t he nerve to make this call so you know what i did
CHANDLER|0|What|what
JADE|0|I got a little drunk|i got a little drunk
JADE|0|and naked|and naked
CHANDLER|0|Bob here|bob here
CHANDLER|0|What've you been up to|what have you been up to
JADE|0|Oh, you know, the usual, teaching aerobics, partying way too much|oh you know the usual teaching aerobics partying way too much
JADE|0|Oh, and in case you were wondering, those are my legs on the new James Bond poster|oh and in case you were wondering those are my legs on the new james bond poster
CHANDLER|0|Can you hold on a moment|can you hold on a moment
CHANDLER|0|I have another call|i have another call
CHANDLER|0|I love her|i love her
ROSS|0|I know|i know
CHANDLER|0|I'm back|i am back
JADE|0|So, are we gonna get together or what|so are we gonna get together or what
CHANDLER|0|Um, absolutely|um absolutely
CHANDLER|0|Uh, how 'bout tomorrow afternoon|uh how bout tomorrow afternoon
CHANDLER|0|Do you know uh, Central Perk in the Village, say, five-ish|do you know uh central perk in the village say five ish
JADE|0|Great, I'll see you then|great i will see you then
CHANDLER|0|Ok|ok
CHANDLER|0|Ok|ok
CHANDLER|0|Having a phone has finally paid off|having a phone has finally paid off
