char_name|char_id|unprocessed_line|processed_line
  RACHEL|0|Mom, would you relax|mom would you relax
  RACHEL|0|That was 10 blocks from here and, the, the woman was walking alone at night, I would never do that|that was blocks from here and the the woman was walking alone at night i would never do that
  RACHEL|0|Mom, c'mon, stop worrying|mom cmon stop worrying
  RACHEL|0|This is a safe street, this is a safe building, there's nothing  OH MY GOOOD, oh my God, oh I gotta go, I gotta go, I gotta go|this is a safe street this is a safe building there is nothing oh my goood oh my god oh i gotta go i gotta go i gotta go
  RACHEL|0|OK, that's fine, you just read the paper, I'm gonna get a pot, it's not for you|ok that is fine you just read the paper i am gonna get a pot it is not for you
  RACHEL|0|OK, that's fine, read the Family Circus, enjoy the gentle comedy|ok that is fine read the family circus enjoy the gentle comedy
  RACHEL|0|Aaahh, oh my God, oh my God, oh my God, oh my God, oh my God, oh my God, oh my God, oh my God, aaaaahh|aaahh oh my god oh my god oh my god oh my god oh my god oh my god oh my god oh my god aaaaahh
  RACHEL|0|It's open you guys|it is open you guys
  RACHEL|0|STRANGER: Hi|stranger hi
  RACHEL|0|RACHEL: Hi, hi can I help you|rachel hi hi can i help you
  RACHEL|0|STRANGER: Yeah, I'm looking for Phoebe, does she still live here|stranger yeah i am looking for phoebe does she still live here
  RACHEL|0|RACHEL: Uh, no she doesn't but I can, I can get a message to her|rachel uh no she does not but i can i can get a message to her
  RACHEL|0|STRANGER: Great|stranger great
  RACHEL|0|Uhh, just tell her her husband stopped by|uhh just tell her her husband stopped by
  RACHEL|0|RACHEL: What|rachel what
  RACHEL|0|STRANGER: Hey, how, how did you do that|stranger hey how how did you do that
  RACHEL|0|OPENING TITLES    JOEY: This is unbelievable Phoebs, how can you be married|opening titles joey this is unbelievable phoebs how can you be married
  RACHEL|0|PHOEBE: Well, I mean, I'm not married married, ya know, he's just a friend and he's gay and he's just from Canada and he just needed a green card|phoebe well i mean i am not married married ya know he is just a friend and he is gay and he is just from canada and he just needed a green card
  RACHEL|0|MONICA: I can't believe you married Duncan|monica i cannot believe you married duncan
  RACHEL|0|I mean how could you not tell me|i mean how could you not tell me
  RACHEL|0|We lived together, we told each other everything|we lived together we told each other everything
  RACHEL|0|PHOEBE: I'm sorry Monica but I knew if I told you, you'd get really, like, judgemental and you would not approve|phoebe i am sorry monica but i knew if i told you you would get really like judgemental and you would not approve
