char|line
other|greg malins adam chase part ii written david crane marta kauffman part ii transcribed eric aasen
other|hour long special episode
other|mean first part episode episode 615
other|second part episode episode 616
other|since episode 615 616 combined one file that ’ s episode 616 season 6 table content number jump episode 615 617
rachel|hey guy
rachel|guess
rachel|barry mindy getting divorce
monica|oh god
phoebe|wow
joey|matter
phoebe|barry mindy
joey|oh sorry hear divorce immediately go ross
joey|who ’ s barry mindy
rachel|barry guy almost married mindy best friend
joey|ohh oh wasn ’ t cheating
rachel|yeah mean falling asleep top instead
monica|get divorced
rachel|well apparently caught cheating someone else
rachel|isn ’ t sad
rachel|god could imagine actually married
rachel|mean different would life
ross|know mean i ’ ve always wondered different life would i ’ d never gotten divorced
phoebe|time
ross|first time
ross|seriously imagine carol hadn ’ t realized lesbian
joey|can ’ t
joey|keep seeing good way
ross|i ’ d bet i ’ d still kara tay
ross|towards end marriage lot kara tay way releasing tension y ’ know anything else physical
chandler|maybe problem pronouncing kara tay
monica|still fat
monica|well wouldn ’ t dating that ’ s sure
chandler|sure would
chandler|guy really think i ’ m shallow
ross|think monica fat
joey|hey imagine never got fired day life
joey|oh hey there ’ s carol
chandler|gut quit job
chandler|i ’ d probably writing new yorker getting paid funny
chandler|job ’ s fun
chandler|mean tomorrow don ’ t wear tie
phoebe|taken job merrill lynch
rachel|merrill lynch
phoebe|yeah massage client worked said knack stock
rachel|well didn ’ t take job
phoebe|time see thought everything rhymed true
phoebe|thought y ’ know i ’ d work stock i ’ d live box eat lox pet fox
ross|hey guy think thing happened we ’ d still hang
other|opening credit they ’ re usual opening credit
other|oh
other|credit based world would created actually happened
other|start fountain sitting couch fat monica run sits arm couch tilting whole thing towards
other|go show rachel ’ s still shop aholic barry
other|fat monica sweating cooking dancing eating donut
other|phoebe wall street shark smoking two cell phone
other|they ’ re dancing fountain
other|joey entering dr
other|drake remoray meeting groupie
other|chandler trying write bird business shoulder falling asleep typing
other|ross kara tay trying get carol bed
other|finally dancing fountain flexing turning lamp shutting light bit first season
other|remember one thing alternate universe
other|everything every episode doesn ’ t apply instance ross rachel history
other|fact seen year world
ross|oh god
ross|rachel green
rachel|rob tillman
ross|it ’ s it ’ s ross
rachel|oh i ’ m sorry
rachel|ross tillman
ross|ross geller
rachel|ohh course monica ’ s brother
ross|yeah
ross|right
rachel|wow
ross|good good i ’ m i ’ m married
rachel|ohh
ross|isn ’ t best
rachel|oh it ’ s best
rachel|umm how ’ s monica
ross|oh really really great
ross|yeah
ross|actually she ’ s right street umm know
ross|stop bye say hi
rachel|ohh would love
ross|yeah
ross|oh oh she ’ d excited
rachel|ohh
rachel|okay
ross|come
rachel|oh wait don ’ t pay busty lady
ross|it ’ s okay
ross|kid asked pick don ’ t
rachel|oh yeah
rachel|okay
ross|okay
rachel|don ’ t give money back
ross|uh huh
ross|hey go buddy
ross|sorry p0rn
ross|okay let ’ s go see monica
joey|monica still going dr
joey|boring huh
monica|he ’ s boring
monica|he ’ s he ’ s low key
other|go one hazelnut latte
monica|thanks
other|yeah
other|y ’ know hazelnut actually nut it ’ s seed
joey|wow
other|anyone else name well known seed that ’ s masquerading nut
joey|oh dear god let think
chandler|hey
joey|hey
monica|oh
monica|what ’ s matter
chandler|oh got another rejection letter
chandler|said writing funny archie comic funny
other|y ’ know honey
other|got get back hospital
monica|okay
other|okay
monica|bye
other|bye bye
other|oh uh way answer brazil nut
chandler|question what ’ s boring
joey|hey man look sorry archie thing
joey|uh need give money
chandler|hey may money still pride
joey|really
chandler|ehh
monica|maybe joey doesn ’ t give money tv star assistant right
joey|that ’ s idea
joey|hey hired assistant would would take money
monica|joey
monica|chandler could assistant
monica|see could answer fan mail stuff
joey|that ’ s great
joey|would great
joey|let ’ s
chandler|could use money could give time write
joey|oh right great
