char|line
other|ok unbelievably expensive know gon na grow like 20 minute could resist
phoebe|oh look
phoebe|hey ben
phoebe|oh god oh ok much pressure
chandler|know
chandler|something funny sneaker
chandler|right back
joey|got ta get one
ross|guy
chandler|hanging spoon
chandler|ladle
ross|look would guy grow
ross|natural beautiful thing world
joey|yeah know baby suckin
ross|son lunch ok
ross|gon na happen lot better get used
ross|problem uncomfortable ask question
ross|carol fine come
chandler|carol carol
chandler|wondering joey could ask question breast feeding
other|sure
joey|uh hurt
other|first anymore
joey|chandler
chandler|uh often
other|much need
joey|ok got one got one
joey|blow one one get bigger
other|rachel muffin left
rachel|yeah forget one
other|oh busy ok get
other|anybody else want one
other|oh losin apron let get
other|go
rachel|thank
rachel|bitch
other|oh listen guy
other|friend bloomingdales quitting tomorrow want abuse discount
other|anyone want come take advantage
phoebe|can not take grandmother vet
monica|ok um go
other|great
ross|hi honey
chandler|hey sweetums
ross|hello rest
joey|monica doin
joey|can not go shopping
joey|rachel
monica|gon na problem
chandler|come going bloomingdales julie
chandler|like cheating rachel house worship
phoebe|monica kill
phoebe|kill like dog street
ross|uh jules tell guy going shopping tomorrow
monica|yeah uh actually big deal
ross|big deal
ross|great monica
ross|really appreciate
monica|welcome
phoebe|woof woof
joey|bijan men
joey|hey annabelle
other|hey joey
other|hear new guy
other|nobody know name
other|girl call hombre man
joey|doin section
other|guess know
joey|well gon na
joey|see little later ok
joey|hey ya doin
other|mornin
joey|listen know new kinda understood everything young men escalator territory
other|territory huh
joey|yeah
joey|bijan men
other|thanks
other|hombre
other|yeah
other|right
other|saying
monica|phoebe listen
monica|shopping day
monica|shopping lunch
phoebe|oh right
monica|salad
phoebe|oh wonder feel full
rachel|hey guy
phoebe|went shopping monica day salad
rachel|good pheebs
rachel|whatd buy
phoebe|um went shopping um fur
rachel|went shopping fur
phoebe|yes realized uh bought uh boob
rachel|bought boob
phoebe|bra
phoebe|bought bra
phoebe|bought bra
joey|bijan men
joey|hey annabelle uh listen wondering maybe work could go maybe grab cup coffee
other|oh actually sorta plan
other|ready annabelle
other|bet
other|maybe time
joey|hey first time lost girl cowboy spraying cologne
joey|bijan men
other|ok funny clown
other|funny clown nap nap sleep
ross|carol ok
ross|good time
ross|laugh play
ross|like father son
other|honey relax
other|ross great
other|look surprised
other|lovely person
rachel|oh cute
other|oh got
ross|mommy love
ross|clever
monica|hello
monica|oh hi ju hi jew
monica|uh huh
monica|uh huh
monica|ok
monica|um sure great
monica|see ya
monica|bye
rachel|say hi jew
monica|yes
monica|uh yes
monica|friend eddie moskowitz
monica|yeah like
monica|reaffirms faith
phoebe|ben dinner
ross|thanks aunt pheebs
ross|hey microwave breast milk supposed
phoebe|duh think know heat breast milk
phoebe|ok
phoebe|licked arm
ross|breast milk
rachel|phoebe juice squeezed person
joey|big deal
ross|ok would people stop drinking breast milk
phoebe|even taste
phoebe|even pretend milk
ross|even carol breast picture missing child
monica|hey everybody
rachel|took ben park
monica|lunch little quality time
monica|thanks jacket
rachel|oh problem
rachel|borrow way
rachel|key hon
rachel|mon uh lunch alone come cost uh 53 dollar
monica|know probably happened
monica|someone musta stolen credit card
rachel|sorta put receipt back pocket
monica|excellent excellent question
monica|excellent
