char|line
ross|hey
rachel|hey everything go okay annulment
ross|oh yeah problem
ross|it ’ s taken care
rachel|ross thank
rachel|hey guy wan na go see movie
ross|oh yeah
rachel|okay umm i ’ m gon na get sweater
ross|okay
ross|uh wan na hear something weird
phoebe|always
ross|didn ’ t get annulment
ross|we ’ re still married
ross|don ’ t tell rachel
ross|see later
ross|hey gum
rachel|oh
rachel|yeah
rachel|sure
phoebe|wait
phoebe|wait
phoebe|hi
phoebe|listen ross talk second
rachel|oh phoebe we ’ re gon na late movie
phoebe|oh there ’ s cab
phoebe|taxi
phoebe|good timing god huh
phoebe|go
rachel|yeah we ’ re we ’ re actually gon na walk ‘ cause it ’ s right angelica
phoebe|oh angelica
phoebe|go
phoebe|go
phoebe|didn ’ t get annulment
ross|know
phoebe|ross
ross|well tried
ross|got lawyer ’ s office could hear three divorce
ross|three divorce
ross|look don ’ t want tombstone read ross gellar three divorce
phoebe|don ’ t worried
phoebe|tombstone say whatever want say
phoebe|could say ross geller good marriage
phoebe|y ’ know
phoebe|mine ’ s gon na say phoebe buffay buried alive
ross|look know can ’ t another failed marriage
phoebe|okay
phoebe|you ’ re gon na married girl doesn ’ t even know
phoebe|op woman
phoebe|sorry
ross|well okay don ’ t worked quite yet
ross|don ’ t say anything rachel please
phoebe|rachel one closest friend
phoebe|although one know anything make feel special
phoebe|okay
rachel|okay stop stop
rachel|phoebe
phoebe|hey rach
phoebe|sorry mix
phoebe|hey movie
rachel|haven ’ t seen yet
phoebe|well you ’ d better hurry
phoebe|angelica
phoebe|go
phoebe|go
rachel|noooooooo
other|case you ’ re wondering know
other|name back normal
other|slightly smaller font usual allow courteney cox arquette fit one line smaller rest name
other|show
chandler|y ’ know move together get gumball machine
monica|course
monica|joey wouldn ’ t let one
chandler|come sweet he ’ s surprisingly strict
monica|hey figured way tell you ’ re moving
chandler|keep trying y ’ know
chandler|get joey lose nerve always finish go bathroom
chandler|may think i ’ m sick
monica|y ’ know really tell rachel get
monica|y ’ know next time see we ’ re gon na tell
monica|okay
monica|that ’ s
chandler|oh that ’ s gon na work
chandler|you ’ re gon na order around time
monica|pretty much
chandler|right
joey|hey monica
monica|hi
joey|hey man feeling better
monica|joey something tell
joey|oh god
joey|you ’ re pregnant
chandler|look joey here ’ s thing monica decided live together
chandler|i ’ m gon na moving man
joey|wow
joey|well uh hey
joey|i ’ m really happy guy
joey|congratulation
joey|see later
monica|wait
monica|joey
monica|joey
monica|okay
joey|yeah got ta go
joey|got acting job
joey|like you ’ d believe
joey|suck
chandler|look i ’ m gon na right across hall promise minute monica break i ’ m moving right back
joey|okay
joey|look look look uh you ’ re gon na moving feel it ’ s responsibility tell truth
joey|okay
joey|he ’ s terrible roommate
joey|terrible
joey|uh forgets umm oh oh always always umm oh kidding
joey|he ’ s best roommate ever
monica|hey pheebs
phoebe|hey
monica|hey seen rachel
monica|pretty exciting news
phoebe|you ’ re pregnant
monica|chandler moving together
phoebe|ooh
phoebe|that ’ s good
phoebe|wow
phoebe|pregnant would name
phoebe|hint phoebe
ross|hey
ross|hi
monica|hey
ross|what ’ s
monica|well umm chandler moving together
ross|oh god
ross|ohh little sister best friend shaking
ross|oh that ’ s great
ross|that ’ s great
phoebe|guy i ’ m happy
monica|okay come
phoebe|wow
phoebe|big day huh
phoebe|people moving people getting annulled
monica|okay got ta go find rachel umm guy see could please try give really bad news mine doesn ’ t seem bad
ross|bye
phoebe|hmm something bad tell rachel bad news rachel could
ross|could ya could ya lay please
ross|right
ross|life embarrassment
ross|go live somebody ’ s stair
phoebe|ross it ’ s big deal
phoebe|you ’ ll divorced three time you ’ ll still life you ’ ll go date
ross|won ’ t
ross|i ’ ll bottom dating barrel
ross|guy four divorce guy uh murderer guy geologist
phoebe|ross you ’ re ridiculous
phoebe|okay
phoebe|cute smart sweet much important three stupid divorce
ross|oh yeah
ross|ever dated anyone divorced three time
phoebe|y ’ know that ’ s really fair
phoebe|y ’ know
phoebe|guy divorced three time like 60
phoebe|ross nobody care except
phoebe|embarrassment thing head
phoebe|i ’ ll show
phoebe|come
phoebe|hi
phoebe|hi
phoebe|listen friend ross divorced third time wouldn ’ t date
ross|wait right i ’ ll go get ross
chandler|hey
monica|ugh thought rachel
chandler|gave away
monica|tell get
monica|told ross phoebe she ’ s one left
chandler|okay that ’ s everybody know
chandler|it ’ s official we ’ re moving together
chandler|turning back
chandler|ya scared
chandler|ya
chandler|wow scariest voice
chandler|you ’ re brave
rachel|hey
chandler|hey
rachel|ugh worse day
rachel|y ’ know think you ’ re making progress work bos call raquel
chandler|hey listen first four year work everybody called sha la lap
chandler|seriously
rachel|believe
rachel|right middle staff meeting course one else want correct everyone else calling raquel
rachel|end day mailroom guy calling rocky
chandler|well still think you ’ re nice pretty
chandler|babe
monica|seat
monica|okay listen umm chandler going live together
rachel|oh god
rachel|that ’ s great
rachel|i ’ m happy guy
monica|really
rachel|sweet ask
rachel|oh god three u gon na good time living together
monica|yes
rachel|chandler you ’ re gon na watch long shower take morning know raquel can ’ t late
chandler|rach
monica|yeah he ’ s gon na work
rachel|ohh
rachel|exciting
rachel|oh god come knock door
monica|we ’ ll waiting
other|i ’ ll finish one don ’ t know they ’ re talking
other|towel three ’ s company
other|yeah that ’ s theme song three ’ s company
ross|know story it ’ s bad
ross|first marriage wife ’ s hidden sexuality fault
ross|second marriage said wrong name altar little fault
ross|third marriage well really shouldn ’ t allow get married you ’ re drunk writing face nevada ’ s fault
phoebe|okay think lady
phoebe|wouldn ’ t interested
phoebe|wouldn ’ t want date
other|well divorce don ’ t bother i ’ d date
other|he ’ s still married
phoebe|okay
phoebe|wouldn ’ t want date
other|actually i ’ m dating anymore
other|see figured dating guy like y ’ know bad work
phoebe|whatever
phoebe|meg
other|well don ’ t care divorce either wouldn ’ t date
other|it ’ s he ’ s obviously still love rachel girl
phoebe|said he ’ s obviously still love rachel girl
ross|crazy
ross|mean yes yes rachel good friend loved past wife
ross|phoebe help
phoebe|well thought loved married
ross|drunk
ross|would ’ ve married uh joey amount alcohol
phoebe|hey
phoebe|could lot worse joey tribbiani
ross|look i ’ m sorry guy wrong
ross|don ’ t want divorced three time
phoebe|yes he ’ s using three divorce reason want stay married love
phoebe|must say well done
phoebe|bravo meg
ross|okay
ross|fine
ross|fine
ross|think forget whole three divorce thing
ross|okay i ’ ll go lawyer ’ s office right get marriage annulled
ross|okay
ross|mean nothing
ross|noth nothing
other|okay wouldn ’ t date seem little creepy
other|attracted right
chandler|okay gon na tell rachel actually gon na happen
monica|soon
monica|couldn ’ t
monica|saw upset joey got
monica|couldn ’ t she ’ s best friend
chandler|well joey ’ s best friend
monica|i ’ m best friend
chandler|said course you ’ re best friend
chandler|would please tell rachel though
monica|right right least i ’ m prepared
chandler|okay
chandler|oh yes
monica|hey
chandler|hey hey
monica|aren ’ t
monica|upset
rachel|hey roomie
chandler|okay bye
monica|rach there ’ s something uh important tell
rachel|pregnant
monica|i ’ m throwing shirt away
monica|think little misunderstanding
rachel|um hmm
monica|umm said uh chandler wanted umm live together meant alone together
rachel|oh god
rachel|oh that ’ s funny can ’ t believe
monica|oh sweetie
monica|fault wasn ’ t clear
monica|i ’ m really sorry
monica|listen take much time need move okay
monica|there ’ s absolutely rush
rachel|okay
monica|okay
monica|don ’ t want cookie
rachel|sure
rachel|thanks
monica|maybe need tissue
rachel|monica get
monica|made
rachel|ooh good god they ’ re yummy
joey|god it ’ s gon na weird like come home you ’ re
joey|y ’ know
joey|joey chan ’ s
joey|j c ’ s
joey|wan na go joey chandler ’ s
joey|can ’ t
chandler|look i ’ m gon na across hall still stuff
joey|yeah won ’ t able like get middle night long talk feeling future
monica|hi
chandler|hey
joey|hi
monica|told rachel gon na two u
chandler|oh yeah
chandler|well how ’ d take
monica|really well
monica|yeah
monica|surprisingly well
monica|yeah didn ’ t cry
monica|wasn ’ t angry sad
chandler|you ’ re upset didn ’ t make best friend cry
monica|mean i ’ m asking little emotion
monica|much ask six year
monica|mean
monica|rachel close guy
monica|mean much fun
monica|don ’ t deserve tear
monica|mean told joey cried eye
joey|hey
joey|cry eye
joey|come
joey|it ’ s like end era
joey|j man channie ’ s
chandler|okay got ta ask call u
other|got married
ross|yes
other|that ’ s second marriage two year
ross|yes second two year
ross|third overall
other|ross divorce attorney 23 year never much business one client
other|don ’ t tell happened
ross|basically rachel vega got drunk
other|i ’ m sorry rachel who ’ s name said altar second marriage
ross|yes yes yes
ross|love
other|oh that ’ s better
ross|drunken mistake need get annulled
other|see
other|considered therapy
ross|think annulment today
other|couple form fill
ross|easy
other|we ’ ll need witness testify uh sound mind
ross|problem
other|we ’ ll need rachel testify judge
ross|ooh
ross|there ’ s way without
ross|‘ cause kinda ready told uh already taken care
other|course
other|look ross can ’ t get annulment unless rachel
ross|uh ha someone look like rachel
ross|think therapy
rachel|hey
monica|hey
monica|um thinking maybe start dividing stuff
rachel|okay
monica|y ’ know point dragging
monica|dragging long process moving u living together anymore
rachel|okay
monica|hey rach
monica|huh
monica|get
monica|see don ’ t know want might y ’ know many memory
rachel|hell
monica|don ’ t know
monica|hey rachel want big plate
monica|want big plate
rachel|wow
rachel|mon thanks
rachel|love plate
monica|something remember
rachel|mon honey you ’ re dying
rachel|i ’ m moving
rachel|y ’ know mean we ’ re gon na see time
monica|still it ’ s big change
monica|end era might say
rachel|okay
rachel|you ’ re blinking
monica|i ’ m fine
monica|i ’ m thinking much it ’ s end era
rachel|oh right
rachel|y ’ know got ta say don ’ t don ’ t think six year count era
monica|era defined significant period time
monica|significant maybe wasn ’ t significant
rachel|matter
monica|matter
monica|aren ’ t upset
monica|aren ’ t gon na sad we ’ re gon na living together anymore
monica|mean aren ’ t gon na miss
rachel|right fine don ’ t get mad
rachel|it ’ s it ’ s little hard believe
monica|what ’ s hard believe
rachel|well y ’ know it ’ s guy
rachel|kind stuff
rachel|y ’ know
rachel|mean gon na get married vega backed
rachel|guess i ’ m upset don ’ t see guy going
rachel|i ’ m sorry
monica|rachel it ’ s going happen
monica|chandler gon na move
monica|wait
monica|let finish okay
monica|isn ’ t something impulsively decided vega something really want
monica|going happen
rachel|really
monica|yeah sweetie
rachel|mean we ’ re we ’ re gon na live together anymore
rachel|oh god
rachel|i ’ m gon na miss much
monica|i ’ m gon na miss
rachel|mean it ’ s end era
monica|know
phoebe|okay bye
ross|oh
phoebe|get annulment
ross|couldn ’ t
phoebe|knew
phoebe|love rachel
ross|it ’ s
ross|okay
ross|annulment complicated
phoebe|yeah complicated ‘ cause love
ross|love rachel
ross|i ’ m gon na tell right whole thing get marriage annulled fast possible
ross|okay
ross|would loved
phoebe|i ’ ve never convinced love
ross|feeling rachel
ross|okay
ross|ohh what ’ s wrong
rachel|monica chandler really moving move everything changing
ross|oh come
ross|come
ross|it ’ s okay
ross|everything ’ s gon na okay
rachel|thank
ross|course
joey|ross rachel got married monica chandler almost got married think hook
phoebe|oh yet
joey|really
joey|well
phoebe|okay umm well first chandler monica get married filthy rich way
phoebe|yeah
phoebe|won ’ t work
joey|wow
phoebe|know
phoebe|i ’ m gon na marry chandler money you ’ ll marry rachel beautiful kid
joey|great
phoebe|ditch two that ’ s get married
phoebe|we ’ ll chandler ’ s money rachel ’ s kid getting custody easy rachel ’ s drinking problem
joey|oh oh ross
phoebe|don ’ t want go whole thing umm word kill
