char|line
monica|hey guy
rachel|hi
phoebe|hey
monica|need talk something
chandler|yeah
chandler|feel like host thanksgiving year
phoebe|hey
ross|kidding
chandler|well uhm work stress adoption feel like energy
chandler|plus think fair every year burden fall u
ross|sound like
ross|monica talking
chandler|made decision together
ross|putting word mouth
joey|put word people mouth put turkey people mouth
rachel|can not believe
rachel|emmas first thanksgiving
rachel|born
phoebe|well personally think great giving break
monica|thank pheebs
phoebe|sure
phoebe|well
phoebe|mean last year good
phoebe|think losing touch
monica|way lady
phoebe|really
phoebe|well cook thanksgiving dinner prove wrong
phoebe|well think think trying top last year
phoebe|competition
monica|favourite kind
monica|okay
chandler|let get manipulated way
monica|hey stay chandler
chandler|supposed make decision together
chandler|watch doctor phil taped
chandler|opening credit
phoebe|hey
rachel|hi
rachel|happy thanksgiving
phoebe|oh yeah happy needle turkey murder day
monica|guy ordered chocolate pie bakery bleecker
monica|could pick
phoebe|making pie
monica|make chocolate pie
monica|younger enter pie eating contest
monica|ate many thought made sick
rachel|least win contest
monica|2 minute 12 pie part one tin
monica|okay see guy 4
rachel|can not wait
monica|dinner gon na great
monica|face last year
phoebe|hey rach
rachel|yeah
phoebe|emma today
rachel|well let u see
rachel|uh
rachel|know meeting lawyer make big poop
phoebe|well wan na enter baby beauty pageant
rachel|oh god
rachel|creepiest thing ever heard
phoebe|okay well say friend susanne entering kid compared emma real dog
rachel|oh
rachel|phoebe baby beautiful
phoebe|oh
phoebe|okay
rachel|phoebe idea pitting one baby another mean know judging cuter trophy
rachel|thousand dollar
rachel|something interested
rachel|oh please tell ross
rachel|still belief inside important
phoebe|okay oh emma need cowgirl outfit competition
rachel|gon na get cowgirl outfit thanksgiving
phoebe|well thinking
rachel|oh take clothes joeys cabbage patch kid
phoebe|yeah
monica|someone drop baton
chandler|come way kansa
monica|get older
monica|get better
chandler|know occurred
chandler|could last thanksgiving two u
chandler|mean could getting baby soon
monica|know
chandler|somebody gon na pick u
monica|yeah heard thing adoption agency week
chandler|telling ya
chandler|gon na happen
chandler|next year gon na little hemingway bing
chandler|favourite author
monica|name one book
chandler|firm
monica|ok let u see
monica|uhm okay turkey oven stuffing ready
chandler|know always cook meal
chandler|let help year
monica|oh chandler sweet
monica|everything doctor phil tell
chandler|serious let something turkey stuffing nothing high profile
monica|ok let u see
monica|oh cranberry sauce easy make one really care
chandler|tell
monica|okay gon na go check something across hall
monica|start washing soap
chandler|obviously tasted palmolive potato
ross|hey
ross|hey guess joey
joey|three ticket today ranger game
ross|dude wanted guess
joey|oh
chandler|oh god
joey|yeah great seat
ross|guess
joey|center ice
ross|something
chandler|hmm game one
chandler|dinner four never gon na make back
joey|leave back time
chandler|say could take u long time get back home
chandler|plus joey could get lost could page u go pick
joey|dude two time happened
chandler|look monica working hard day wan na host thing first place go
ross|right man
joey|right guess
joey|alright see four
chandler|okay
chandler|get ready taste special cranberry
chandler|say
chandler|chanberries
joey|gentle comedy dude
ross|still going game right
joey|yeah
ross|yeah
other|contestant number sixteen rebecca
phoebe|hey
rachel|oh phoebe listen
rachel|well think got ta go
rachel|place really freaking
rachel|watching guy think came kid
phoebe|can not leave
phoebe|one baby haley favourite win got croup stay home
phoebe|competition blew wide open folk
rachel|phoebe think
rachel|weird saw one year old running around pantyhose
phoebe|oh know prepared
phoebe|okay
phoebe|way see real competition cameron
phoebe|oh god took sweater
phoebe|look arm
phoebe|hello michelin man
rachel|oh phoebe
rachel|come
rachel|know already three clock even gotten emmas group yet
rachel|got ta go got dinner
phoebe|emmas got take could go way
rachel|phoebe calm
phoebe|okay
phoebe|rachel hottest baby tri state area room right
phoebe|overheard one judge say one hold candle emma
rachel|really
phoebe|yeah
rachel|heard say
phoebe|yeah
rachel|right okay
rachel|alright let u give baby something cry
phoebe|good
phoebe|oh yay
phoebe|let u get business
phoebe|emma need makeup
phoebe|well gon na look washed next contestant
