char|line
other|rach swizzel stick eraser
other|oh
other|sorry
other|chandler
other|m
other|tedlock
other|looking lovely today
other|may say flattering sleeve length
other|yeah
other|well mr
other|kostelick want stop office end day
other|oh listen
other|prank memo nothing
other|really
other|nothing
other|really
other|hey guy guy
other|chandler coming say like incredible news get could act like know
other|hey
other|never mind
other|going really good
ross|going
other|typical day work
other|putting number big al call office tell want make processing supervisor
other|quit
other|supposed temp job
other|uh chandler
other|five year
other|took promotion like admitting actually
other|lot money
other|matter
other|want one guy office twelve clock night worrying wenus
other|wenus
other|weekly estimated net usage system
other|processing term
other|oh
other|wenus
joey|going
other|know
other|thing
other|know want
other|know going figure working
other|oooh
other|something
other|new massage client
other|steve
other|anyway opening restaurant looking head chef
other|um
other|hi
other|hi
other|oh yeah know
other|chef
other|know thought first um chandler one need job right
other|yeah
other|much cheffing experience
other|unless toast restaurant
other|yeah yeah
other|well kind food looking
other|well want ecclectic looking someone know create entire menu
other|oh god
other|yeah know
other|well think
other|thanks phoeb
other|see big white hat
other|ok
other|hey monica
other|guess
other|see nipple shirt
other|worry sure still
other|going mr
other|suity man
other|well appointment see dr
other|robert pillman career counselor gogo
other|added gogo
other|work counselor
other|hey guy know want
other|hey guy living room know want
other|know goal
other|dream
other|dream
ross|ah lesser known dream speech
other|oh love life love life
other|ooh
other|brians song
other|meeting guy went great
other|great
other|showed restaurant going
other|cute little place 10th street
other|big small
other|right
other|formerly owned blonde woman bear
other|anyway cooking dinner monday night
other|know kind like audition
other|phoebe really want great ooh ahh make yummy noise
other|going make
other|yummy noise
other|monica going make
other|know
other|know
other|going great
other|ooh
other|know could make
other|know
other|oh definitely make thing
other|know stuff
other|know thing
other|stuff
other|ok know
ross|hey guy anybody know good date place neighborhood
joey|tonys
joey|finish 32 ounce steak free
ross|ok ahem hey anybody know good place dating puma
other|going
other|oh bug lady
other|bzzzz
other|love ross
ross|name celia
ross|bug lady
ross|curator insect museum
other|guy going
ross|oh thought could go dinner maybe bring back place might introduce monkey
other|speaking metaphorically
joey|back place
joey|thinking maybe
joey|huh huh
ross|well know
ross|huh huh
ross|hoping huh huh
joey|telling monkey chick magnet
joey|going take one look furry cute little face seal deal
ross|going hurt
ross|keep going celia
ross|marcel
other|can not stand
other|got claw
ross|alright
other|ok try salmon mousse
joey|mmmm
joey|good
other|better salmon mousse
joey|creamier
other|yeah well better
joey|know
joey|talking whipped fish monica
joey|happy keeping yknow
other|god
other|happened
other|eight half hour aptitude test intelligence test personality test
other|learn
other|ideally suited career data processing large multinational corporation
other|great
other|already know
other|believe
other|mean seem like somebody something really cool
other|know always pictured
other|something
other|oh chandler know know
other|oh hey
other|see nipple shirt
other|hey maybe thisll cheer
other|ooh know grape five hour ago better split
other|supposed small
other|pre appetizer
other|french call amouz bouche
other|well
other|amouz ing
other|hello
other|oh hi wendy
other|yeah eight clock
other|say
other|ten dollar hour
other|ok great
other|right see
other|bye
other|ten dollar hour
other|oh asked one waitress work help
other|waitressing
joey|uh oh
other|well
other|course thought
other|see
other|night go perfect know
other|well wendys
other|professional waitress
other|oh
other|see
other|sort maintaining amateur status waitress olympics
other|know mean brag waited table innsbruck 76
other|amouz bouche
other|talk
ross|ok
ross|um weird thing happened train morning
other|talk
other|dirty
ross|wha
other|yes
ross|ah
other|say something
other|hot
ross|er
ross|um
ross|um
ross|uh
ross|vulva
joey|vulva
ross|alright panicked alright
ross|took surprise
ross|know total loss
ross|mean ended cuddling
joey|whoaa
joey|cuddled
joey|many time
ross|shut
ross|nice
ross|think dirty talking kind guy know
joey|big deal
joey|say want
joey|want
joey|think people might
joey|tell
joey|try something
ross|please kidding
joey|come
joey|close eye tell like right
ross|ok
ross|apartment
joey|yeah
joey|else
ross|apartment conversation
joey|alright look start ok
ross|joey please
joey|come
joey|come
joey|alright ready look
joey|oh
joey|ross
joey|get hot
joey|want lip
ross|wow
joey|alright say something
ross|ahem
ross|really think
joey|come
joey|like woman right
ross|yeah
joey|want see right
ross|sure
joey|well can not talk dirty howre going talk dirty
joey|tell want caress butt
ross|ok turn around
ross|want staring
joey|alright alright
joey|around
joey|go ahead
ross|ahem
ross|want
ross|ok want
ross|feel
ross|hot soft skin lip
joey|go
joey|keep going
joey|keep going
ross|er
ross|want take tongue
joey|say
joey|say
ross|run body
ross|trembling
ross|funny story
other|ok
other|ok
other|always rooting two kid get together
joey|hey chandler sleeping guy old job called
joey|hello
other|hey mr
other|kostelic
other|life fifteenth floor
other|yeah miss
other|yeah lot le satisfying steal pen home know
other|well generous
other|er look money
other|need something job
other|need something really care
other|top yearly bonus structure mentioned earlier
other|look al al
other|playing hardball ok
other|negotiation rejection
other|stop saying number
other|telling got wrong guy
other|got wrong guy
other|see monday
other|well
other|wow
other|huge
other|much bigger cubicle
other|oh cube
other|look
other|oh
other|window
other|yes indeedy
other|beautiful view
other|oh look
other|guy peeing
other|ok enough view
other|check look
other|sit sit
other|ok
other|great
other|helen could come moment
other|thank helen thatll
other|last time promise
other|wendy deal
other|yeah promised
other|wendy
other|wendy
other|wendy
other|wendy bailed
other|waitress
other|oh
other|bad
other|bye bye
other|ten dollar hour
other|twelve dollar hour
other|mon
other|wish could made plan walk around
other|know rachel ran wedding
other|put roof head mean nothing
other|twenty dollar hour
other|done
other|well hello
other|welcome monicas
other|may take coat
other|hi steve
other|hello monica
other|hello greeter girl
other|rachel
other|yeah ok
other|mmmmmm
other|everything smell delicious
other|know can not remember time smelt delicious combination ok smell
other|lovely apartment
other|oh thank
other|would like tour
other|polite alright
other|cab way steve blazed doobie
other|smoked joint
other|know lit bone
other|weed
other|hemp
other|ganja
other|ok ok
other|cheech
other|ok
other|dry
other|let get wine
other|yeah think ready first course
other|ok um rot shrimp ravioli celantro pondou sauce
other|touch mint
other|ginger
other|well slap as call judy
other|fantastic
other|glad liked
other|like em
other|could eat hundred
other|oh well
other|um
other|eight half minute serving delicious onion tartlet
other|tartlet
other|tartlet
other|tartlet
other|word lost meaning
other|excuse
other|help anything
other|know know looking
other|ah cool
other|taco shell
other|know
other|like little corn envelope
other|know
other|want spoil appetite
other|hey
other|sugar o
other|know wait another
other|six half minute
other|macaroni cheese
other|got ta make
other|oh ok
other|oh sorry
other|seat
other|ok
other|give gummi bear
other|give
other|alright share
other|give
other|well can not
other|man overboard
other|think drowning
other|hey fellow
other|grab sugar
other|save
other|dinner
other|waited seven year opportunity like can not even wait four half minute stupid onion tartlet
other|hey
joey|tool
other|want work guy like
other|know
other|thought know
ross|look get
ross|amazing chef
other|yeah
other|know yummy noise
other|faking
joey|er
joey|go celia
ross|oh unbelievable
joey|right ross
ross|james michener dirty talk
ross|elaborate filth ever heard
ross|mean different character plot line theme motif
ross|one point villager
joey|whoa
joey|huh huh
ross|well ahem
ross|know time finished dirty talk kinda late
ross|kind exhausted
joey|cuddled
ross|yeah nice
other|guy wan na try catch late movie something
other|maybe wait chandler
joey|yeah hell
other|yes fran
other|know time looking wenus happy
other|oh really really really
other|well let tell something
other|care care
other|got
other|good
other|whooooaaaa
other|eeeee
other|aaaaah
other|see mean working
other|hurt
