char|line
phoebe|oh hey guy look
phoebe|ugly naked guy putting stuff box
rachel|say look naked buddy moving
ross|ironically box seem labeled clothes
rachel|ohh gon na miss big old squishy butt
chandler|done chicken fried rice
ross|hey
ross|hey
ross|moving maybe try get place
ross|would cool live across guy
joey|hey yeah
joey|could telephone thing
joey|yknow connected string
chandler|actual telephone thing
ross|oh god
ross|love apartment
ross|perfect
ross|can not believe never realized great
rachel|well eye immediately go big naked man
phoebe|amazing
phoebe|better hurry fill application gon na beat
ross|ohh
rachel|well never thought say gon na go use ugly naked guy bathroom
phoebe|oh look
phoebe|monica chandler
phoebe|hey
phoebe|hey guy
phoebe|hey
phoebe|ohh
phoebe|ohh
phoebe|ahh ahhh
phoebe|ahhh
phoebe|chandler monica
phoebe|chandler monica
rachel|oh god
phoebe|chandler monica
rachel|oh god
phoebe|oh
phoebe|eye
phoebe|eye
rachel|phoebe
rachel|phoebe
rachel|okay
rachel|okay
rachel|know
rachel|know
rachel|know
phoebe|know
rachel|yes know
rachel|joey know
rachel|ross know stop screaming
ross|going
other|ohhh
rachel|hi
rachel|hi
rachel|nothing
rachel|oh god excited want get apartment
ross|actually look really good
phoebe|get
phoebe|mean whenever monica chandler like yknow laundry going grocery shopping oh
phoebe|time monica spent phone sad linda camp
rachel|uh huh
rachel|phone
phoebe|oh
phoebe|oh can not believe
phoebe|mean think great
phoebe|might able better
joey|hey guy
rachel|joey
rachel|come
rachel|come
rachel|phoebe found monica chandler
joey|mean friend nothing
rachel|joey know
rachel|ugly naked guy apartment saw window
rachel|actually saw window
phoebe|okay know know know rachel know
joey|yes yknow
joey|matter know
joey|enough u know tell know
joey|lying secret would finally
phoebe|could tell know little fun
rachel|wh mean
phoebe|well yknow every time say like laundry give bunch laundry
rachel|ohhh would enjoy
joey|wait rach know would even fun
joey|telling
rachel|ehhh wan na phoebe thing
joey|can not take
phoebe|anything
phoebe|tell know
joey|noo
joey|can not take secret
joey|got secret
joey|got secret
joey|got secret yknow
rachel|secret
joey|oh yeah
joey|well know hugsy bedtime penguin pal
rachel|umm gon na mess
joey|ugh
phoebe|well could use position yknow roommate
rachel|okay
phoebe|would use yknow strongest tool disposal
phoebe|sexuality
chandler|hello child
phoebe|okay watch learn eat cookie
chandler|hey
phoebe|hey
phoebe|ooh wow jacket look great
chandler|really
phoebe|yeah material feel soft hello mr
phoebe|bicep
phoebe|working
chandler|well try yknow squeeze thing
chandler|okay
phoebe|well really wan na know oh
phoebe|can not tell
chandler|phoebe
chandler|tell anything
phoebe|well actually one person can not tell
phoebe|one person want
chandler|going
phoebe|think yknow guy long sometimes looking something don ’ t even see right front sipping coffee oh said much
phoebe|well something think
phoebe|know
monica|cute
monica|get cute
chandler|well grandfather swedish grandmother actually tiny little bunny
monica|okay even cuter
chandler|yknow popular opinion today must say
chandler|weirdest thing happened coffee house think think phoebe hitting
monica|talking
chandler|telling think phoebe think foxy
monica|possible
chandler|ow
monica|sorry phoebe always thought charming sexless kind way
chandler|oh yknow can not hear enough
monica|sorry think misunderstood
chandler|misunderstand okay
chandler|touched bicep cry loud
monica|bicep
chandler|well flexed right
rachel|hey mon
rachel|wan na come see movie u
monica|uhh yknow actually gon na laundry
rachel|oh
monica|hey chandler wan na
chandler|sure ya
monica|okay
rachel|okay great hold sec
rachel|oh go
rachel|mind ya
rachel|would really help lot
rachel|thanks
monica|mean think enough quarter
phoebe|quarter
ross|hey
rachel|hey ross
rachel|word apartment yet
ross|well called turn ugly naked guy subletting already like hundred applicant
rachel|oh
ross|got edge
ross|know exactly ethical sent little bribe
monica|oh pinball machine big bow
chandler|new mountain bike
monica|well send
ross|basket mini muffin
phoebe|whole table mini muffin basket
phoebe|one send
ross|small one
rachel|actually thought basket gon na get apartment
ross|well yeah
ross|someone sent u basket work people went crazy little muffin
ross|best day
chandler|work make sad
ross|oh man
ross|want place much
ross|sure gon na work
ross|twelve buck never see
rachel|right honey better go wan na catch movie
monica|bye
phoebe|bye chandler
phoebe|miss already
chandler|okay see
chandler|inappropriate pinching
monica|actually
chandler|okay believe attracted
monica|ohhh oh god
monica|oh god
monica|know u
chandler|serious
monica|phoebe know trying freak u
monica|explanation
chandler|okay yknow pinchable butt bulging biceps know
chandler|joey
joey|yeah
chandler|phoebe know u
joey|well tell
joey|uhhh phoebe joey
monica|joey
joey|rachel
joey|would told made promise tell
chandler|oh man
joey|sorry
joey|hey right
joey|tell know know go back knowing absolutely nothing
monica|unless
joey|unless
joey|look must end
monica|oh man think slick messing u
monica|see know know know
chandler|ahh yes messers become messies
ross|noooo
rachel|oh ross honey got ta stop torturing
phoebe|yeah find another apartment
ross|look already looked like thousand apartment month none even compare one
rachel|yknow
ross|huh
rachel|find hobby use bond
rachel|yeah
rachel|like would strike conversation say umm sandwich
rachel|uh underwear
joey|listening
rachel|see
ross|great idea
ross|know ugly naked guy watching like five year give back edge
ross|oh let u see trampoline
phoebe|broke
ross|well gravity boot
rachel|yeah broke
joey|like break stuff
ross|okay got go pick ben figure something
ross|hey used cat
phoebe|would bring would probably bum
joey|yeah poor cat never saw big butt coming
ross|right
rachel|hello
rachel|oh yeah
rachel|hey
rachel|hold second right
rachel|chandler
phoebe|oh
phoebe|hello
chandler|hello phoebe thinking day
phoebe|eh
chandler|well know thing said lying said intrigued
phoebe|really
chandler|yeah listen joey gon na tonight come let uh feel bicep
chandler|maybe
phoebe|get back
phoebe|okay bye
phoebe|oh god
phoebe|want come feel bicep
rachel|kidding
rachel|believe would mon whoa
rachel|joey know know
rachel|joey
joey|know know
rachel|ugh knew
rachel|oh can not believe two
phoebe|god thought mess u
phoebe|trying mess u
phoebe|know know know know
phoebe|joey can not say anything
joey|could even wanted
ross|good evening sir
ross|name ross geller
ross|one people applied apartment
ross|realize competition fierce sorry
ross|can not help notice naked applaud
ross|man wish naked
ross|mean look great
ross|god intended
monica|look panicked
chandler|oh yeah totally gon na back
monica|oh yeah
phoebe|right
phoebe|right
phoebe|want date
phoebe|gon na get date
phoebe|right gon na go
rachel|right
rachel|sexy
phoebe|please
phoebe|chandler love come tonight
chandler|really
phoebe|oh absolutely
phoebe|shall say around seven
chandler|yes
phoebe|good
phoebe|really looking forward sexual intercourse
joey|hey hey check
joey|check
joey|ugly naked guy naked friend
rachel|oh yeah
rachel|oh god
rachel|friend
rachel|naked ross
rachel|show time
phoebe|okay rachel get perfume
rachel|okay
phoebe|joey get bottle wine glass
monica|right great
monica|make think wan na sex
monica|totally freak
chandler|okay listen far gon na go
monica|relax gon na give way
chandler|know
monica|team
monica|team always win
monica|go get
monica|go
rachel|okay honey gon na try listen right
phoebe|okay
rachel|okay
rachel|whoa wait
phoebe|good idea
rachel|yeah oh wait
phoebe|oh give away farm
chandler|phoebe
phoebe|chandler
chandler|come
phoebe|going
phoebe|umm brought wine
phoebe|would like
chandler|sure
phoebe|nervous
phoebe|want happen
chandler|gon na put music
phoebe|maybe maybe dance
chandler|look good
