char|line
other|andrew reich ted cohen story shana goldberg meehan directed sheldon epps transcribed eleonora pheeboh sebastiano vanessa
joey|hey guy tomorrow night
chandler|well let see
chandler|believe
chandler|yes falling asleep front tv
joey|look agent hooked six ticket great play
chandler|could fall asleep play
joey|one woman play called like bitter woman journey life
monica|sound interesting
ross|yeah sound interesting mean listen woman complain two hour think get bett
phoebe|know know drive vote work broad want
joey|guy gon na great time promise
ross|come go
joey|wish could found work really early next day can not go know take extra ticket invite whoever want
chandler|uh let u see hate
rachel|oh sorry
rachel|oops sorry
joey|hey go
rachel|ooh
rachel|oooh
rachel|oh ah
rachel|ask question
monica|yeah
rachel|think possible two friend fool around
rachel|big deal
monica|think ever work
rachel|reason
monica|rachel
rachel|yeah
monica|wan na fool around
rachel|nobody forget
rachel|maybe
monica|can not
rachel|seriously understand word said
monica|hall
monica|wan na fool around joey
rachel|yeah
rachel|know ever since dream can not get head
rachel|big deal people time
monica|know friend fool around
rachel|ok top head
rachel|janet
rachel|know work
rachel|one
monica|one
rachel|know name said
monica|rachel thing get incredibly complicated
rachel|right right right anything joey thought ok would two cup tarragon one pound baking soda one red onion
monica|hell cooking
ross|hey
monica|hey
chandler|hey
ross|hey guy believe work today
chandler|yes ross chose career talking dinosaur
ross|therere two professor joining department meet show around campus
monica|bad
ross|know gon na couple windbag wearing tweed jacket suede elbow patch
monica|ross
ross|suede
other|excuse looking someone
other|chance know ross geller
ross|hi hi ross geller
other|oh hi
other|professor wealer
ross|oh oh nice
other|good meet
other|thank much taking time show around
ross|oh big deal mean know gym working
monica|gon na introduce u
chandler|think blurry shape
other|way really enjoyed paper connection geographic isolation rapid mutagenesis
ross|oh ha wrote one minute
monica|twenty buck say married within month
ross|probably get going know got lot ground cover
other|oh ah another professor supposed come u
ross|think
other|pretty sure professor spafford cornell
ross|oh well obviously late rule class can not come time come
ross|option many student use
ross|shall
other|think wait
ross|know big boy sure find u ok
other|professor geller
ross|oh damn
other|hi joey jane rogers can not wait party tonight
other|listen forgot address give call
other|thanks bye
joey|hey
rachel|hey
joey|happenin
rachel|yeah real shame can not make one woman show tonight
joey|oh love got ta get early next day know work come first
rachel|oh yeah yeah yeah
other|hi joey jane rogers can not wait party tonight
joey|stupid jane rogers
rachel|party tonight
joey|kinda
joey|thing day life people
rachel|going tell u
rachel|think gon na get away
joey|every year
rachel|every year
joey|tell
joey|stupider jane rogers
rachel|oh got ticket play get rid u
joey|yeah
rachel|last year sent u medieval time restaurant
joey|yeah
rachel|oh
rachel|year set nighttime tour button factory
joey|can not believe guy went one
rachel|joey would invite u party
joey|fine ok
joey|everyone else act like idiot around famous people
rachel|well invite
joey|please trying nice worst one
rachel|oh joey come
rachel|please please
rachel|let come behave promise
rachel|behave
rachel|please please please
joey|ok ok
joey|fine
joey|come tell anybody else
joey|roof 8
rachel|oh soap opera roof party
rachel|going soap opera roof party
