char|line
joey|okay pick card
chandler|okay
joey|right memorize
joey|got
chandler|oh yes
joey|card
chandler|yes
other|hey guy
ross|hi
chandler|hi
other|hi
other|guess
other|ben going tv commercial
phoebe|talking
ross|well sure umm met guy park thought ben really cute yknow umm anyhoo uh gave u card told u bring commercial auditioning
joey|whoa
joey|guy like biggest commercial casting director town
joey|ben take one lousy walk park get audition
joey|mean way go ben
joey|man
joey|park million time one offered audition
ross|know crazy
ross|pushing ben swing
joey|always swing
joey|wrong
rachel|okay got ta go
rachel|wish luck
joey|luck
chandler|hey rach working ralph lauren bring back polo shirt
rachel|uh well yknow
rachel|think feel comfortable stealing first day
chandler|unwilling steal work interesting
monica|besides anybodys gon na get free stuff gon na
rachel|okay guy way wish luck
phoebe|okay let u discus rachel birthday
phoebe|say throw surprise party weekend
joey|whoa whoa birthday like another month
phoebe|yeah throw party birthday surprise
monica|think great idea
monica|yeah could dinner party invite close friend
joey|ross
joey|surprise party rachel
ross|okay
joey|done
phoebe|okay great want together
monica|would love together
joey|gon na together
chandler|dude
chandler|girlfriend
joey|got ta shut
ross|right got ta take
ross|picking ben big audition
monica|gon na weird watch actor pretending ben dad
ross|yeah
chandler|weirder watching two mom make
joey|whoa whoa dad
joey|dad commercial
ross|yeah dad ben eat soup pretend enjoy
joey|whoa hey maybe go ya see get audition play dad
joey|mean better play ben father godfather
ross|godfather
joey|kidding
ross|course
ross|okay let u go godfather
joey|right
joey|hey
joey|gon na let audition
ross|really
ross|great
joey|know
joey|know
joey|turn one casting lady actually seen play steered clear
other|hey kid look familiar
joey|oh yeah yeah
joey|done ton commercial
joey|seen like sugar smack playstation one phone company
joey|fact good one actually convinced switch phone company
joey|chandler mad
ross|yeah well gon na get one
ross|ben way cuter kid
ross|mean look look
joey|great
joey|listen would great though got play ben dad
ross|joey look nothing like ben
joey|look like
other|yknow really know well enough
other|two nancy know like one think agree
other|rachel think
rachel|well umm one pretty uh love fabric sorry
other|oh sorry part job give opinion take credit kidding
other|kidding ever disagree
other|okay kidding
rachel|oh fun office
other|know one know need cigarette
other|say take break go outside figure come back
other|rachel
other|smoke
rachel|oh dad doctor would always tell horror story ghost goblin totally supported princess right smoke
rachel|came back smoking made decision without
monica|seem fair
rachel|know
rachel|like punished disgusting poisoning habit
chandler|yeah best
rachel|mean keep happening
rachel|yknow outside smoking making decision office breathing stupid clean air yknow
rachel|day come kim want promote one u think gon na pick
rachel|smokey smokerson
monica|rachel go smoke
monica|say wan na get fresh air
rachel|yeah
chandler|yeah easy thing smoke
phoebe|hey
monica|hey
phoebe|hey rach wan na get coffee
rachel|would love
phoebe|oh good
chandler|yeah wan na go babe
phoebe|oh good
phoebe|oh wait change mind
phoebe|okay let u talk party
phoebe|many idea
monica|yeah
phoebe|oh look
monica|right little sketch cake umm sample menu umm yknow thought would start tuscan style finger food music here alphabetized list cd
monica|highlighted one would go really good food
phoebe|happened intimate dinner party
monica|oh
monica|okay
phoebe|wow look like took care everything
phoebe|thanks lot co host
monica|take care everything plenty thing
phoebe|like
monica|cup
phoebe|cup
phoebe|giving cup
monica|ice
phoebe|cup ice
phoebe|ooh get charge cup ice
phoebe|right
phoebe|fine okay charge cup ice
monica|wait minute get ice restaurant
phoebe|got
phoebe|mine
ross|hi
monica|hey
monica|audition go
ross|good
monica|wait minute joeys audition go well
monica|yeah
ross|yeah
ross|yeah ben got second audition
joey|yeah teach ross bit actually get callback
monica|got callback
joey|yeah
other|hey rachel
rachel|oh well kinda lonely thought would come get fresh air
other|nancy talking fall collection
rachel|oh great
other|anyway really honey smoking
other|oh sorry
rachel|oh okay
other|move stay right
other|anyway sent design ralph excited line
other|oh great
other|best
rachel|excuse bum one
rachel|yknow actually okay okay okay funny
other|thought smoke
rachel|oh thought guy meant marijuana cigarette yknow
rachel|yknow mean like dubbies
rachel|actually thought wow guy crazy
rachel|actually smoke regular one time
other|get high
rachel|oh
other|kidding
rachel|oh
ross|oh god nerve wracking
joey|well unfortunately get many callback
other|good sign asked u hang around audition
joey|know
other|okay uh narrowed raymond ben kyle joey
other|rest thank much
ross|yes
ross|knew
ross|bye bye
ross|long
ross|later
joey|oh great
joey|might actually get play ben dad
ross|yeah
other|actually can not happen
other|yeah different look putting raymond kyle ben
other|either two two
joey|man gon na kinda weird
ross|yeah
other|yeah
other|gon na weird
ross|gon na like best friend gon na weird
other|oh oh thought talking
phoebe|hey
other|hi
phoebe|okay leave stuff til rachel birthday party
chandler|ah sure
chandler|em
phoebe|umm cup
chandler|oh good uh got rachel 800 gallon water
ross|seriously lot cup
phoebe|yeah well monica put charge cup ice monica gon na rue day put charge cup ice
chandler|yknow rued day get whole lot else done
phoebe|okay time bring rest cup
phoebe|oh hi joey
joey|hey pheebs
joey|hey
ross|hey
joey|ross good uh glad
joey|wan na talk something
joey|well thinking whole commercial thing yknow going ben two u competing can not lead anything good
joey|think gon na step aside
joey|gon na tell audition
ross|wow uh joey great
ross|thanks man
joey|gon na let
joey|career talking
ross|well
joey|said would let ben
joey|look ross anyone step aside ben
joey|chandler
joey|tell em
chandler|well mean let get door first
chandler|oh hi
chandler|one
ross|ben step aside
ross|audition first place
ross|tagged along
ross|like uh tag long dad
joey|least care feeling
joey|know hard gon na doesn ’ t get
ross|would get
joey|oh come
joey|seen kid
joey|huh
joey|mean dial phone
joey|eats tortilla chip
joey|play soccer cartoon tiger
ross|saying kid eats soup better kid
joey|give spoon baby
ross|oh yeah
ross|guess see
joey|yeah
joey|commercial belongs mitch
ross|kid name raymond
joey|yeah
monica|work go
rachel|oh great
rachel|great
rachel|went like said yknow
rachel|talked business
rachel|kim totally took opinion
monica|stink
rachel|thanks
monica|serious
rachel|well well went smoking
rachel|actually smell success
chandler|okay something different though oh god
chandler|smoked
chandler|yes
chandler|look happy sick smoked
rachel|right fine
rachel|career
chandler|wish smoked career
monica|gross
rachel|well bad yknow
rachel|mean yeah tongue feel little fuzzy finger sort smell actually feel like throw
chandler|okay got ta push past get good
monica|chandler
monica|tell smell smokey get
monica|kidding
chandler|think smell great
other|decided plaid yes pink
other|absolutely
rachel|board
other|rachel light
rachel|yeah yknow
rachel|really really trying cut back yknow
rachel|good luck rach
other|actually thinking quitting lately
other|oh sure every sunday night telling quitting every monday morning like
other|tell
rachel|well let u quit
rachel|quit
rachel|let u quit
other|sound appealing
other|oh never could
rachel|oh could
rachel|absolutely
rachel|help
rachel|get patch
rachel|could like patch sister
other|oh yknow really quit
other|okay let u quit
rachel|yes
rachel|great
rachel|give cigs
rachel|give
rachel|give
other|late husband gave lighter
other|kidding
rachel|okay
joey|hmmm soup
joey|hmm soup
joey|hmm soup
other|joey ross gon na second would mind watching ben use lady room
joey|oh yeah problem
other|thanks
joey|hi ben
joey|wan na actor huh
joey|got ta tell ya picnic
joey|ton rejection
joey|stability
joey|one day dr
joey|drake remoray next day eating ketchup right bottle
ross|joey
joey|ross
ross|ben
ross|mean ben
ross|ben
other|okay raymond joey
joey|hi
other|okay uh well let u try one
other|whenever guy ready
joey|uh oh
other|problem
joey|well noodle soup uh working tomato
joey|okay problem
joey|problem
joey|hmm noodle soup
other|yknow fine line hmm soup
joey|oh say
other|hmm noodle soup
joey|different
joey|oh
joey|yeah
other|right let u try one
joey|hmm noodle soup
other|okay
other|let u
joey|okay
joey|hmm soup
joey|mean noodle soup
joey|mean soup
other|come
other|yknow
other|need move
joey|one time
joey|see
joey|look
joey|hmm noodle soup
joey|damnit
rachel|hey
rachel|hey hey hey
other|uh oh busted
rachel|come guy
rachel|thought patch sister
other|yeah
other|work
other|rachel tried quit hard
rachel|well yknow started smoking could least told
rachel|come give one
rachel|talking
other|great
other|don ’ t give
other|tell gon na drag u
rachel|oh wait
rachel|drag
rachel|drag drag
other|forget rachel
other|proud well
other|gon na let blow
other|fact catch cigarette fired
other|go get
other|go want breathing stuff
other|go
rachel|okay
other|okay
other|come paris trip
rachel|oh man
phoebe|check
phoebe|cup hat
phoebe|cup banner
phoebe|cup chandelier
phoebe|thing started cup
chandler|great job cup pheebs
monica|go
phoebe|notice ice
phoebe|look
phoebe|crushed
phoebe|cubed
phoebe|dry
phoebe|watch
phoebe|ahhh
phoebe|mystical
chandler|awesome
monica|chandler
monica|everyone one eating tuscan finger food filling phoebe snow cone
chandler|snow cone
chandler|snow cone
chandler|yuck
monica|yknow go
monica|go
monica|right
chandler|thank
chandler|thank
