char|line
rachel|okay chandler
chandler|okay
rachel|horoscope say fifth special someone going give gift
chandler|oh well thank advance
rachel|op twelfth brings lover ’ s spat
monica|going make joke special present
monica|would
rachel|oh wait nineteenth secret crush announces
joey|hey guy
chandler|hey
rachel|oh god
rachel|it ’ s joey tribbiani mac c
rachel|h
rachel|e
rachel|e
rachel|e
chandler|oh that ’ s right
chandler|it ’ s first day
chandler|psyched fight fake crime robot sidekick
joey|psyched
joey|lead tv series
joey|i ’ ve dreamed year
joey|preparing
phoebe|joey you ’ re going great
joey|got act robot pheebs don ’ t know anything technology
joey|can ’ t even use chandler ’ s computer except find p0rn
joey|that ’ s ‘ cause it ’ s right turn
monica|think lover ’ s spat start little early month
phoebe|i ’ ll waiting
chandler|judging cover
chandler|you ’ re really supposed
phoebe|i ’ m deciding one use i ’ m gon na start writing another book
rachel|last one big seller
phoebe|well must know written 14 book
phoebe|one read tell well received
ross|hey
chandler|hey
rachel|hey
ross|guy later
phoebe|oh rachel appointment get hair cut
phoebe|want see want first
rachel|okay
ross|found elizabeth ’ s dad want meet
chandler|wait minute hold phone
chandler|you ’ re elizabeth ’ s dad
ross|come guy really want guy like
ross|would really help guy make look good
ross|thanks
monica|know tough parent teacher conference
other|uh here ’ s office set
joey|wow
joey|huh
joey|mac macaveli private investigator
other|let ’ s get wardrobe fitting
joey|okay
joey|hey uh get meet robot
other|i ’ m sorry don ’ t right
other|he ’ s right
joey|okay
other|joey tribbiani
joey|oh wow
joey|he ’ s lifelike
joey|unbelievable
joey|start tugging guy ’ s ear
other|wayne man created operates c
other|h
other|e
other|e
other|e
joey|wayne
other|i ’ ll let two guy get acquainted huh
joey|okay
joey|sorry uh where ’ s c
joey|h
joey|e
joey|e
joey|e
other|c
other|h
other|e
other|e
other|e
other|right
other|nice meet mac
joey|like temporary robot right
joey|well going like really cool robot y ’ know
joey|like terminator uh first saw
other|spent two year developing machine it ’ s absolutely state art
joey|i ’ m sorry don ’ t know doesn ’ t really look like anything
other|father paul stevens
other|dad ross geller
ross|it ’ s great meet paul
other|usually prefer elizabeth ’ s boyfriend address mr
other|stevens
ross|course course mr
ross|stevens
other|ross problem
ross|eh wh excuse
other|can ’ t get girlfriend age
ross|that ’ s funny
ross|umm
ross|it ’ s funny
other|don ’ t like going daughter ross
ross|okay
ross|see
ross|umm think give umm one chance change mind
other|okay
other|okay
other|i ’ ll give one chance change mind
other|got one minute
other|daddy
other|fine
other|two minute
other|go
other|1 minute 50 second
ross|okay umm want know never done anything like
ross|mean mean i ’ ve um relationship general uh never done student mean
ross|mean mean don ’ t haven ’ t done
ross|uh mean mean we ’ ve we ’ ve we ’ ve done stuff
ross|okay okay joke joke lighten mood
ross|umm two guy go bar
ross|one irish
other|i ’ m irish
ross|irish guy win joke
monica|ross
chandler|ross
monica|crazy we ’ d run
ross|oh god thank
ross|umm uh mr
ross|stevens i ’ d like meet friend uh phoebe monica chandler
phoebe|you ’ re elizabeth ’ s father huh
phoebe|see get rugged handsomeness
monica|mr
monica|stevens
chandler|there ’ s mr
chandler|bing
other|unfortunately lizzie ’ s mom passed away shortly born
other|raised
other|ohh
other|get lot
ross|okay umm don ’ t take seat y ’ know
ross|uh i ’ ll get u uh coffee yeah don ’ t
ross|uh guy talk whatever whatever want
ross|y ’ know
ross|whatever pop head
monica|y ’ know strange seeing ross time day ‘ cause usually he ’ s got child ’ s hospital
phoebe|yeah
phoebe|looking date
other|uh monica ross ’ s sister
monica|he ’ s great brother
other|sister
monica|ohh
other|passed away
other|ohh
other|oh don ’ t every time
chandler|uh ross ross great guy
chandler|roommate college
chandler|uh funny story you ’ re roommate college died didn ’ t
other|part yes
ross|okay paul elizabeth
ross|hope guy finding something talk
chandler|yes
rachel|hi i ’ m sorry i ’ m late ready ready talk
rachel|liz ’ s father get
other|i ’ m already
rachel|oh
rachel|ross sooo great
chandler|hey honey got kind little girl said gon na get kind baby
monica|said baby creep
chandler|little girl creep
monica|said baby
chandler|would baby creep
monica|would little girl creep
phoebe|guy i ’ m sorry could please talk little slower
chandler|going book
phoebe|yeah it ’ s relationship
phoebe|y ’ know
phoebe|trap pitfall keep going
phoebe|stuff great
monica|excuse
phoebe|none matter people really love
phoebe|people believe anything tell long it ’ s compliment
rachel|oh hi
other|hi
other|hi
other|think left key somewhere
rachel|oh
rachel|well let ’ s look
rachel|oh oh hey
rachel|right
other|oh right
rachel|oh good
other|thanks help
rachel|oh wait
rachel|sorry mr
rachel|paul
rachel|mr
rachel|paul
other|call paul
rachel|paul
rachel|umm wanted know ross really great guy
other|well maybe date would save trouble killing
other|okay
rachel|don ’ t look old enough twenty year old daughter
other|well young
rachel|oh
other|well yeah usually take two people
rachel|oh
rachel|yes
rachel|course know
rachel|meant y ’ know still ‘ we ’ ‘ you
rachel|’
other|i ’ m wife died shortly lizzie born
rachel|ohh
rachel|raised
other|yes
rachel|ohh
rachel|ooh
joey|hey
chandler|hey
phoebe|hey
monica|first day
joey|pretty great
joey|except get little attitude robot
chandler|damn robot they ’ re supposed faithful servant
joey|anyway wasn ’ t robot guy control
joey|yeah doesn ’ t like
joey|c
joey|h
joey|e
joey|e
joey|e
joey|knock sandwich right reaching one
joey|ohh
phoebe|well don ’ t get fired
joey|may hate i ’ m star
joey|y ’ know
joey|there ’ s limit many sandwich eat floor
joey|excuse
joey|joey tribbiani
other|joe
other|i ’ m glad found ya got audition ya
joey|wow
other|thing it ’ s kinda q
other|actor part doesn ’ t know might fired
