char|line
chandler|hey
monica|what ’ s matter
chandler|someone subway licked neck
chandler|licked neck
phoebe|oh willie ’ s still alive
chandler|guy
monica|oh mom called they ’ re gon na run engagement announcement local paper we ’ re looking good picture u
chandler|oooh i ’ m afraid exist
monica|that ’ s true great picture u
chandler|great picture standing next guy who ’ s going like
phoebe|oh god
phoebe|that ’ s creep you ’ re statue liberty
chandler|don ’ t know can ’ t take good picture
monica|oh here ’ s great one
chandler|yeah i ’ m
monica|know look tan
phoebe|hey don ’ t guy go get portrait done professional photographer
monica|that ’ s good idea
monica|bet one wind machine
monica|y ’ know
phoebe|yeah that ’ s great
phoebe|next chandler won ’ t look stupid
monica|chandler say
chandler|right warn i ’ m going
chandler|i ’ m going
ross|dude reverse lay
ross|oh
chandler|three pointer
ross|amazing
chandler|guy close lettin ’ u play time
rachel|hey look look phoebe ’ s talking uh cute coffeehouse guy
ross|oh guy call cute coffeehouse guy
ross|call hum pee
chandler|yes call ross lingers bathroom
phoebe|hey guy hum pee asked
rachel|hey thought guy married
phoebe|he ’ s getting divorced ross
phoebe|maybe know
ross|it ’ s club
rachel|phoebe guy ’ s going divorce good idea start going
ross|hey divorced men bad men
chandler|napkin club
rachel|oh got ta get back work
phoebe|don ’ t back half hour
rachel|yeah assistant tag sit ups office lunch
rachel|ohh
rachel|could spread cracker
chandler|rach crush guy would hire
chandler|mean y ’ know can ’ t date right
rachel|oh know
rachel|know
rachel|although made joke spend much time together call work wife
ross|soon he ’ ll able call lady knew got fired
rachel|gon na get fired i ’ m gon na act
phoebe|wouldn ’ t mind dating someone else
rachel|isn ’ t
rachel|he ’ s dating slut marketing
ross|maybe open divorced men ’ s club
chandler|dude sad
ross|could put uh uh basketball court back
chandler|could play
rachel|oh sit ups today tag
rachel|oh well drop give ten
rachel|uh drink lunch
rachel|cost report come
other|yeah filled last night
rachel|oh great could make four copy
other|hey rachel
rachel|ahh hi
rachel|hi
rachel|melissa what ’ s
rachel|i ’ m uh umm go store get stuff put backpack
rachel|y ’ know like dried fruit granola stuff
rachel|what ’ s
other|umm tag
other|oh gon na talk something tonight
rachel|really
rachel|got little crush tag ya
other|well we ’ ve flirting back forth hoping tonight would turn something little
rachel|okay whoa whoa easy melissa
rachel|ain ’ t locker room okay
rachel|y ’ know remember saying plan tonight
other|oh
rachel|oh yeah
rachel|right back work
other|hey
other|isn ’ t tag ’ s backpack
rachel|yeah melissa don ’ t want known uh office bitch call supervisor
other|great
other|that ’ s great monica
other|great
other|chandler want give u smile
chandler|okay
other|i ’ m sorry seat uncomfortable
monica|chandler listen sweetie know
monica|okay
monica|beautiful smile
monica|yeah
monica|right maybe don ’ t smile
monica|let ’ s try something else
monica|let ’ s try umm try looking sexy
chandler|okay
rachel|hi joey
joey|uhh well i ’ ve got audition street spilled sauce front shirt
joey|got extra one
rachel|yeah sure
rachel|umm
joey|great
joey|got anything that ’ s ralph lauren
rachel|yeah don ’ t think joe
joey|right guess fine
rachel|hey listen umm tonight
joey|nothing
rachel|would feel taking assistant tag
rachel|i ’ ll pay
joey|huh rach got say it ’ s gon na take lot money go date dude
rachel|i ’ m asking go date
joey|really
joey|‘ cause could kinda use money
rachel|joey he ’ s new town know doesn ’ t guy friend
rachel|take like ball game something
rachel|i ’ ll really appreciate
joey|yeah okay
rachel|yeah
joey|sure problem
joey|ooh hey donut
rachel|yeah
joey|okay
monica|know
monica|let ’ s try look far wonderment
monica|okay we ’ ll we ’ ll gaze future we ’ ll think marriage day come
monica|chandler
monica|matter face
monica|mean picture supposed say geller bing married local woman save drowning moron
monica|hey
monica|don ’ t laugh
monica|he ’ s drowning moron
chandler|aww
monica|that ’ s
monica|take
monica|take
monica|take
ross|like one
ross|seems say love that ’ s kill
monica|can ’ t bad
monica|find one make bedroom eye
monica|ohh
chandler|oh god
chandler|bedroom eye
chandler|ever sleep
monica|really want pull thread
phoebe|i ’ m really good time
other|i ’ m sorry guy subway licked neck
phoebe|ohh
phoebe|that ’ s okay he ’ s friend
other|hey uh don ’ t mean presumptuous two ticket ballroom dancing final tomorrow night want go
phoebe|yeah well y ’ know mean missed semi final i ’ d lost
other|know it ’ s really lame got ticket bos oh
other|god
phoebe|okay don ’ t freak
phoebe|i ’ ll go
other|it ’ s uh ex wife whitney
other|can not deal right
other|woman crazy
phoebe|okay know
phoebe|hold
phoebe|hey ross
ross|yeah
