char|line
chandler|walked bathroom saw kathy naked
chandler|like torture
ross|yknow ever go war you ’ re captured you ’ re big surprise
chandler|keep getting worse worse
chandler|yknow
chandler|mean it ’ s bad enough i ’ m love roommate girlfriend way think know
chandler|every time we ’ re room together there ’ s weird like energy u
chandler|call crazy think like
chandler|seen naked
chandler|mean least i ’ ve seen clothes could imagine body like covered bole something
chandler|bole she ’ s smooth
chandler|smooth
phoebe|wow
phoebe|could everyone totally see robe
other|go
joey|great
joey|right i ’ ll call later
other|great
chandler|hey hey hey
joey|would casey
joey|we ’ re going tonight
chandler|goin ’ huh
chandler|wow
chandler|wow
chandler|thing didn ’ t work kathy huh
chandler|bummer
joey|thing fine kathy
joey|i ’ m late dinner tonight right early dinner casey
joey|yeah yeah
joey|craziest thing ate whole pizza
chandler|wait
chandler|you ’ re going kathy
joey|yeah
joey|getting upset
chandler|well i ’ m upset
chandler|mean sex endless line beautiful woman must unfulfilling
joey|big deal
joey|it ’ s like we ’ re exclusive
chandler|look joey kathy clearly fulfilling emotional need
chandler|casey mean granted saw back head got sense she ’ s she ’ s smart funny get
joey|got back head
chandler|right look think it ’ s time settle
chandler|yknow
chandler|make choice pick lane
joey|who ’ s elaine
phoebe|little tiny tarzan swinging nose hair
phoebe|swinging greatest ease darn
phoebe|don ’ t know get next verse
ross|oh could go uh greatest ease bah bah bha bhannn
ross|go right
phoebe|yeah ooh like
phoebe|yeah
phoebe|wait
phoebe|know ‘ bah bah bha bhan
phoebe|’
ross|well umm y ’ know used play
phoebe|oh yeah that ’ s right keyboard huh
ross|yeah little high school really got college
ross|mean that ’ s that ’ s really found sound
monica|oh god
monica|orange juice came nose totally worth
monica|oh god completely forgot sound
ross|yeah
monica|used lock basement hour
monica|one every allowed hear sound
phoebe|wan na hear sound
ross|really
ross|mean nah haven ’ t played long well it ’ s it ’ s really personal stuff y ’ know
phoebe|come play funky music white boy
monica|yeah
ross|guy mean keyboard way yeah okay
ross|okay guy
chandler|right
chandler|bring
ross|go
ross|y ’ know i ’ ve i ’ ve never played stuff anyone it ’ s important understand it ’ s communicating private emotion
ross|y ’ know umm think umm work wordless sound poem
ross|that ’ s i ’ m
chandler|oh god
chandler|play
monica|boy umm terrific
chandler|really bitchin ’
phoebe|wow wow
ross|really
ross|mean really
rachel|yeah mean play public
ross|wow
ross|thanks guy
ross|that ’ s uh ohhh wan na wan na play another piece
ross|umm
ross|uh oh
ross|left uh helicopter sound another disk
ross|i ’ ll right back
ross|okay
ross|nice i ’ m
monica|oh god bless dad sound proofing basement
