char|line
phoebe|that ’ s like tenth time i ’ ve peed since i ’ ve
monica|that ’ s also like tenth time told u
phoebe|yeah oh i ’ m sorry must really hard hear
phoebe|tell ya it ’ s lot easier three baby play bringing noise bringing da funk bladder
phoebe|i ’ m sick pregnant
phoebe|happiness get cup coffee course decaf ‘ cause oh
phoebe|i ’ m pregnant
ross|pheebs want cookie
phoebe|thank much
rachel|uh pheebs honey mood swing coming
phoebe|haven ’ t really yet
ross|hey guy
chandler|hey
joey|hey
ross|right here ’ s ring
chandler|yes
chandler|yes
chandler|thousand time yes
ross|uh idea bachelor party yet
joey|whoa whoa whoa
joey|start handing wedding ring planning bachelor party don ’ t decide best man gon na
chandler|oh it ’ s awkward
chandler|it ’ s awkward
chandler|it ’ s awkward
ross|sort ’ ve already asked chandler
joey|got first wedding
ross|joey figured you ’ d understand
ross|mean i ’ ve known lot longer
joey|come ross
joey|look don ’ t brother i ’ ll never get best man
chandler|best man get married
joey|i ’ ll never get best man
ross|wait wait get best man twice never get
chandler|oh yeah course get best man
joey|said could
chandler|i ’ m even getting married
chandler|okay question science fiction writer
joey|can ’ t believe you ’ re picking
ross|hey
ross|heyhey
chandler|i ’ m even i ’ m even
ross|fine y ’ know that ’ s
ross|joey want best man
joey|yes
joey|shame man
phoebe|stop
phoebe|one baby kicking
monica|thought good thing
phoebe|it ’ s kicking it ’ s kicking one baby
phoebe|oh
phoebe|don ’ t make come
joey|hey
monica|hey
joey|guy like big bowl borrow
monica|yeah there ’ s one right cabinet
joey|thanks
monica|need
joey|oh we ’ re big party tomorrow night
joey|later
rachel|whoa
rachel|hey hey planning inviting u
joey|nooo later
phoebe|hey
phoebe|get as back tribbiani
rachel|hormone
monica|phoebe meant say umm come you ’ re party we ’ re invited
joey|oh it ’ s ross ’ s bachelor party
monica|sooo
joey|bachelor
monica|nooo
joey|stripper
rachel|nooo
joey|you ’ re invited
rachel|right fine
rachel|you ’ re invited party we ’ re gon na either
joey|oh whoa party
rachel|well umm
monica|baby shower phoebe
joey|baby shower
joey|wow
joey|sound sooo like something don ’ t want
joey|later
phoebe|can ’ t believe i ’ m gon na party
phoebe|great
phoebe|party
phoebe|yay
phoebe|don ’ t know
joey|i ’ ve got going party far liquor wise
joey|get lot liquor
ross|great
ross|great
joey|okay uh term invite list i ’ ve got chandler i ’ m gon na invite gunther ‘ cause well we ’ ve talking pretty loud
other|i ’ ll
joey|right oh
joey|listen know party i ’ d really like number museum geek gon na
ross|yeah
ross|tell ya let ’ s invite anthropologist dinosaur dude
joey|okay
joey|we ’ ll need six pack zima
chandler|hey guy
ross|oh planning bachelor party best man
chandler|yeah well good luck trying top last one
ross|yeah see don ’ t think it ’ s gon na difficult considering one won ’ t taking place basement pizza hut
chandler|oh i ’ m ross
chandler|i ’ m ross
chandler|i ’ m good hut i ’ m good hut
ross|look got ta go pick ben
ross|everything far sound great joey remember keep mellow side okay
ross|couple guy hanging playing poker stripper anything okay
joey|got
ross|okay see ya later
chandler|see ya
chandler|fun planning mellow bachelor party
joey|well there ’ s gon na stripper
joey|didn ’ t say anything stripper
chandler|said stripper
joey|oh chose hear
monica|look got
monica|look got
monica|look got
monica|believe make little people
rachel|little village people
monica|okay look one
monica|favourite
rachel|oh sweet
monica|know
monica|phoebe gon na love dressing
rachel|huh
rachel|except phoebe ’ s gon na one get dress
monica|she ’ s gon na get keep baby
rachel|oh god
rachel|throwing depressing baby shower ever
monica|wait minute
monica|unless give gift use she ’ s done pregnant
monica|like like umm regular coffee tequila
rachel|oh somebody get leather pant she ’ s always wanted
monica|oh she ’ s gon na love
phoebe|hell
phoebe|actually thought would make feel better give stuff can ’ t use another two month
phoebe|suck
phoebe|right what ’ s next present
ross|hey listen man stripper
joey|yeah
ross|good call
chandler|okay little announcement little announcement
chandler|i ’ ve decided best man best friend gunther
other|what ’ s last name
chandler|central perk
other|thanks marrying rachel
joey|oh whoa wait gunther don ’ t don ’ t forget shirt
ross|hey hey
joey|oh little party favour check
ross|wow
ross|yeah
joey|oh oh
chandler|okay okay little announcement want everyone know position best man still open
chandler|uh position bride
other|great
ross|smooth man
ross|yeah got chilie neck
ross|well want say thanks everyone great
ross|hey
ross|see guy monday morning
ross|thanks joey
joey|oh hey don ’ t forget shirt
ross|oh thanks
joey|okay hey museum geek party ’ s
joey|okay
joey|wave bye bye nice lady
joey|go
joey|back parent ’ s basement
joey|right
joey|come boy come
joey|go
joey|right
other|ohhh look little birdie
joey|yeah
other|wow didn ’ t know let keep chicken duck pet
joey|oh yeah yeah
joey|got duck totally trained
joey|watch
joey|stare wall
joey|hardly move
joey|white
other|really good
other|uh fun tonight throw one hell party
joey|oh thanks
joey|thanks
joey|great meetin ’ ya
joey|listen friend get married birthday tuesday
other|yeah would great
other|guess umm good night
joey|oh unless uh wan na hang around
other|yeah
joey|yeah
joey|i ’ ll let play duck
joey|hey stripper
joey|stripper stole ring
joey|stripper stole ring
joey|chandler
joey|chandler get
joey|get
joey|stripper stole ring
joey|ring gone
chandler|ugh
chandler|sec give minute wake ah ha ha
chandler|lost ring
chandler|you ’ re worst best man ever
joey|dude isn ’ t funny
joey|gon na
joey|go bed last night everything ’ s cool
joey|wake morning stripper ’ s gone ring gone
chandler|slept stripper
joey|course
phoebe|hi guy
rachel|hi
rachel|phoebe
monica|hi phoebe
phoebe|wanted apologise y ’ know seemed tad edgy yesterday shower
phoebe|y ’ know it ’ s hormone y ’ know
monica|hormone
rachel|hormone yeah
phoebe|anyway wanted say thank sweet
monica|wow seem much better
monica|that ’ s great
monica|thing going
phoebe|good
phoebe|y ’ know okay it ’ s feel like everything ’ s lately what ’ s happening
rachel|oh well actually talking going ross ’ s wedding
phoebe|oh
rachel|might hard given history
phoebe|wow
phoebe|reminds time umm living street guy offered buy food slept
rachel|well h like
phoebe|well let ’ s see it ’ s
phoebe|really like
phoebe|see actual problem uh like y ’ know bunch y ’ know high school crap nobody really give y ’ know
rachel|i ’ m i ’ m sorry thought
phoebe|alrighty come water work
joey|ugh
joey|don ’ t know i ’ m going
joey|called company sent th don ’ t care
joey|called 9 1 1 laughed isn ’ t emergency
ross|hey guy
chandler|hey
joey|hey
ross|wanted thank last night great party
ross|guy work blast
ross|y ’ know one never bachelor party
ross|yeah
ross|another one never party
joey|uh hey uh wedding ring huh
joey|man that ’ s nice
ross|yeah right
joey|uh thinking might want pick one baby might want get one
ross|ring
ross|grandmother first came country ring clothes back
chandler|might say ring irreplaceable
ross|oh absolutely
ross|family generation every bride worn long happy life
chandler|might say it ’ s magic ring
joey|yeah stripper stole
ross|ring
ross|wedding ring
ross|stripper stole wedding ring
ross|h
ross|could happen
chandler|well think started said hey joey don ’ t best man
ross|right right fine
ross|i ’ m gon na call cop
joey|dude screwed don ’ t turn
ross|stripper
joey|oh yeah well already
joey|said they ’ re gon na look right solved murder
ross|okay well we ’ ll call company sent
joey|wouldn ’ t give real name number
joey|said bothered they ’ d call police
joey|said talk police tell i ’ m missing ring
ross|joey
ross|wh wh
ross|telling
ross|there ’ s nothing
ross|well could happen
joey|look ross sorry
