char|line
ross|hey
chandler|hey
ross|wow
ross|look nice
ross|occasion
chandler|monica celebrating ten month anniversary got reservation ja george
ross|wow
ross|get
chandler|made call pulled string agreed seat u 11 30 chicken get desert
other|hi chandler
chandler|hey caitlin
chandler|somebody got haircut
other|ugh hate
other|look like 8 year old boy
chandler|yeah true gym class would lot interesting
other|uh 27 dollar even
chandler|oh okay
chandler|go
other|hey chicken
chandler|oh back
chandler|duck pissed said egg came first
other|great
other|see later
chandler|okay bye
ross|hell
ross|flirting
ross|supposed going know hmm let u say sister
chandler|flirting
ross|totally flirting
ross|somebody got haircut
chandler|okay first impression uncanny
chandler|second flirting casual conversation two people
ross|yeah right
chandler|wan na see flirting
chandler|show flirting
ross|good
rachel|proud joey can not believe going law order
phoebe|know
phoebe|think called order law
rachel|first arrest guy try
phoebe|get started
chandler|flirting
ross|anniversary shame
rachel|going
ross|chandler hitting hot delivery girl
chandler|oh god shh
ross|well sorry
ross|okay
ross|besides anyone hitting guy single guy something
phoebe|sound like somebody want mr
phoebe|pizza delivery girl
ross|well
chandler|like caitlin
rachel|ross
rachel|broke two year ago married since
rachel|think okay see people
ross|well watching day pizza place
rachel|hm mmm
ross|sexy funny cutest little
rachel|okay yknow
rachel|need measurement
phoebe|okay pepperoni pepperoni pepperoni okay ross know pretty love stupid
phoebe|forgot vegetarian
ross|perfect
ross|come back pizza turn charm ross
ross|oh glad eat meat
phoebe|see
phoebe|vegetarianism benefit everyone
joey|hey everybody look
joey|remember grandmother
rachel|big night
phoebe|cool
chandler|joey law order must proud
joey|chandler understand word english
chandler|sorry thought joeys grandmother
chandler|done
joey|biggest fan
joey|yeah one family believed
joey|yeah uh weighted like 27 pound born
monica|hey
monica|happy anniversary
chandler|happy anniversary 10 month
monica|umm shower thinking first night london
chandler|uhh joeys grandmother right
monica|one speaks english one
chandler|one
monica|hot love gave
monica|gon na go get ready
chandler|hey wear earring gave
monica|great idea
monica|saving something special
chandler|okay
monica|got go home
phoebe|like
monica|got ta go home get earring borrowed okay
monica|chandler want wear tonight
phoebe|okay well think purse
phoebe|go get dressed look
monica|great
phoebe|okay
phoebe|rach hi need earring borrowed
rachel|oh umm okay yeah yeah right back
joey|wow pheebs speak italian
phoebe|guess
rachel|go
rachel|thank
phoebe|wait rach
phoebe|one
rachel|oh want
phoebe|rachel karen green earring
rachel|okay okay okay look freak kinda lost
rachel|know apartment definitely lost
phoebe|well going tell monica
phoebe|want wear tonight
rachel|tell wear earring
phoebe|earring
rachel|nooo
rachel|nooooo
rachel|lent monicas earring
rachel|allowed borrow stuff
rachel|lose stuff
joey|okay see blind guy right
joey|gon na bash head later
joey|oh umm big scene coming
joey|big scene coming
chandler|said big lima bean bubbling
chandler|would understand difference
monica|rach
rachel|oh boy can not watch
rachel|scary
monica|diaper commercial
rachel|oh yeah well know baby responsibility ahhh
other|pizza delivery
ross|get
ross|get
other|hi
ross|hi
other|one uh vegetarian pizza
other|12
other|15
ross|oh
ross|uh way make feel better
ross|happen like 8 year old boy
ross|uh hair hair said thought look like 8 year old saying like
ross|hair
other|oh
other|thanks
ross|understand actually like 8 year old boy
other|yknow looking money
chandler|go
chandler|stop bringing u pizza
other|gon na try
chandler|welcome
ross|could let could ya
ross|girl really like swoop
monica|goin
ross|chandler totally flirting hot delivery girl
chandler|thank
chandler|flirting
monica|okay
monica|care
monica|uh fine
ross|really
chandler|really
monica|big deal time
chandler|umm flirt guy time
monica|sure
monica|mean anything
monica|like know mean anything
chandler|okay big difference
chandler|lot hotter
joey|true story
monica|chandler actually bother
chandler|yes bother
chandler|think would bother lot people
chandler|rachel going ross bother flirted woman
rachel|uhh bothered slept woman
ross|thank
rachel|yknow never really anything worry
rachel|ross never good flirting thing
ross|talking
ross|worked
rachel|oh
rachel|yknow
rachel|right
rachel|meet flirted bamn nine year later
ross|right right
ross|know going
ross|going order another pizza caitlin get show well flirt
ross|yeah
ross|get phone number
ross|one menu
phoebe|found
rachel|ohh
rachel|thank god
phoebe|dresser
rachel|okay one already
joey|okay here big scene
joey|big scene
joey|oh god
joey|okay everybody keep smiling
joey|kill grandmother find
chandler|well
joey|oh cut show
ross|sure
phoebe|maybe scene coming
joey|likely
joey|see body bag right
rachel|yeah
phoebe|terrible going
joey|know
joey|little old lady life career
joey|dumped day life almost died
phoebe|good
joey|smile
joey|face smile
joey|everybody smile
rachel|joey tell happened
rachel|fault
chandler|keep talking way gon na freak soon
joey|soon soon gon na soon
other|sam waterston
other|sam waterston
other|crime misdemeanor capricorn one
chandler|know hello
chandler|know capricorn one
monica|phoebe
monica|earring going leave soon show
phoebe|already gave back
phoebe|right already give back said
phoebe|earring
rachel|pheebs
rachel|ohh went joey chandler last night
rachel|okay
phoebe|make sure check chandler jewelry box
rachel|wait minute
rachel|chandler jewelry box
phoebe|okay like ten minute
phoebe|want get
ross|hey pheebs
ross|uh vegetarian pizza working ya
ross|vegetable real thing going huh
phoebe|weird
ross|like
phoebe|would cute
ross|okay working flirting
phoebe|ohh
phoebe|get
chandler|uh monica like law order
monica|yeah good
chandler|see finding stuff today like like law order flirted every guy tri state area
monica|chandler
monica|okay let get straight okay flirt
chandler|oh glad cleared
chandler|look sorry thing different men woman
monica|go teach something men woman
chandler|okay already taught much already whatever
chandler|see flirt guy think flirting big deal
chandler|guy thinking finally
chandler|somebody want sleep
monica|way
chandler|true
monica|well pathetic
chandler|true
monica|go guy
chandler|guy awake
chandler|go sleep guy end world wake behave exact way
joey|right another commercial still told
ross|joey
ross|like last commercial
ross|got like ten minute left
joey|know know
joey|going
joey|ooh
monica|gon na run leave
joey|yeah right
joey|ooh
other|joey
chandler|uh joey gon na right back
chandler|right back
chandler|meanwhile let u let u let u talk
chandler|old small
rachel|hey
phoebe|find
rachel|earring
rachel|look found sunglass couch
rachel|looking since like last summer
phoebe|okay sunglass borrowed
rachel|okay calm
