char|line
joey|okay pick card card
joey|right memorize
joey|show everybody
joey|got
monica|um mm
joey|right give back
joey|5 heart
ross|real magic exist
rachel|wow
monica|wow
monica|joey
joey|can ’ t tell
ross|ah somebody ’ s door ceiling
rachel|noo that ’ s unbelievably loud upstairs neighbor
monica|took carpet hear everything
phoebe|don ’ t go ask ‘ step lightly please
phoebe|’
monica|like five time guy charming go yell end apologizing
phoebe|ooh silly
phoebe|i ’ ll go i ’ ll tell keep
monica|right guest
rachel|good luck
joey|right right right right right really wan na know i ’ ll show ya
joey|handed back card didn ’ t see looked fast invisible naked eye
joey|i ’ ll slow guy see
phoebe|yeah look friend downstairs hear everything sick tired
other|whoa beautiful
phoebe|oh thank
chandler|hey anybody got length rope six foot long little nouse end
monica|honey what ’ s matter
chandler|saw janice
chandler|yeah rockefeller center skating husband looked happy
chandler|almost feel bad whipping kid ’ s pretzel
joey|man remember first time saw girl katherine broke
joey|walking friend donna laughing talking
joey|god killed
chandler|yes ended sex afternoon
joey|sorry excuse tell story yknow
ross|hey chandler there ’ s party tomorrow you ’ ll feel better
chandler|oh yknow i ’ m gon na okay don ’ t throw party
monica|it ’ s joey ’ s birthday
chandler|oh well anybody party
monica|sush
monica|can not believe still
chandler|okay well totally screwed punch line
chandler|yknow it ’ s supposed arrghh eh og errigh
other|how ’ s coffee comin ’ dear
rachel|yeah right away mr
rachel|kaplan
other|i ’ m supposed drink coffee make gassy
rachel|know
other|i ’ ll bet thinking ‘ what ’ s intelligent girl want fashion making coffee
other|’ eh
rachel|op
other|eh
rachel|oh got
other|well don ’ t think haven ’ t noticed potential
other|well i ’ ve got project that ’ s lot related fashion
other|sound
rachel|oh sound great
other|come sweetheart
rachel|oh thank much mr
rachel|kaplan thank much
other|need hanger separated asap
other|you ’ re welcome
rachel|oh god hate job hate hate job hate
monica|know honey i ’ m sorry
rachel|oh wan na quit think stick think would person stay demeaning job it ’ s remotely related field they ’ re interested
monica|gee don ’ t know rach
monica|order
monica|got yentel soup james bean howdy hold dowdy
rachel|oh honey come i ’ m sorry didn ’ t
rachel|don ’ t mind paying due yknow much gon na learn fashion walking mira arthritic seamstress bathroom
rachel|hi
rachel|misery amusing
other|i ’ m sorry wa wa ah
rachel|it ’ s funny actually job
other|oh believe i ’ ve
other|sort mannequin head mannequin plus
rachel|oh well i ’ m going go back talking friend
rachel|go back enjoying little hamburger
other|ah one thing
rachel|yes
other|ah work bloomingdale ’ s might know job possibility interested
rachel|want pickle
other|hey guy
monica|hey gunther
monica|hi
monica|mean you ’ re going date noisy guy upstairs
phoebe|well he ’ s charming
monica|know he ’ s charming two start going it ’ s gon na make much harder hate
phoebe|well you ’ re gon na try
monica|joey jell shot
joey|don ’ t know chandler supposed passin ’ ‘ em around
joey|chandler
chandler|hello dillillio
ross|oh somebody ’ s feeling better
monica|stick tongue
chandler|take shirt
monica|oh
joey|oh god
joey|many thing
joey|pure vodka
chandler|yeah jell like mom used make
rachel|unbelievable thing happened today
ross|hi
rachel|hi
rachel|i ’ m lunch monica ’ s guy start talking turn work buyer bloomingdale ’ s happens opening department
rachel|gave phone number he ’ s gon na call weekend see get interview
ross|wow
rachel|know
ross|guy helping apparent reason
rachel|uh huh
ross|he ’ s he ’ s total stranger
rachel|yeah
rachel|name um mark something
ross|huh
ross|sound like mark something want sex
ross|well i ’ m saying mean else would yknow swoop nowhere reason
rachel|nice
ross|hey joey
ross|men ever nice strange woman reason
joey|sex
ross|thank
ross|ah tell mark something
rachel|didn ’ t wearing ‘ i heart ross ’ sandwich board ringing bell
ross|uh huh
other|joey
other|happy birthday
joey|hey
joey|hey hey hey
chandler|okay many girl seeing
monica|hammered
monica|huh
monica|joey ’ s sister
chandler|hi joey ’ s sister
phoebe|hey
other|hey
other|drinkin ’
phoebe|well ah vodka cranberry juice
other|kiddin ’ that ’ s exact drink made right shot husband
phoebe|wow
