char|line
other|entertainment
other|people
joey|right
joey|go
joey|1999
joey|year joey
chandler|happy
joey|matter
chandler|wanted kiss midnight nobody else going yknow
joey|right take care
monica|oh wait
monica|joey
ross|73
ross|72
ross|71
joey|ross
joey|ross
joey|ross listen
joey|kissing midnight huh
joey|rachel phoebe
joey|well got ta kiss someone can not kiss sister
ross|well gon na kiss sister
joey|chandler
ross|awww man
ross|really
joey|dude dude would rather kiss sister chandler
ross|good point
joey|yeah
ross|oh well since whole history rachel guess phoebe
joey|okay great
ross|right
joey|pheebs
joey|pheebs
joey|ross want kiss midnight
phoebe|obvious ask
joey|rach
joey|rach
joey|listen gon na kiss midnight
ross|well everyones got ta kiss someone
ross|can not kiss ross got history
joey|would rather kiss chandler
rachel|oh good point
joey|yeah
chandler|happy new year
monica|happy new year
ross|happy new year pheebs
rachel|happy new year joey
joey|anything ya
ross|yknow
ross|gon na go limb say divorce 99
rachel|divorce even final yet
ross|one divorce 99
ross|yknow gon na happy year
ross|gon na make happy
chandler|want u leave room
ross|everyday gon na one thing done
ross|friend new year resolution
phoebe|ooh
phoebe|good one
phoebe|mine pilot commercial jet
chandler|good one pheebs
chandler|find planeload people resolution plummet death
phoebe|maybe resolution make fun friend especially one may soon flying europe free plane
monica|better chance sprouting wing flying nose making fun u
ross|fact bet 50 buck can not go whole year without making fun u
ross|eh yknow better yet
ross|week
chandler|take bet friend
chandler|know paying 50 buck could new thing day
chandler|start right
joey|right new year resolution learn play guitar
ross|ohh
phoebe|really
phoebe|come
joey|well yknow special skill listed resume
joey|would love would great one true
phoebe|want teach
phoebe|great teacher
joey|really
joey|taught
phoebe|well taught love
joey|yeah great
joey|thanks pheebs
rachel|op look
rachel|claire forgot glass
rachel|gon na really needing keep eye boyfriend hear need keep stapler desk drawer know talking
monica|hey rach maybe resolution umm gossip le
rachel|gossip
rachel|well maybe sometimes find thing hear something pas information yknow kinda like public service mean gossip
rachel|mean would call ted kopel gossip
monica|well ted kopel talked coworkers botched boob job would
rachel|like
other|see tomorrow
ross|okay
ross|hey
other|hey
ross|asked girl
chandler|nice
joey|nice
joey|yeah
joey|part resolution new thing today
ross|yes
ross|see
chandler|elizabeth hornswoggle
ross|right uh elizabeth hornswoggle
chandler|horn swoggle
joey|right chandler
joey|something funny name
chandler|think maybe heard somewhere
joey|oh really
joey|somewhere funny bet
ross|hi pheebs
phoebe|hey
ross|oh oh guess
ross|date elizabeth hornswoggle
phoebe|hornswoggle
phoebe|ooh must killing
ross|right see later
joey|see ya
joey|right pheebs ready first lesson
phoebe|okay
phoebe|oh touch guitar
phoebe|first learn learn
joey|umm okay
phoebe|okay lesson one chord
phoebe|know actual name chord umm made name way hand look
phoebe|bear claw
phoebe|okay umm turkey leg old lady
chandler|interesting approach guitar instruction
chandler|yknow might find amusing find regular
phoebe|hey everybody rachel good today
phoebe|gossip
rachel|didn ’ t
rachel|even found umm right well let u say found something something someone let u say gon na keep
joey|hey pheebs
joey|check check
phoebe|ooh nailed old lady
joey|yeah listen thought getting better way home today stopped guitar store
phoebe|touch guitar
phoebe|give hand
phoebe|string
phoebe|gim me
phoebe|pick
phoebe|want learn play guitar
joey|yes
phoebe|touch one
ross|hi
other|hi
monica|hi ben
other|auntie monica
chandler|ross wearing leather pant
chandler|nobody else see ross wearing leather pant
chandler|someone comment pant
rachel|think nice
monica|like em
joey|yeah
monica|like lot
chandler|mind
chandler|see people like ross generally wear type pant
chandler|see tight
chandler|maybe something area
ross|oh see needed new thing today leather store always smell good thought wow never really owned good smelling pair pant
chandler|oh come
ross|okay seriously think
joey|look like freak
rachel|awful absolutely awful
monica|new year resolution
ross|blind child
monica|take picture u together
monica|mean really think best resolution everyone enjoy picture
joey|well everyone enjoy music well
ross|god
ross|pant burning
ross|oh come want snuggle
ross|trying kill
ross|like volcano
ross|hot
ross|okay must
ross|pant couch
ross|umm hey mind use bathroom
other|go ahead
ross|thanks
ross|ahhhhhhhhhhhhhh
other|hey favorite part coming
ross|kay
ross|oh god
phoebe|tiger
phoebe|dragon
phoebe|iceberg
phoebe|joseph even study last night
joey|yes
joey|yes
phoebe|iceberg
joey|g sharp
phoebe|g sharp
phoebe|studying real name chord
phoebe|oh god
joey|touch guitar
phoebe|questioning method
joey|questioning saying stupid
monica|thank
phoebe|yknow none student thought stupid
joey|student
phoebe|yeah well yknow maybe need try little harder
joey|look maybe need try real teacher
joey|right
joey|andy cooper teach guitar look ooh nice picture little kid kid got guitar
phoebe|fine
phoebe|go learn qualified instructor
phoebe|come cry everyones sick tired hearing play bad bad leroy brown
rachel|baddest man whole damn town
phoebe|oh fine
phoebe|take side
monica|can not wait
monica|sneak soon ross pick ben
monica|tell rachel gon na laundry couple hour
chandler|laundry
chandler|huh
chandler|new nickname
monica|awww yknow nickname mr
monica|big
rachel|arghh
joey|hello
ross|joey ross
ross|need help
joey|uhh chandler
ross|well help
joey|okay
ross|listen elizabeth bathroom
joey|nice
ross|got really hot leather pant took must shrunk sweat leg expanded heat
ross|look can not put back
ross|can not
joey|oh
joey|quite situation
joey|uh see like powder
ross|powder
ross|yeah
ross|yeah powder
joey|good good okay sprinkle leg absorb moisture get pant back
ross|yeah okay hold
ross|coming man
joey|umm see oh vaseline
ross|ohh see lotion lotion
ross|work
joey|yeah sure spread
ross|hold
joey|ross
joey|okay
ross|still still coming man lotion powder made paste
joey|really
joey|uhh color
ross|difference make
joey|well paste match pant make pair paste pant know difference
rachel|joey minute
ross|dude gon na
joey|uh rachel good luck man let know work
rachel|oh joey problem
joey|oh well timing could better
joey|putting fire place
rachel|okay
rachel|okay
rachel|okay
rachel|joey got tell something
rachel|oh god huge promise can not tell anyone
joey|oh
joey|want know
rachel|yes
rachel|yes
rachel|yes want know
rachel|unbelievable
joey|care rach
joey|look tired guy know secret can not tell anyone
rachel|secret
rachel|know secret
joey|supposed gossiping
rachel|know know
rachel|can not keep one pick phone
joey|listening
other|ross umm long time
other|starting get kinda freaked
ross|right coming
ross|hey turn light
other|let u leave light
other|oh god
ross|problem
joey|hey pheebs
phoebe|can not talk
phoebe|fancy ad yellow page
joey|look pheebs wan na apologize saying method stupid maybe ask teacher
joey|promise touch guitar say ready
joey|really think ready
phoebe|uh huh
joey|wow
joey|cool
joey|chord least right
chandler|oh god
monica|heard pant sorry
ross|year supposed great
ross|second day loser stupid leather pant even fit
ross|look
monica|hey hey look
monica|look ross ben drew picture
monica|huh
monica|cowboy
ross|oh leather pant
monica|see
monica|ben think loser think cowboy
monica|something
phoebe|yeah
rachel|really something really cool
joey|howdy partner
ross|maybe get another pair
ross|ooh yknow fringe side
ross|gon na go kiss ben goodnight
ross|can not believe think cowboy
ross|would make good cowboy
monica|okay everythings wrapped think gon na go laundry
chandler|oh yeah
chandler|yknow shirt dirty
chandler|yep
phoebe|okay gon na go
phoebe|gon na go airport
phoebe|figure hang around long enough someone bound leave one plane unattended
rachel|good luck honey
phoebe|bye
rachel|hey uh joey
joey|umm
