char|line
other|scott silveri part ii written david crane marta kauffman part ii transcribed eric aasen
ross|right
ross|yes
ross|home hospital seven minute
rachel|yes hard part truly
ross|come we ’ re great start aren ’ t
ross|knew i ’ d get fast got kind record
phoebe|oh made
rachel|hi
ross|wait minute
ross|hell beat u
monica|took cab
monica|guy walk
ross|n
ross|took cab test run
chandler|hi
joey|hey
joey|made
ross|okay kind magic tunnel hospital
rachel|ross stay talk i ’ m gon na go baby
ross|okay
ross|okay
ross|umm hi rachel green
ross|i ’ m ross geller
ross|called car
other|right
other|semi private labor room waiting
other|minute
rachel|whoa whoa whoa whoa
rachel|i ’ m sorry semi private
rachel|asked private room
other|yes see
other|unfortunately can ’ t guarantee private room currently they ’ re unavailable
chandler|man you ’ d gotten sooner
other|i ’ m sorry
other|semi private room
rachel|okay
rachel|give u second
rachel|ross
ross|yeah
rachel|give money
ross|really think they ’ re room
rachel|they ’ re
rachel|ross they ’ re saving important people
rachel|okay
rachel|president
ross|well we ’ d lot trouble don ’ t know country
ross|okay
ross|uh say would umm would mind checking see umm private room may opened
other|hospital
rachel|okay
rachel|y ’ know
rachel|i ’ d say really don ’ t care tone
rachel|hospital city problem whoa
rachel|oh gosh
rachel|whoa
rachel|ow
rachel|ow
rachel|contraction
rachel|ow ow
rachel|ow ow
other|would like see semi private room
rachel|yeah couldn ’ t hurt look
other|well you ’ re two centimeter dilated need get ten
other|it ’ ll
rachel|oh okay
other|i ’ ll back hour check
ross|thank
rachel|thank
rachel|well guess time kill
ross|yeah guess
ross|whew
ross|check
ross|never done
rachel|yeah well look great
other|thank much
other|thanks
ross|hi
ross|hi i ’ m uh ross
ross|i ’ m ruin magical day
other|oh
other|don ’ t worry
other|marc coreger wife julie
ross|hi julie
other|hi
ross|rachel
rachel|hi
other|oh hi rachel
other|hi
other|first
rachel|yeah
other|well little jamie third
other|question need anything holler
rachel|that ’ s sweet
ross|yeah
rachel|oh
ross|umm say opened earlier let give guy privacy
other|nonsense
other|we ’ re together
other|yeah going share every moment
other|think we ’ re gon na fun
other|yeah
ross|oh okay
other|hey
other|smile
rachel|oh really don ’ t want oh
rachel|thank
rachel|oh
rachel|oh ross
rachel|come another contraction
ross|oh
ross|okay breathe
other|oh honey think i ’ m one
other|look
other|go
phoebe|oh wow three hour still baby
phoebe|ugh miracle birth sure snooze fest
monica|hey wan na see something
phoebe|sure
monica|umm going fun
monica|watch freak chandler
monica|honey
chandler|yeah
monica|listen uh i ’ ve thinking don ’ t know whether it ’ s we ’ re rachel ’ s giving birth umm think try baby
chandler|okay
monica|what ’ s
chandler|okay
chandler|i ’ ve thinking think we ’ re ready
monica|kidding
monica|think we ’ re ready baby
phoebe|oh fun
joey|you ’ re ready baby
joey|boy ’ s grown
chandler|said ready
monica|yeah screwing try get voice high weird like mine
chandler|yes haven ’ t wanted kid like forever
monica|okay back mister
monica|whoa
monica|‘ cause ready baby
monica|want joey father
joey|crazy
monica|that ’ s
monica|right
monica|wanted
other|sorry
other|doctor insisted closing curtain exam
rachel|oh that ’ s really okay
other|julie ’ s cervix dilated seven centimeter that ’ s four finger
other|doctor let feel
other|felt rachel ’ s cervix ross
rachel|don ’ t think we ’ ll
ross|we ’ re gon na
other|well like feel rachel ’ s feel mine compare
other|interrupting
ross|uh yes
ross|thank
rachel|oh
rachel|oh wait
ross|later
rachel|don ’ t
rachel|don ’ t leave people
ross|oh uh i ’ m sorry
rachel|ross
rachel|ross
rachel|ross
rachel|child father
ross|hi
ross|i ’ m glad you ’ re it ’ s gon na
ross|wished you ’ d called first
other|oh that ’ s right i ’ m coming back later father
ross|oh good
other|actually needed talk birth
ross|okay what ’ s
other|brought something want give assuming course want
ross|you ’ re asking marry
other|grandmother ’ s engagement ring want give rachel
ross|mom come
ross|thank
other|hear
ross|n
ross|okay
ross|we ’ ve
ross|we ’ re gon na get married she ’ s pregnant okay
other|honestly
other|ross isn ’ t girl picked bar humped
other|child family
ross|mom y ’ know
ross|can ’ t deal right
ross|i ’ m sorry
other|think
other|don ’ t i ’ ll talk humping
ross|gimmie
rachel|hi
other|oh hi dear
rachel|oh thank much coming
rachel|ross get
ross|came dragged labor room ask i ’ m rachel
phoebe|yeah
phoebe|aren ’ t rachel
ross|kidding
ross|look we ’ re gon na together we ’ re baby
ross|okay
phoebe|y ’ know
phoebe|seems two belong together
ross|okay stop
ross|can ’ t deal right
ross|go baby
phoebe|right
joey|god
joey|he ’ s crazy
joey|doesn ’ t want rachel
phoebe|know
joey|mean seriously she ’ s like perfect woman
joey|mean know turned hadn ’ t wanted would take arm haven ’ t bummed guy like
ross|hey
ross|who ’ s
rachel|new people
ross|happened disgustingtons
rachel|they ’ re baby
rachel|it ’ s fair ross got first
rachel|right left wheeled delivery
rachel|oh gave juicy shot little jamie crowning away
ross|wow
ross|sorry
ross|uh new people
rachel|well uh unusual pet name
rachel|including umm evil bitch uh sick b st rd
rachel|oh god oh
rachel|contraction
ross|yeah
ross|okay
rachel|ooh
rachel|ow
other|looking
other|don ’ t look sick b st rd
other|honey swear
other|wasn ’ t looking
other|she ’ s labor
other|like sick son bitch
ross|umm
ross|umm i ’ m i ’ m gon na
other|see
other|see
other|looking fat pervert
ross|i ’ m i ’ m sure one looking
ross|want privacy
other|miss girlfriend
ross|ignore
rachel|ross
rachel|he ’ s looking
ross|hey
ross|wan na live see baby
other|don ’ t talk husband like stupid b st rd
monica|oh good god
monica|want baby bad go steal
monica|going
monica|since crazy baby
chandler|i ’ m crazy baby
chandler|i ’ m crazy u
chandler|look we ’ ve always talked baby someday
