char|line
other|michael borkow part ii teleplay shana goldberg meehan scott silveri part ii story jill condon amy toomin part transcribed eric aasen part ii transcribed aaron
other|miller
monica|guy hurry
monica|flight leaf four hour
monica|could take time get taxi
monica|could traffic
monica|plane could leave early
monica|get london could line custom
monica|come
chandler|six hour trip london
chandler|that ’ s lot monica
monica|passport check
monica|camera check
monica|traveller ’ s cheque check
rachel|saying check
monica|y ’ know remembering pack thing
monica|yeah good thing get check
monica|mom never realized weird
phoebe|yeah mom used put head oven
phoebe|well actually one time
phoebe|pretty weird
ross|hey
monica|hey
ross|hey
ross|ready yet
monica|yep
monica|got ticket
ross|oh
ross|got ‘ em right check
joey|it ’ s london baby
joey|go
chandler|got passport
joey|yeah third drawer dresser
joey|don ’ t want lose
joey|ohh
monica|okay need vacuum it ’ s closet left hand side
monica|ah garbage bag next refrigerator
phoebe|okay okay rachel ’ s gon na can ’ t ask stuff
monica|yeah okay give try
chandler|right
chandler|let ’ s
joey|woo hoo
ross|yeah cheerie
joey|london baby
chandler|okay ‘ cause that ’ s gon na get annoying
joey|london baby
chandler|hey y ’ know
chandler|wrong
ross|well we ’ re
ross|guess get going
phoebe|ohhh wan na come give hug wish luck wedding don ’ t can ’ t get
ross|oh i ’ ll i ’ ll come hug
phoebe|great
phoebe|yeah could bring newspaper
ross|yeah
phoebe|oh great wedding
ross|thanks
phoebe|oh hey chandler wan na hug
chandler|hey
phoebe|oh great
phoebe|might well bring book it ’ s counter apartment
chandler|oh
ross|we ’ re
rachel|fun
ross|thanks
ross|ugh can ’ t believe you ’ re gon na
rachel|oh know
ross|come
ross|don ’ t come
ross|london
ross|come london
ross|please
ross|it ’ ll mean much
rachel|yeah well got ta work i ’ m sorry
ross|can ’ t take couple day
rachel|can ’ t
rachel|ross told
rachel|can ’ t
ross|wedding
monica|right y ’ know
monica|really late
monica|let ’ s go
monica|let ’ s go
monica|let ’ s go
ross|fine
ross|you ’ ll you ’ ll watch video get back
chandler|go phoebe
chandler|go phobo
chandler|phewbedo
chandler|phaybobo
phoebe|thank
phoebe|thank
ross|right let ’ s go
ross|bye pheebs
joey|bye pheebs
joey|london baby
phoebe|oh need hug
phoebe|don ’ t bring anything
joey|come
joey|something
chandler|i ’ m ignoring
joey|okay
joey|wan na camera guy
joey|right first stop westminster abbey
chandler|oh hell
joey|it ’ s london baby
joey|right hotel ’ s
joey|wait
joey|wan na go
joey|know
joey|i ’ m gon na go map
chandler|okay see little version
chandler|kill
joey|got
joey|go
chandler|okay
chandler|listen listen we ’ re gon na walk way entire time
joey|shhh
joey|man made lose
other|10 o ’ clock
other|caterer rang said going chicken kiev instead chicken tarragon
other|florist phoned say aren ’ t tulip
other|oh chilliest carpel tunel syndrome
other|we ’ re gon na
ross|whoa whoa whoa
ross|emily honey okay
other|well
ross|that ’ s that ’ s time
other|sorry
ross|sweetie got ta relax
ross|everything ’ s gon na great okay
ross|come
ross|come
monica|chicken kiev
ross|um hmm
ross|doesn ’ t sound delicious last minute
monica|yeah y ’ know something like salmon would much elegant chicken
monica|wouldn ’ t worry salmonella
monica|can ’ t wait see place you ’ re getting married
ross|yeah
ross|yeah
ross|yes place beautiful
ross|emily ’ s parent got married
other|still can ’ t believe they ’ re tearing
other|really lovely building you ’ ll ever see
other|mean it ’ s oh god
monica|it ’ s nice
other|oh
other|oh
other|oh
other|oh god
other|happening
other|going
ross|it ’ s right
ross|everything ’ s gon na right
other|how ’ s gon na right
ross|uh huh see
monica|okay talked guy shovel found happened
monica|torn day early
joey|right
joey|westminster abbey
joey|hand best abbey i ’ ve ever seen
joey|hey
joey|okay
joey|think abbey chandler
