char|line
joey|reactor ’ s gon na blow three second we ’ re never gon na make
phoebe|you ’ ve got get
phoebe|save
joey|won ’ t leave
phoebe|don ’ t worry i ’ m robot
phoebe|i ’ m machine
joey|you ’ re
phoebe|oh god
phoebe|extremely talented
joey|yeah you ’ re great
joey|okay let ’ s take
phoebe|mean really acting as
joey|yeah thought pretty good
phoebe|oh yeah you ’ re solid
phoebe|yeah you ’ re
joey|y ’ know
joey|think that ’ s enough
joey|yeah
joey|don ’ t want rehearsed
phoebe|fine
phoebe|i ’ ll without
phoebe|don ’ t need anybody else
phoebe|i ’ m gon na make
phoebe|you ’ ll see
phoebe|you ’ ll see
chandler|uh what ’ s thing you ’ re auditioning
joey|oh it ’ s new tv show
joey|yeah
joey|i ’ m part mac macaveli mac
joey|yeah i ’ m detective solve crime help robot partner
joey|he ’ s he ’ s computerized humanoid electronically enhanced secret enforcer c
joey|h
joey|e
joey|e
joey|e
rachel|mac c
rachel|h
rachel|e
rachel|e
rachel|e
joey|that ’ s title
joey|yeah
joey|y ’ know really lucked initial spell cheese
chandler|lucky
rachel|huh wait joey get you ’ re gon na like star tv show
rachel|mean you ’ ll like big cheese
rachel|big mac hey
rachel|love
joey|well don ’ t get hope probably gon na happen
chandler|would say joseph
joey|mean come guy
joey|tv show
joey|don ’ t know i ’ m good enough
rachel|joey talking
rachel|you ’ re terrific actor
joey|really think
rachel|ugh even ask question
chandler|whoa pretty
joey|yeah oh really nice
joey|taught work camera smell fart acting
rachel|sorry
ross|excuse
joey|like got many line learn fast sometimes need minute remember next one
joey|thinkin take big pause look intense know like
chandler|oh ok
joey|scene scene
joey|mr
joey|wallace dr
joey|drake ramoray sister neurosurgeon
joey|afraid situation much worse expected
joey|sister suffering
joey|vell eva veve done excellent vork vould say pwoblem qviiite clear
joey|play al pacinos butt
joey|right
joey|go shower butt
monica|oh god
joey|cmon guy
joey|real movie al pacinos big
chandler|oh terrific yknow deserve year struggling finally able crack way show business
joey|okay okay fine
joey|make joke care
joey|big break
ross|right right
monica|yes
ross|gon na invite u big opening
joey|right well i ’ m outta
joey|wish luck
phoebe|gooood luck
phoebe|gooood luck
phoebe|wish good luuuuuuuuck
joey|yeah whatever
ross|it ’ s turn
chandler|oh playing
joey|hey
chandler|hey
chandler|how ’ d audition go
joey|terrible
joey|messed every line
joey|shouldn ’ t even actor
ross|wait minute thing pretend didn ’ t go well really go well
joey|yeah fool ya
ross|totally
chandler|go well
joey|oh went amazingly well
ross|great
chandler|oh that ’ s great
joey|yeah yeah it ’ s two guy
chandler|oh god
ross|wow
joey|know they ’ re really good
joey|one guy allergy commercial who ’ s always getting chased big flower
ross|oh love guy
chandler|oh oh
joey|i ’ m nervous
joey|y ’ know
joey|callback isn ’ t tomorrow five
joey|feel like head going explode
chandler|well overdue
ross|look don ’ t worry
ross|okay
ross|you ’ re gon na fine
joey|there ’ s much pressure
joey|mean offense guy different
joey|don ’ t know you ’ d understand
ross|yeah none u deal pressure job
chandler|yes fran
chandler|know time looking wenus happy
monica|alright well tearing lettuce
other|uh huh
other|dirty
monica|oh oh worry gon na wash
other|like dirty
monica|call
other|uh going next
monica|well thought would cut tomato
other|uh firm
monica|theyr alright
other|sure gone bad
other|sure bad
monica|really ok
other|gon na slice real nice
monica|actually gon na jullienne
other|aaaahhhhhhh
monica|outa
rachel|monica i ’ m quitting
rachel|helped 81 year old woman put thong didn ’ t even buy
rachel|i ’ m telling i ’ m quitting
rachel|that ’ s
rachel|i ’ m talking bos right
rachel|yes
rachel|yes
rachel|yes
rachel|yes
rachel|yes
rachel|yes
rachel|okay bye call get message
monica|well happened
phoebe|well came massage everything fine
ross|oh god
phoebe|sudden hand problem anymore
phoebe|oh boy scout could camped
ross|ate sandwich
other|simple mistake
other|could happen anyone
ross|oh oh really
other|calm
other|come look office still trash
other|well quite large
other|throw away
ross|threw sandwich away
ross|sandwich
ross|sandwich
joey|want part much
joey|y ’ know
joey|don ’ t get part i ’ m never gon na eat macaroni cheese
joey|didn ’ t say
joey|that ’ s lie
chandler|oh come guy it ’ s like moved europe
chandler|moved across hall
chandler|would time weren ’ t monica ’ s allergy
chandler|you ’ re right could never lie
chandler|hate
chandler|get
chandler|hello
chandler|uh joey ’ s right
chandler|take message
chandler|yeah okay audition moved 5 00 2 30
chandler|okay great
chandler|bye
monica|ahh
monica|aren ’ t dressed yet
chandler|naked
monica|we ’ re supposed meet parent 15 minute
chandler|yeah okay talking guy
chandler|look mean okay come visit
monica|wh
monica|allergy
chandler|oh right allergy
chandler|hate
joey|yes
joey|ha ha
joey|right
joey|hey
joey|cool would could watch like real life sized version
joey|huh
joey|mean crazy would
chandler|crazy soccer
joey|hello
joey|talking
joey|audition ’ s ‘ til 5 00
joey|well nobody told
joey|who ’ d talk
joey|nevermind
chandler|mean didn ’ t get
joey|allergy guy got part
joey|thanks
chandler|well maybe fix y ’ know
chandler|maybe send big big flower scare
joey|could chandler
joey|part could ’ ve turned whole career around
chandler|messed
chandler|okay
chandler|i ’ m sorry really messed
joey|hey don ’ t even live anymore
joey|answering phone
joey|machine
chandler|bought ya
chandler|taught ya use
chandler|thought copier
chandler|look anything could would
chandler|okay
chandler|everybody ’ s allowed one mistake right
chandler|know coulda gotten vcr coulda gotten set golf club get woman repeller
chandler|eyesore liberace house crap
phoebe|bad
chandler|oh yeah easy say walk around sporting reject mr
chandler|collection
phoebe|chandler chandler
chandler|pity fool put jewelry
chandler|pity fool
chandler|hi
chandler|yeah mean late last night kathy got talking one thing another
joey|sleep
chandler|kissed
joey|that ’ s even worse
chandler|worse
joey|don ’ t know
joey|it ’ s
chandler|you ’ re right excuse
chandler|totally line
joey|line
joey|you ’ re you ’ re far past line can ’ t even see line
joey|line dot
chandler|look i ’ m saying magically forgive
chandler|you ’ re perfect
chandler|you ’ ve made error judgment
joey|name one
chandler|happened
joey|awww man
joey|promised wouldn ’ t take chair
chandler|hell happened
chandler|locked
chandler|hell stuff
joey|well guy came look unit said didn ’ t think big enough fit grown man
chandler|got voluntarily
joey|tryin ’ make sale
joey|oh man ever run guy know i ’ m gon na
chandler|bend
chandler|ok remember trading
chandler|get pretty one get mess
other|hi joey
other|well well look brought
chandler|bring
other|checking coat
other|joey gon na go wash cab smell hand
other|get white zinfandel glass red janice
chandler|janice
chandler|janice
other|oh
other|god
chandler|joeys tailor
chandler|took advantage
joey|way
joey|going guy 12 year
chandler|oh come
chandler|said going inseam ran hand leg definite
chandler|cupping
joey|pant
joey|ross tell
joey|measure pant
ross|yes yes
ross|prison
joey|said name one
chandler|can ’ t believe
chandler|idiot
monica|oh stop beating
monica|people make mistake
monica|thing happen
monica|aren ’ t message you ’ ve forgotten give
monica|apparently you ’ re good
chandler|think he ’ ll ever forgive
rachel|course
rachel|chandler important thing forgive
chandler|y ’ know
chandler|kinda
rachel|already
rachel|that ’ s pretty bad
monica|y ’ know
monica|forgive
monica|like bring pad go answer phone case okay
chandler|didn ’ t see mad y ’ know
rachel|i ’ m sure forgive
rachel|look
rachel|y ’ know fight make it ’ s way work
ross|took two people break relationship
rachel|yeah
rachel|girl copy place yesterday took full responsibility
ross|didn ’ t know taking full responsibility
ross|okay
ross|didn ’ t finish whole letter
ross|fell asleep
rachel|fell asleep
ross|5 30 morning rambled 18 page
ross|front back
ross|oh oh oh way u apostrophe r e mean ‘ you ’ u r mean ‘ your
ross|’
rachel|yknow can ’ t believe even thought getting back together
ross|fine
rachel|hey
rachel|know it ’ s common
rachel|doesn ’ t happen every guy
rachel|big deal
chandler|knew
monica|right go
rachel|ridiculous
monica|sold
rachel|sell
monica|yes
monica|absolutely sold
rachel|would let talk
monica|flick
rachel|ok well would let finish jus ow
rachel|hurt
phoebe|oh
phoebe|right
phoebe|let u
phoebe|happy thought
phoebe|happy thought
phoebe|ok gon na kick as
other|ow
other|ow
other|ow
phoebe|know
phoebe|know
phoebe|know
phoebe|alright let go stop
rachel|fine
monica|fine
phoebe|go
phoebe|know prison guy would like bitch
joey|okay buddy boy
joey|hide clothes wearing everything
chandler|oh god
joey|look
joey|chandler
joey|could wearing clothes
joey|maybe going commando
joey|yeah
joey|whew hot stuff
joey|ah better know lunge
chandler|joey
chandler|got joey special two pizza
chandler|joe
chandler|hello
chandler|damnit
chandler|hello
chandler|joey ’ s right take message think
chandler|he ’ s still got chance part
chandler|oh that ’ s great news
chandler|well obviously actor mauled dog
chandler|oh well that ’ s great
chandler|give joey message
chandler|thank
chandler|yes
chandler|okay mac audition 2 00
chandler|allergy actor attacked
chandler|dog flower
joey|hey
chandler|please tell got message
joey|message
chandler|actor playing mac couldn ’ t needed see 2 o ’ clock
joey|it ’ s 6 o ’ clock
chandler|du du wrote wrote board
chandler|wrote board went new york city looking ya
chandler|went ross ’ s
chandler|went coffeehouse
chandler|went place made sandwich
joey|can ’ t believe chandler
chandler|sorry
chandler|don ’ t know say
joey|well might say congratulation
joey|saw board
joey|went audition
joey|got part
chandler|supposed funny
chandler|really worried
joey|oh well i ’ m uh
chandler|y ’ know sometimes fake thing mean
joey|oh wow
joey|okay man i ’ m sorry
joey|mean make feel bad
chandler|well that ’ s good
chandler|didn ’ t
chandler|i ’ m incredibly happy ya
joey|that ’ s mean
joey|really going
chandler|oh could day
joey|yeah you ’ re right
joey|okay look listen let ’ s talk huge star i ’ m gon na
chandler|gon na huge star
chandler|i ’ m gon na hug ya
joey|hug
chandler|right
joey|hey much
chandler|think
chandler|yeah get
joey|yeah
joey|come c
joey|h
joey|e
joey|e
joey|e
joey|i ’ m leaving without
joey|try routing backup source primary cpu
phoebe|can ’ t
phoebe|circuit fried
phoebe|they ’ re fried tell
joey|wow
joey|well i ’ ll carry
ross|that ’ ll neat trick you ’ re you ’ re dead
joey|ross don ’ t yell
ross|explosion okay
ross|hearing would impaired
phoebe|thought excellent
phoebe|fact minute like ooh where ’ d ross go
ross|thank
ross|say first scene meet mac
phoebe|yeah
ross|oh god
ross|mean
joey|y ’ know
joey|think that ’ s enough today
joey|thanks help
phoebe|he ’ s holding u back
ross|totally
