char|line
joey|previously friend
ross|mean don ’ t feel like even girlfriend anymore
rachel|want quit job feel like you ’ ve got girlfriend
ross|mark
rachel|oh god
ross|okay it ’ s it ’ s
rachel|oh god
rachel|can not keep fight ross
rachel|look urrgh maybe take break
ross|fine you ’ re right
ross|let ’ s ah let ’ s take break let ’ s cool okay let ’ s get frozen yoghurt something
rachel|break u
rachel|big stupid fight said wanted take break don ’ t want take break
ross|i ’ ve thinking crazy mean don ’ t don ’ t think work
other|hey want drink
ross|who ’ s
rachel|nobody
ross|mark
rachel|umm honey look came
ross|yeah
ross|got
other|hey come dance
other|married
other|‘ cause that ’ s okay
monica|hey
rachel|hey
monica|how ’ s big anniversary dinner
rachel|well never actually got dinner
monica|ohhh nice
rachel|kinda broke instead
rachel|god monica it ’ s ceiling
monica|that ’ s okay important fruit ceiling
monica|broke
rachel|yeah it ’ s okay ross left mark came
monica|oh
monica|rachel mark
rachel|it ’ s okay calm
rachel|mark talked realised much love stupid brother yeah got problem really want make work
other|morning
rachel|hi it ’ s
rachel|i ’ ve trying reach night
rachel|feel awful
rachel|please ross got ta know nothing mark
rachel|whole break thing stupid
ross|yeah
rachel|eh i ’ m sorry put
rachel|yknow don ’ t want get back together machine
ross|na huh
rachel|love
ross|love
rachel|yknow i ’ m gon na i ’ m gon na go bed ah way work tomorrow morning i ’ m gon na stop around 8 30
ross|okay
rachel|bye
ross|chloe chloe how ’ s coming
other|hey kind puppy think get
ross|umm oh hey don ’ t know
ross|big one
other|apartment
ross|well small one
ross|listen let ’ s kinda get going
other|wait
other|where ’ s shoe
ross|sure need shoe
ross|okay
other|know we ’ re rushing
ross|yeah yknow ah girlfriend told last night
ross|well turn ah want get back together
ross|oh found
other|that ’ s great guy
ross|yeah
other|must happy
ross|yes yes one many thing i ’ m feeling
ross|well
other|good luck girlfriend
ross|oh thank
ross|hey hey
ross|rachel
rachel|hi
rachel|ohhh got message
ross|yeah oh hey right time
rachel|say
rachel|girlfriend
ross|yes much
ross|ahhhh
phoebe|hey
monica|hey
phoebe|hey mopping ceiling
monica|oh there ’ s banana
phoebe|wow spirit old indian woman living mine
monica|know
phoebe|mailman downstairs brought mail
monica|oh good
monica|thanks
phoebe|fabutec
monica|okay right don ’ t judge much
monica|okay
monica|um saw info mercial um swear never ever bought anything tv except mop
monica|stuff leg waxing looked amazing
phoebe|waxine
monica|yes
monica|seen
phoebe|oh it ’ s incredible
phoebe|want waxine girl
monica|know
phoebe|god
phoebe|think really doesn ’ t hurt
phoebe|‘ cause
monica|hello
