char|line
joey|huh
joey|whaddya think
joey|casa de joey
joey|huh
joey|decorated
ross|get
monica|wow joey uhh
joey|art
monica|art
ross|look check
ross|coffee table panther
ross|need decide
rachel|hey nice pillow
rachel|tell genuine muppet skin
phoebe|hey excellent excellent water table thing
joey|thanks yeah
joey|love ya know make wan na pee
phoebe|yeah well yeah
phoebe|think challenge
joey|hey come uhh chandler come
ross|well uh cause thing wi thing
joey|right go got
phoebe|ya show u rest casa
joey|yeah
joey|uh oh oh best part cmon
joey|heh
rachel|hey nice toilet
joey|behind
ross|wha phone
joey|right phone
monica|joey promise something
joey|yeah
monica|never call phone
rachel|ok go
rachel|honey sorry apple pie someone got last piece
phoebe|oh god oh god oh god oh god
phoebe|gon na believe
phoebe|discovered
chandler|wait minute claimed name france four year ago
phoebe|anyway ok promise like freak say great done ok
phoebe|ok
phoebe|met producer like teeny record company said fresh offbeat sound want demo smelly cat
phoebe|told yet
phoebe|want video
phoebe|done yet ok
phoebe|god
phoebe|ok go well may even want make album
phoebe|done
rachel|oh god
rachel|ross ok care get pie man hood
ross|get
rachel|pie hood pie hood
rachel|go
ross|sorry pie hood
ross|get coffee guy pant back hospital 7
monica|damnit ross get butt bathroom
ross|calm blow drying
monica|blow drying hair
rachel|goin
monica|boyfriend hour
monica|can not believe like living
monica|go sleep wake want use shower ughh
monica|like sixteen
rachel|well sixteen adult
monica|get dufus
rachel|ya know rubber glue
monica|hope cleaned hair drain
ross|hope cleaned hair drain
monica|shut
ross|shut
monica|cut
ross|mi mi mii
rachel|never wanted
chandler|whaddya say boy call
chandler|well ya know say
chandler|ask slipper question
chandler|going crazy
joey|hello
chandler|hey
joey|hey
chandler|listen sorry make today
joey|oh ok
joey|uh thing
chandler|yeah well hear place look great
joey|ahh forget havin ball
joey|apartment doin
chandler|oh hey terriffic
chandler|mean regular space
chandler|fest
joey|oh well great
chandler|yeah
chandler|wanted call say hey
joey|well ok
joey|oven timer
chandler|right friend
chandler|time
other|baywatch
joey|oh believe gave stephanie skin cancer
chandler|still can not believe promoted lieutenant
joey|naa sayin love yasmine blepe
chandler|well could anyone love yasmine blepe
joey|hey hey runnin
chandler|see brilliance show
chandler|say always keep running
chandler|time running
chandler|run
chandler|run yasmine run like wind
monica|thought wanted live
joey|thought great
joey|figured like time alone thought ya know turn many thought think
phoebe|joey talk chandler moving back
joey|really think take
joey|mean pretty good talk last night moved hurt bad
monica|promise would definitely want back
ross|telling way moving back
chandler|one greatest talk ever last night
chandler|mean like first started living together
ross|look know want hear right seen new place alright
ross|happy decorated
rachel|look chandler moved ok
ross|gon na accept fact friend ok
ross|rommmates anymore
other|ok phoebe ready try one
phoebe|ok
phoebe|smelly cat smell ly cat feeding
phoebe|smelly cat oh woah oh god
phoebe|mean like
other|backup singer
other|beind
phoebe|oh
phoebe|oh thought watching
phoebe|know like like aquarium ya know
other|alrighty
other|top
phoebe|ok
phoebe|smelly cat smell ly cat feeding
phoebe|smelly cat ok sorry
phoebe|getting everyone um get smelly cat acually
phoebe|think maybe could talk need feel really care cat
other|honey uh talk
other|costing hundred dollar minute
phoebe|oh ok
phoebe|um cat stink love let u go
ross|way velociraptor
ross|tony look cranial ridge ok
ross|dino velociraptor would eaten flintstone
ross|yeah yeah
ross|oh takin nap
ross|oh oh wait tony hang
ross|line
ross|hello
ross|oh yeah uh call back
ross|ok thanks
ross|call joanna
ross|hi
monica|leave number
ross|see write one
monica|number butt munch
ross|well call back baby
monica|baby baby
ross|look wan na get back
monica|wan na get face
ross|wait hold tony hold
ross|hello
ross|hi yeah right
ross|um hold
ross|hi tony call back
ross|uh sister boyfriend
monica|give
ross|ok
monica|hi sweetie look forget leave diaphram place
monica|hi mom
joey|hey
chandler|uhh palace
joey|know funny mention thinkin
joey|box
chandler|oh uhh actually uh news
other|hey chan joey guy gon na come pick moose hat toss
chandler|well uh ask
chandler|joey new roommate eddie
other|nice meet ya
joey|likewise
joey|uh take
joey|came
joey|new
joey|two meet
other|uh supermarket uh ethnic food section
other|helped pick chorizo
joey|wow
chandler|well know got talking uh said needed place spare room
joey|oh spare room
chandler|well yeah used
chandler|spare
joey|well uh got came
joey|uh see guy
chandler|hey jo
chandler|whend start usin mousse hair
other|guy great
joey|yeah yeah
monica|can not believe new roommate
monica|guy
ross|uh eddie something
ross|met
rachel|never last rebound roommate
phoebe|hey
phoebe|oh check oh check
phoebe|smelly cat video
phoebe|ok seen yet like well none ever made video
phoebe|ok
phoebe|oh god
ross|know
phoebe|sound amazing
phoebe|never heard sing
phoebe|mean except head
phoebe|oh cool hear hear
rachel|pretty uhm different huh
phoebe|oh sorry incredibly talented
other|hi joey goin man
joey|eddie
chandler|morning
joey|morning
joey|uh came pick mail
joey|mail
chandler|oh uh table
joey|keep table
chandler|eddie like keep
other|alright go friend
other|egg la eddie huh
chandler|oh ooh
joey|huh
joey|uh thought liked egg bread hole middle la
chandler|well uh eddie make way well pretty darn good
other|well guy outta
other|see ya pal
chandler|see ya
joey|two gettin along
chandler|oh could happier
joey|great well happy ya
joey|alright
joey|come mr
joey|jonny neweggs movin mail see ya pal
joey|juice
joey|juice f people need juice want juice
joey|need juice
chandler|another carton right
joey|hey juice anymore alright man
chandler|alright
joey|egg
joey|egg like better mine huh
chandler|well like egg equally
joey|oh come
joey|nobody like two different kind egg equally
joey|like one better wan na know
chandler|well difference
chandler|egg anymore
chandler|took egg left
chandler|really expect never find new egg
monica|wan na watch entertainment tonight
ross|tough noogies watching predator serengetti
rachel|would guy stop
monica|tv
ross|wha oh quit
monica|bite
rachel|oh god
ross|well monica keep changin channel
monica|oh great tell mommy
rachel|mommy little play
rachel|alright look refuse get sucked like weird little geller dimension thing ok
rachel|gon na go take nice long hot bubble bath kid driving crazy
monica|ok gon na
ross|well guess could tape entertainment tonight
monica|u
monica|oh god ross jus ever sin
ross|ow ow ok
ross|alright alright mon mon gone ultrasonic alright
monica|can not stand time
ross|can not stand
ross|ya know havin fun
monica|fun
monica|fun think fun
ross|yeah cmon mean though know thought foolin around
ross|like uh kid
monica|ross hated kid
ross|hated kid
monica|yes
monica|hated
monica|mean loved brother kind way basically yeah hated gut
ross|hate
monica|mean teased always always got way
ross|fun
monica|duh huh
ross|can not believe hated
monica|love
ross|really
monica|yeah
monica|gon na stop pissing
monica|kill
ross|wan na watch uh entertainment tonight
monica|yeah thanks
monica|know
monica|really want watch serengetti thing
ross|ohh
ross|ok
phoebe|hey
phoebe|listen
phoebe|going believe singing video
phoebe|yes
rachel|well find
phoebe|well ok record company sent piece paper sign saying ok someone else sing
phoebe|first clue
monica|gon na
phoebe|well can not work people would
monica|sure
phoebe|mean poor woman
ross|woman
phoebe|voice woman
phoebe|ya know mean great voice video
rachel|ok phoebs
phoebe|well video pay attention
phoebe|voice woman talented according producer people said like right look something ya know
phoebe|mean like like one imals pound like nobody want pretty enough know
phoebe|like like old dog kind like stinky
phoebe|huuuuh oh god smelly cat
phoebe|oh oh song many level
chandler|hey eddie uh wan na play foosball
other|thanks man uh really sport
chandler|yeah ok alright
chandler|matter time baywatch
other|like show
chandler|like show
other|wha n
other|mean bunch pretty people runnin around beach ya know
chandler|well brilliance
chandler|pretty people
chandler|running
other|tell ya gon na go read room little
chandler|oh ok man
phoebe|smelly cat smell ly cat feeding
phoebe|everybody
phoebe|monica
monica|take vet
phoebe|chandler
chandler|obviously favorite pet
monica|joey
joey|may bed rose
phoebe|rachel
rachel|friend nose
phoebe|uh ross line sorry
phoebe|ok guy
