char|line
monica|look cute bubble
chandler|ehh liquored
joey|hey
joey|comin
chandler|long hard day
joey|ahh gon na go get chicken
joey|want
chandler|ahh thanks
chandler|chicken bye bye
joey|okay
joey|sure
joey|extra crispy
joey|dirty rice
joey|bean
chandler|last time
chandler|get
chandler|get joey
joey|right
chandler|okay
chandler|sorry would leave
chandler|kept asking chicken
monica|chicken
monica|could eat chicken
chandler|hey joe
chandler|yeah get 3 piece cole slaw bean coke yelp
phoebe|hey
chandler|hey pheebs
joey|mornin pheebs
phoebe|tell story
phoebe|okay coming driver
joey|name angus
joey|oh cab driver london
phoebe|oh
phoebe|ha ha ha
phoebe|right anyway
monica|wait place pub took u
chandler|uh wheat chief
joey|yeah yeah yeah beer
joey|uh
monica|bodingtons
chandler|ooh
chandler|ahh pheebs gon na tell story
phoebe|yeah really funny hat want talk
ross|hey
joey|hey ross bodingtons
ross|yeah
joey|good beer
ross|ohh
joey|yknow walk back london another frosty one bad boy
ross|yknow think british pub near trade center
joey|later
ross|rachel supposed back
monica|yeah plane got delayed athens
monica|actually
ross|oh talked
ross|sound mad
monica|like
monica|abandoned plane greece
ross|okay abandon rachel
ross|okay
ross|emily showed airport
ross|go
ross|mean
ross|wife
ross|rachel wife
ross|yknow emily
ross|emily wife
ross|man
phoebe|still heard emily
ross|since lost airport
chandler|can not believe run man
ross|hey fast
ross|okay
ross|oh
ross|think beat
ross|let u go
ross|outside
rachel|hi
ross|rach rach sorry
ross|sorry
rachel|oh ross come
ross|mad
ross|mean must terrible
rachel|terrible
rachel|hell greece
rachel|nice hotel
rachel|nice beach met nice people
rachel|shabby rachel
rachel|well yeah
rachel|cool
rachel|totally cool
ross|oh thanks
ross|oh best
rachel|oh best
ross|ohh got ta go flower store
ross|check one tell emily gon na send 72 long stem red rose emilys parent house one day known loved
ross|oughta get talking
chandler|oh ross make card sure make em ly
monica|rach great
monica|good good time greece
rachel|good time greece
rachel|ross abandoned
rachel|okay could get plane stay honeymoon suite people coming time going oh mr
rachel|geller cry
rachel|mean sooo humiliating
rachel|felt like idiot
rachel|mean fault
rachel|know make bad decision
chandler|oh true
rachel|yes
rachel|true
rachel|went went ross stupid london
phoebe|london stupid
phoebe|stupid
rachel|phoebe right
rachel|never gone london make decision
phoebe|oh someone comfortable kind power control someone life
rachel|fine
rachel|monica control love life
chandler|okay got ta go work
chandler|uh rachel glad back
chandler|pheebs
chandler|always pleasure
monica|oh rachel sweetie look here really cute picture joey reception
rachel|ohh married
rachel|ross married
rachel|can not still can not believe
monica|honey sweetie edge
rachel|mean yknow gon na accept
monica|ohh
rachel|mean fault
monica|sweetie
monica|edge
monica|finger
monica|smudgey
monica|picture
rachel|oh god
monica|okay
monica|okay
monica|know upset right
monica|know know
joey|bet little
monica|would stop thinking ross one minute would notice great guy everywhere
monica|mean look
monica|look gunther
monica|mean nice cute
rachel|yeah guess gunther kinda
monica|oh guy
monica|remember
monica|guy flirted counter time
rachel|oh know
rachel|know
monica|going talk
monica|yknow
monica|made deal make decision say going talk
rachel|right bos
rachel|guess got ta tell
joey|say golden
phoebe|hey
rachel|hey
joey|hey pheebs
monica|got picture back london
monica|here u tower london
phoebe|oh
phoebe|yeah ross joey
chandler|right yknow talking london much
phoebe|sorry
phoebe|could
phoebe|ever get pregnant stuff bum
monica|happened
rachel|well yknow little little
rachel|got date tomorrow night
monica|see tell
monica|getting ross already
rachel|well
other|get
monica|took long
chandler|got caught work quitting tomorrow
monica|oh good
chandler|thanks
chandler|rach
chandler|pheebs
joey|see ya
joey|hell
monica|probably yknow european good bye thing picked london
rachel|european
phoebe|well felt french
rachel|oh god really good time
other|yeah
other|guess
rachel|yeah
rachel|umm unless wan na come inside
other|yeah
rachel|okay
rachel|oh uh wait minute yknow
rachel|uh can not decide
rachel|umm okay hold second
other|okay yeah
rachel|umm hi
ross|hi
rachel|monica around
rachel|ask something
ross|laundry
ross|came mail today uh 72 long stemmed red rose one day known loved emily cut mulch
rachel|oh honey awful
ross|oh bad
ross|monicas gon na make potpourri
ross|think gon na go wander rain
rachel|raining
ross|can not catch break
rachel|yknow ross
rachel|going anywhere
rachel|gon na sit right
rachel|gon na make cup tea gon na talk thing whole
rachel|right
rachel|hey dave
other|yeah
rachel|umm listen gon na need take rain check roommate really sick
rachel|okay
rachel|bye
rachel|honey listen know know thing seem bad right
monica|rach
monica|talk minute
monica|dropped sock
rachel|yeah
monica|matter
monica|want fall trap
monica|want fall trap
rachel|ohh
rachel|drop sock
monica|ran dave told blew
monica|mean listen
monica|calling shot
monica|say leave ross alone go get dave
monica|hell trying
rachel|well ultimately trying yknow wanted tell yknow still love
monica|can not tell
rachel|people love hear
monica|make decision say
rachel|well yknow make decision yknow fired
monica|can not fire
monica|make decision say fired
monica|ha
rachel|well
monica|rachel
monica|come
monica|let
joey|havin trouble
monica|rachel locked door
joey|kick door give little sugar
monica|rachel
monica|let
monica|rachel
monica|thank
monica|rachel talk outside sec
monica|really need talk
rachel|well talk
monica|okay
monica|remember thing discussed wanted
rachel|yes
ross|thing
monica|well rachel want take swing dance lesson
monica|think really stupid idea
monica|dangerous never gon na get want know might end hurting
ross|monicas right swing dancing tricky
ross|gon na use phone
ross|got ta cancel five giant teddy bear sent emily
ross|god think massacre
rachel|gon na
monica|right rachel know know think crazy please tell love try find one person think good idea
monica|bet can not
monica|please
rachel|right fine
monica|joey
joey|right
joey|good deal
joey|uh okay pheebs
phoebe|yeah
joey|umm yknow day talking get go london kinda feeling left
phoebe|yeah
joey|right well felt really bad decided take little trip together
phoebe|ohh nice
phoebe|great
phoebe|well
phoebe|trip
monica|well thought would go picnic central park
phoebe|central park
joey|yeah u
joey|day
