char|line
chandler|hi
ross|hey
monica|hey
chandler|say goodbye ohio
phoebe|oh right
phoebe|adoption interview
monica|yep gon na meet lady could carrying baby
joey|can not believe
joey|guy come back gon na baby
joey|weird
chandler|incorrect
monica|couple month pregnant
monica|liked application know gon na like u
ross|come gon na love guy
chandler|uhm thank really trying get hope
monica|lot could still get way
chandler|yeah
chandler|mean girl could decide adoption could like another couple better
phoebe|gon na name baby
chandler|develop condition talk talk one hears word
joey|think ok
joey|everything go right
joey|woman pick guy
monica|oh god
monica|gon na pick u
chandler|standing firm getting hope
monica|know know thing could still go wrong
monica|work gon na baby chandler baby
chandler|yes
monica|oh god gon na work
monica|gon na make work
monica|gon na mummy gon na daddy
monica|right see sucker
monica|gon na get
monica|baby
monica|leaf
chandler|oh screw gon na daddy
rachel|hey phoebe
joey|gon na say someone gon na sex
joey|hey
phoebe|hey
joey|friend
phoebe|oh sarah
phoebe|get idea ok
phoebe|setting friend
joey|ow
phoebe|date sleep forget exists
joey|oh name one friend
phoebe|mandy
joey|mandy uh
joey|uh
joey|really hot blonde big boob
joey|know remember huh
rachel|think someone else
joey|ok may treated friend well past grown lot really
joey|honest rach
rachel|well believe true
rachel|joey together wonderful
rachel|thoughtful mature
rachel|one week went sleep anybody else
joey|growth
phoebe|fine give number
joey|ok thank
joey|promise forget one
joey|mandy
phoebe|sarah
joey|saraaah
ross|hey
rachel|hi
ross|hey guy need fashion advice
rachel|oh
ross|look
rachel|well little low
rachel|pick little
rachel|little bit
rachel|little bit
rachel|go
rachel|throw away
ross|cmon
ross|look good
rachel|ross please trust
rachel|buy 30 fashion magazine month
rachel|know running president
rachel|nato guy know get far away hat
ross|damnit
ross|date tomorrow night look cool
phoebe|well know want fashion help rachel going shopping tomorrow
phoebe|welcome come u right
ross|really
ross|would great
ross|mean something kinda teased dress
joey|see nice shirt
ross|wearing shirt
joey|stupid gap every corner
other|please make comfortable back moment erica
monica|ok thank
monica|uh well
monica|ok
chandler|yeah
chandler|weird know
chandler|like hi chandler
chandler|may human growing inside
