char_name|char_id|unprocessed_line|processed_line
Phoebe|5|Hi guys|hi guys
Ross|6|Hey|hey
Ross|6|Oh, oh, how'd it go|oh oh how did it go
Phoebe|5|Um, not so good|um not so good
Phoebe|5|He walked me to the subway and said 'We should do this again|he walked me to the subway and said we should do this again
Phoebe|5|'|
Rachel|1|What|what
Rachel|1|He said 'we should do it again', that's good, right|he said we should do it again that is good right
Monica|2|Uh, no|uh no
Monica|2|Loosely translated 'We should do this again' means 'You will never see me naked'|loosely translated we should do this again means you will never see me naked
Rachel|1|Since when|since when
Joey|3|Since always|since always
Joey|3|It's like dating language|it is like dating language
Joey|3|Y'know, like 'It's not you' means 'It is you'|yknow like it is not you means it is you
Chandler|4|Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'|or you are such a nice guy means i am gonna be dating leather wearing alcoholics and complaining about them to you
Phoebe|5|Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'|or or yknow um i think we should see other people means ha ha i already am
Rachel|1|And everybody knows this|and everybody knows this
Joey|3|Yeah|yeah
Joey|3|Cushions the blow|cushions the blow
Chandler|4|Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm|yeah it is like when you are a kid and your parents put your dog to sleep and they tell you it went off to live on some farm
Ross|6|That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm|that is funny that no because uh our parents actually did uh send our dog off to live on a farm
Monica|2|Uh, Ross|uh ross
Ross|6|What|what
Ross|6|Wh- hello|wh hello
Ross|6|The Millners' farm in Connecticut|the millners farm in connecticut
Ross|6|The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w-|the millners they had this unbelievable farm they had horses and and rabbits that he could chase and it was it w
Ross|6|Oh my God, Chi Chi|oh my god chi chi
Chandler|4|"""So how does it feel knowing you're about to die"|so how does it feel knowing you are about to die
Chandler|4|""""|
Joey|3|"""Warden, in five minutes my pain will be over"|warden in five minutes my pain will be over
Joey|3|But you'll have to live with the knowledge that you sent an honest man to die|but you will have to live with the knowledge that you sent an honest man to die
Joey|3|""""|
Chandler|4|Hey, that was really good|hey that was really good
Joey|3|Thanks|thanks
Joey|3|Let's keep going|let us keep going
Chandler|4|Okay|okay
Chandler|4|"""So"|so
Chandler|4|Whaddya want from me, Damone, huh|whaddya want from me damone huh
Chandler|4|""""|
Joey|3|"""I just wanna go back to my cell"|i just wanna go back to my cell
Joey|3|'Cause in my cell, I can smoke|because in my cell i can smoke
Joey|3|""""|
Chandler|4|"""Smoke away"|smoke away
Chandler|4|""""|
Chandler|4|I think this is probably why Damone smokes in his cell alone|i think this is probably why damone smokes in his cell alone
Joey|3|What|what
Chandler|4|Relax your hand|relax your hand
Chandler|4|Not so much|not so much
Joey|3|Whoah|whoah
Chandler|4|Hey|hey
Joey|3|Hey|hey
Chandler|4|Alright, now try taking a puff|alright now try taking a puff
Chandler|4|Alright|alright
Chandler|4|okay|okay
Chandler|4|No|no
Chandler|4|Give it to me|give it to me
Joey|3|No no no, I am not giving you a cigarette|no no no i am not giving you a cigarette
Chandler|4|It's fine, it's fine|it is fine it is fine
Chandler|4|Look, do you wanna get this part, or not|look do you wanna get this part or not
Chandler|4|Here|here
Chandler|4|Don't think of it as a cigarette|do not think of it as a cigarette
Chandler|4|Think of it as the thing that's been missing from your hand|think of it as the thing that is been missing from your hand
Chandler|4|When you're holding it, you feel right|when you are holding it you feel right
Chandler|4|You feel complete|you feel complete
Joey|3|Y'miss it|ymiss it
Chandler|4|Nah, not so much|nah not so much
Chandler|4|Alright, now we smoke|alright now we smoke
Chandler|4|Oh|oh
Chandler|4|my|my
Chandler|4|God|god
Monica|2|No, no, no|no no no
Monica|2|They say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger|they say it is the same as the distance from the tip of a guys thumb to the tip of his index finger
Joey|3|That's ridiculous|that is ridiculous
Ross|6|Can I use|can i use
Ross|6|either thumb|either thumb
Rachel|1|Alright, don't tell me, don't tell me|alright do not tell me do not tell me
Rachel|1|Decaf cappucino for Joey|decaf cappucino for joey
Rachel|1|Coffee black|coffee black
Rachel|1|Late|late
Rachel|1|And an iced tea|and an iced tea
Rachel|1|I'm getting pretty good at this|i am getting pretty good at this
Rachel|1|Good for me|good for me
Joey|3|Y'okay, Phoebe|yokay phoebe
Phoebe|5|Yeah- no- I'm just- it's, I haven't worked- It's my bank|yeah no i am just it is i have not worked it is my bank
Monica|2|What did they do to you|what did they do to you
Phoebe|5|It's nothing, it's just- Okay|it is nothing it is just okay
Phoebe|5|I'm going through my mail, and I open up their monthly, you know, STATEMENT-|i am going through my mail and i open up their monthly you know statement
Ross|6|Easy|easy
Phoebe|5|- and there's five hundred extra dollars in my account|and there is five hundred extra dollars in my account
Chandler|4|Oh, Satan's minions at work again|oh satans minions at work again
Phoebe|5|Yes, 'cause now I have to go down there, and deal with them|yes because now i have to go down there and deal with them
Joey|3|What are you talking about|what are you talking about
Joey|3|Keep it|keep it
Phoebe|5|It's not mine, I didn't earn it, if I kept it, it would be like stealing|it is not mine i did not earn it if i kept it it would be like stealing
Rachel|1|Yeah, but if you spent it, it would be like shopping|yeah but if you spent it it would be like shopping
Phoebe|5|Okay|okay
Phoebe|5|Okay, let's say I bought a really great pair of shoes|okay let us say i bought a really great pair of shoes
Phoebe|5|Do you know what I'd hear, with every step I took|do you know what i would hear with every step i took
Phoebe|5|'Not-mine|not mine
Phoebe|5|Not-mine|not mine
Phoebe|5|Not-mine|not mine
Phoebe|5|' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'|and even if i was happy okay and and skipping not not mine not not mine not not mine not not mine
Monica|2|We're with you|we are with you
Monica|2|We got it|we got it
Phoebe|5|Okay|okay
Phoebe|5|I'd- just- I'd never be able to enjoy it|i would just i would never be able to enjoy it
Phoebe|5|It would be like this giant karmic debt|it would be like this giant karmic debt
Rachel|1|Chandler, what are you doing|chandler what are you doing
Monica|2|Hey|hey
Monica|2|Whaddya doing|whaddya doing
Ross|6|What is this|what is this
Chandler|4|I'm smoking|i am smoking
Chandler|4|I'm smoking, I'm smoking|i am smoking i am smoking
Phoebe|5|Oh, I can't believe you|oh i cannot believe you
Phoebe|5|You've been so good, for three years|you have been so good for three years
Chandler|4|And this- is my reward|and this is my reward
Ross|6|Hold on a second, alright|hold on a second alright
Ross|6|Just think about what you went through the last time you quit|just think about what you went through the last time you quit
Chandler|4|Okay, so this time I won't quit|okay so this time i will not quit
Chandler|4|All right|all right
Chandler|4|I'm putting it out, I'm putting it out|i am putting it out i am putting it out
Phoebe|5|Oh, no|oh no
Phoebe|5|I- I can't drink this now|i i cannot drink this now
Monica|2|Alright|alright
Monica|2|I'm gonna go change, I've got a date|i am gonna go change i have got a date
Rachel|1|This Alan again|this alan again
Rachel|1|How's it goin'|how is it goin
Monica|2|'S'going pretty good, y'know|sgoing pretty good yknow
Monica|2|It's nice, and, we're having fun|it is nice and we are having fun
Joey|3|So when do we get to meet the guy|so when do we get to meet the guy
Monica|2|Let's see, today's Monday|let us see todays monday
Monica|2|Never|never
Monica|2|No|no
Monica|2|Not after what happened with Steve|not after what happened with steve
Chandler|4|What are you talking about|what are you talking about
Chandler|4|We love Schhteve|we love schhteve
Chandler|4|Schhteve was schhexy|schhteve was schhexy
Chandler|4|Sorry|sorry
Monica|2|Look, I don't even know how I feel about him yet|look i do not even know how i feel about him yet
Monica|2|Just give me a chance to figure that out|just give me a chance to figure that out
Rachel|1|Well, then can we meet him|well then can we meet him
Monica|2|Nope|nope
Monica|2|Schhorry|schhorry
Monica|2|I mean, why should I let them meet him|i mean why should i let them meet him
Monica|2|I mean, I bring a guy home, and within five minutes they're all over him|i mean i bring a guy home and within five minutes they are all over him
Monica|2|I mean, they're like- coyotes, picking off the weak members of the herd|i mean they are like coyotes picking off the weak members of the herd
Paula|0|Listen|listen
Paula|0|As someone who's seen more than her fair share of bad beef, I'll tell you: that is not such a terrible thing|as someone who is seen more than her fair share of bad beef i will tell you that is not such a terrible thing
Paula|0|I mean, they're your friends, they're just looking out after you|i mean they are your friends they are just looking out after you
Monica|2|I know|i know
Monica|2|I just wish that once, I'd bring a guy home that they actually liked|i just wish that once i would bring a guy home that they actually liked
Paula|0|Well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy|well you do realise the odds of that happening are a little slimmer if they never get to meet the guy
Joey|3|Let it go, Ross|let it go ross
Ross|6|Yeah, well, you didn't know Chi Chi|yeah well you did not know chi chi
Monica|2|Do you all promise|do you all promise
Monica|2|Chandler|chandler
Monica|2|Do you promise to be good|do you promise to be good
Joey|3|You can come in, but your filter-tipped little buddy has to stay outside|you can come in but your filter tipped little buddy has to stay outside
Ross|6|Hey, Pheebs|hey pheebs
Phoebe|5|'Dear Ms|dear ms
Phoebe|5|Buffay|buffay
Phoebe|5|Thank you for calling attention to our error|thank you for calling attention to our error
Phoebe|5|We have credited your account with five hundred dollars|we have credited your account with five hundred dollars
Phoebe|5|We're sorry for the inconvenience, and hope you'll accept this-  -football phone as our free gift|we are sorry for the inconvenience and hope you will accept this football phone as our free gift
Phoebe|5|' Do you believe this|do you believe this
Phoebe|5|Now I have a thousand dollars, and a football phone|now i have a thousand dollars and a football phone
Rachel|1|What bank is this|what bank is this
Monica|2|Hey|hey
Monica|2|It's him|it is him
Monica|2|Who is it|who is it
Alan|0|It's Alan|it is alan
Joey|3|Chandler|chandler
Joey|3|He's here|he is here
Monica|2|Okay, please be good, please|okay please be good please
Monica|2|Just remember how much you all like me|just remember how much you all like me
Monica|2|Hi|hi
Monica|2|Alan, this is everybody|alan this is everybody
Monica|2|Everybody, this is Alan|everybody this is alan
Alan|0|Hi|hi
Alan|0|I've heard schho much about all you guyschh|i have heard schho much about all you guyschh
Monica|2|Thanks|thanks
Monica|2|I'll call you tomorrow|i will call you tomorrow
Monica|2|Okay|okay
Monica|2|Okay, let's let the Alan-bashing begin|okay let us let the alan bashing begin
Monica|2|Who's gonna take the first shot, hmm|who is gonna take the first shot hmm
Monica|2|C'mon|cmon
Ross|6|I'll go|i will go
Ross|6|Let's start with the way he kept picking at- no, I'm sorry, I can't do this, can't do this|let us start with the way he kept picking at no i am sorry i cannot do this cannot do this
Ross|6|We loved him|we loved him
Monica|2|Wait a minute|wait a minute
Monica|2|We're talking about someone that I'm going out with|we are talking about someone that i am going out with
Rachel|1|And did you notice|and did you notice
The Guys|0|Yeah|yeah
Joey|3|Know what was great|know what was great
Joey|3|The way his smile was kinda crooked|the way his smile was kinda crooked
Phoebe|5|Yes, yes|yes yes
Phoebe|5|Like the man in the shoe|like the man in the shoe
Ross|6|What shoe|what shoe
Phoebe|5|From the nursery rhyme|from the nursery rhyme
Phoebe|5|'There was a crooked man, Who had a crooked smile, Who lived in a shoe, For a|there was a crooked man who had a crooked smile who lived in a shoe for a
Phoebe|5|while|while
Phoebe|5|'|
Ross|6|So I think Alan will become the yardstick against which all future boyfriends will be measured|so i think alan will become the yardstick against which all future boyfriends will be measured
Rachel|1|What future boyfriends|what future boyfriends
Rachel|1|Nono, I th- I think this could be, y'know, it|nono i th i think this could be yknow it
Monica|2|Really|really
Chandler|4|Oh, yeah|oh yeah
Chandler|4|I'd marry him just for his David Hasselhof impression alone|i would marry him just for his david hasselhof impression alone
Chandler|4|You know I'm gonna be doing that at parties, right|you know i am gonna be doing that at parties right
Ross|6|You know what I like most about him, though|you know what i like most about him though
Ross|6|The way he makes me feel about myself|the way he makes me feel about myself
Monica|2|Hi|hi
Monica|2|how was the game|how was the game
Ross|6|Well|well
Monica|2|Fantastic|fantastic
Monica|2|I have one question: How is that possible|i have one question how is that possible
Joey|3|Alan|alan
Ross|6|He was unbelievable|he was unbelievable
Ross|6|He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-|he was like that that that bugs bunny cartoon where bugs is playing all the positions right but instead of bugs it was first base alan second base alan third base
Rachel|1|I mean, it-it was like, it was like he made us into a team|i mean it it was like it was like he made us into a team
Chandler|4|Yep, we sure showed those Hassidic jewellers a thing or two about softball|yep we sure showed those hassidic jewellers a thing or two about softball
Monica|2|Can I ask you guys a question|can i ask you guys a question
Monica|2|D'you ever think that Alan is maybe|dyou ever think that alan is maybe
Monica|2|sometimes|sometimes
Ross|6|What|what
Monica|2|I dunno, a little too Alan|i dunno a little too alan
Rachel|1|Well, no|well no
Rachel|1|That's impossible|that is impossible
Rachel|1|You can never be too Alan|you can never be too alan
Ross|6|Yeah, it's his, uh, innate Alan-ness that-that-that we adore|yeah it is his uh innate alan ness that that that we adore
Chandler|4|I personally could have a gallon of Alan|i personally could have a gallon of alan
Phoebe|5|Hey, Lizzie|hey lizzie
Lizzie|0|Hey, Weird Girl|hey weird girl
Phoebe|5|I brought you alphabet soup|i brought you alphabet soup
Lizzie|0|Did you pick out the vowels|did you pick out the vowels
Phoebe|5|Yes|yes
Phoebe|5|But I left in the Ys|but i left in the ys
Phoebe|5|"'Cause, y'know, ""sometimes y"""|because yknow sometimes y
Phoebe|5|Uh, I also have something else for you|uh i also have something else for you
Lizzie|0|Saltines|saltines
Phoebe|5|No, but would you like a thousand dollars and a football phone|no but would you like a thousand dollars and a football phone
Lizzie|0|What|what
Lizzie|0|Oh my God, there's really money in here|oh my god there is really money in here
Phoebe|5|I know|i know
Lizzie|0|Weird Girl, what are you doing|weird girl what are you doing
Phoebe|5|No, I want you to have it|no i want you to have it
Phoebe|5|I don't want it|i do not want it
Lizzie|0|No, no, I ha-I have to give you something|no no i ha i have to give you something
Phoebe|5|Oh, that's fine, no|oh that is fine no
Lizzie|0|Would you like my tin-foil hat|would you like my tin foil hat
Phoebe|5|No|no
Phoebe|5|'Cause you need that|because you need that
Phoebe|5|No, it's okay, thanks|no it is okay thanks
Lizzie|0|Please, let me do something|please let me do something
Phoebe|5|Okay, alright, you buy me a soda, and then we're even|okay alright you buy me a soda and then we are even
Phoebe|5|Okay|okay
Lizzie|0|Okay|okay
Phoebe|5|Okay|okay
Lizzie|0|Keep the change|keep the change
Lizzie|0|Sure you don't wanna pretzel|sure you do not wanna pretzel
Phoebe|5|No, I'm fine|no i am fine
Lizzie|0|See ya|see ya
Phoebe|5|Huh|huh
Ross|6|A thumb|a thumb
Phoebe|5|I know|i know
Phoebe|5|I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker|i know i opened it up and there it was just floating in there like this tiny little hitch hiker
Chandler|4|Well, maybe it's a contest, y'know|well maybe it is a contest yknow
Chandler|4|Like, collect all five|like collect all five
Phoebe|5|Does, um, anyone wanna see|does um anyone wanna see
Rachel|1|It's worse than the thumb|it is worse than the thumb
Chandler|4|Hey, this is so unfair|hey this is so unfair
Monica|2|Oh, why is it unfair|oh why is it unfair
Chandler|4|So I have a flaw|so i have a flaw
Chandler|4|Big deal|big deal
Chandler|4|Like Joey's constant knuckle-cracking isn't annoying|like joeys constant knuckle cracking is not annoying
Chandler|4|And Ross, with his over-pronouncing every single word|and ross with his over pronouncing every single word
Chandler|4|And Monica, with that snort when she laughs|and monica with that snort when she laughs
Chandler|4|I mean, what the hell is that thing|i mean what the hell is that thing
Chandler|4|I accept all those flaws, why can't you accept me for this|i accept all those flaws why cannot you accept me for this
