Joey|3|I'm tellin' you Ross, she wants you|i am tellin you ross she wants you
Ross|6|She barely knows me|she barely knows me
Ross|6|We just live in the same building|we just live in the same building
Chandler|4|Any contact|any contact
Ross|6|She lent me an egg once|she lent me an egg once
Joey|3|You're in|you are in
Ross|6|Aw, right|aw right
Woman|0|Hi, Ross|hi ross
Ross|6|Hey|hey
Chandler|4|Come on, Ross, you gotta get back in the game here, ok|come on ross you gotta get back in the game here ok
Chandler|4|The Rachel thing's not happening, your ex-wife is a lesbian—I don't think we need a third|the rachel things not happening your ex wife is a lesbian i do not think we need a third
Joey|3|Excuse me, could we get an egg over here, still in the shell|excuse me could we get an egg over here still in the shell
Joey|3|Thanks|thanks
Ross|6|An egg|an egg
Joey|3|"Yeah, you're gonna go up to her and say, ""Here's your egg back, I'm returning your egg"|yeah you are gonna go up to her and say here is your egg back i am returning your egg
Joey|3|""""|
Chandler|4|I think it's winning|i think it is winning
Ross|6|I think it's insane|i think it is insane
Chandler|4|She'll love it|she will love it
Chandler|4|Go with the egg, my friend|go with the egg my friend
Joey|3|Think it'll work|think it will work
Chandler|4|No, it's suicide|no it is suicide
Chandler|4|The man's got an egg|the mans got an egg
Monica|2|You can not do this|you can not do this
Rachel|1|Do what, do what|do what do what
Monica|2|Roger wants to take her out tomorrow night|roger wants to take her out tomorrow night
Rachel|1|No|no
Rachel|1|Phoebes|phoebes
Rachel|1|Don't you remember why you dumped the guy|do not you remember why you dumped the guy
Phoebe|5|'Cause he was creepy, and mean, and a little frightening|because he was creepy and mean and a little frightening
Phoebe|5|alright, still, it's nice to have a date on Valentine's Day|alright still it is nice to have a date on valentines day
Monica|2|But Phoebe, you can go out with a creepy guy any night of the year|but phoebe you can go out with a creepy guy any night of the year
Monica|2|I know I do|i know i do
Rachel|1|Well, what are you guys doing tomorrow night|well what are you guys doing tomorrow night
Joey|3|Actually, tomorrow night kinda depends on how tonight goes|actually tomorrow night kinda depends on how tonight goes
Chandler|4|Oh, uh, listen, about tonight|oh uh listen about tonight
Joey|3|No, no, no, don't you dare bail on me|no no no do not you dare bail on me
Joey|3|The only reason she's goin' out with me is because I said I could bring a friend for her friend|the only reason she is goin out with me is because i said i could bring a friend for her friend
Chandler|4|Yes, I know, but her friend sounds like such a|yes i know but her friend sounds like such a
Joey|3|Pathetic mess|pathetic mess
Joey|3|I know, but—come on, man, she's needy, she's vulnerable|i know but come on man she is needy she is vulnerable
Joey|3|I'm thinkin', cha-ching|i am thinkin cha ching
Joey|3|Thanks|thanks
Joey|3|Look, you have not been out with a woman since Janice|look you have not been out with a woman since janice
Joey|3|You're doin' this|you are doin this
Ross|6|Hi|hi
Ross|6|She said yes|she said yes
Chandler|4|Yes|yes
Chandler|4|Way to go, man|way to go man
Chandler|4|Still got the egg, huh|still got the egg huh
Joey|3|How do I look|how do i look
Chandler|4|Oh, uh, I|oh uh i
Chandler|4|don't|do not
Chandler|4|care|care
Chandler|4|Ok, now, remember, no trading|ok now remember no trading
Chandler|4|You get the pretty one, I get the mess|you get the pretty one i get the mess
Lorraine|0|Hi, Joey|hi joey
Lorraine|0|Well well, look what you brought|well well look what you brought
Lorraine|0|Very nice|very nice
Chandler|4|And what did you bring|and what did you bring
Lorraine|0|She's checking the coats|she is checking the coats
Lorraine|0|Joey, I'm gonna go wash the cab smell off my hands|joey i am gonna go wash the cab smell off my hands
Lorraine|0|Will you get me a white Zinfandel, and a glass of red for Janice|will you get me a white zinfandel and a glass of red for janice
Chandler|4|Janice|janice
Janice|0|Oh|oh
Janice|0|my|my
Janice|0|God|god
Chandler|4|Hey, it's Janice|hey it is janice
Chandler|4|Ok, I'm makin' a break for it, I'm goin' out the window|ok i am makin a break for it i am goin out the window
Joey|3|No, no, no, don't|no no no do not
Joey|3|I've been waitin' for like, forever to go out with Lorraine|i have been waitin for like forever to go out with lorraine
Joey|3|Just calm down|just calm down
Chandler|4|Calm down|calm down
Chandler|4|Calm down|calm down
Chandler|4|You set me up with the woman that I've dumped twice in the last five months|you set me up with the woman that i have dumped twice in the last five months
Joey|3|Can you stop yellin'|can you stop yellin
Joey|3|You're makin' me nervous, and I can't go when I'm nervous|you are makin me nervous and i cannot go when i am nervous
Chandler|4|I'm sorry, I'm sorry, you're right|i am sorry i am sorry you are right
Chandler|4|Come on, do it, do it, go, come on|come on do it do it go come on
Rachel|1|Ok, ok, Roger was creepy, but he was nothing compared to Pete Carney|ok ok roger was creepy but he was nothing compared to pete carney
Monica|2|Which one was Pete Carney|which one was pete carney
Rachel|1|Pete the Weeper|pete the weeper
Rachel|1|Remember that guy who used to cry every time we had sex|remember that guy who used to cry every time we had sex
Rachel|1|"""Was it good for you"|was it good for you
Rachel|1|""""|
Monica|2|"Yeah, well, I'll take a little crying any day over Howard-the-""I-win""-guy"|yeah well i will take a little crying any day over howard the i win guy
Monica|2|"""I win"|i win
Monica|2|I win|i win
Monica|2|""" I went out with the guy for two months—I didn't get to win once"|i went out with the guy for two months i did not get to win once
Rachel|1|How did we end up with these jerks|how did we end up with these jerks
Rachel|1|We're good people|we are good people
Monica|2|I don't know|i do not know
Monica|2|Maybe we're some kinda magnets|maybe we are some kinda magnets
Phoebe|5|I know I am|i know i am
Phoebe|5|That's why I can't wear a digital watch|that is why i cannot wear a digital watch
Monica|2|There's more beer, right|there is more beer right
Phoebe|5|Oh|oh
Phoebe|5|You know my friend Abby who shaves her head|you know my friend abby who shaves her head
Phoebe|5|She said that if you want to break the bad boyfriend cycle, you can do like a cleansing ritual|she said that if you want to break the bad boyfriend cycle you can do like a cleansing ritual
Rachel|1|Pheebes, this woman is voluntarily bald|pheebes this woman is voluntarily bald
Phoebe|5|Yeah|yeah
Phoebe|5|So, we can do it tomorrow night, you guys|so we can do it tomorrow night you guys
Phoebe|5|It's Valentine's Day|it is valentines day
Phoebe|5|It's perfect|it is perfect
Monica|2|Ok, well, what kind of ritual|ok well what kind of ritual
Phoebe|5|Ok|ok
