char_name|char_id|unprocessed_line|processed_line
Rachel|1|Ooh|ooh
Rachel|1|Look|look
Rachel|1|Look|look
Rachel|1|Look|look
Rachel|1|Look, there's Joey's picture|look there is joeys picture
Rachel|1|This is so exciting|this is so exciting
Chandler|4|You can always spot someone who's never seen one of his plays before|you can always spot someone who is never seen one of his plays before
Chandler|4|Notice, no fear, no sense of impending doom|notice no fear no sense of impending doom
Phoebe|5|The exclamation point in the title scares me|the exclamation point in the title scares me
Phoebe|5|Y'know, it's not just Freud, it's Freud|yknow it is not just freud it is freud
Ross|6|Oh, shhh, shh|oh shhh shh
Ross|6|Magic is about to happen|magic is about to happen
Joey|3|Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear|vell eva veve done some excellent vork here and i vould have to say your pwoblem is qviiite clear
Rachel|1|God|god
Rachel|1|I feel violated|i feel violated
Monica|2|Did anybody else feel they just wanted to peel the skin off their body, to have something else to do|did anybody else feel they just wanted to peel the skin off their body to have something else to do
Chandler|4|Ross, ten o'clock|ross ten of the clock
Ross|6|Is it|is it
Ross|6|Feels like two|feels like two
Chandler|4|No, ten o'clock|no ten of the clock
Ross|6|What|what
Chandler|4|There's a beautiful woman at eight, nine, ten o'clock|there is a beautiful woman at eight nine ten of the clock
Ross|6|Oh|oh
Ross|6|Hel-lo|hel lo
Chandler|4|She's amazing|she is amazing
Chandler|4|She makes the women that I dream about look like short, fat, bald men|she makes the women that i dream about look like short fat bald men
Monica|2|Well, go over to her|well go over to her
Monica|2|She's not with anyone|she is not with anyone
Chandler|4|Oh yeah, and what would my opening line be|oh yeah and what would my opening line be
Chandler|4|'Excuse me|excuse me
Chandler|4|Blarrglarrghh|blarrglarrghh
Chandler|4|'|
Rachel|1|Oh, c'mon|oh cmon
Rachel|1|She's a person, you can do it|she is a person you can do it
Chandler|4|Oh please, could she be more out of my league|oh please could she be more out of my league
Chandler|4|Ross, back me up here|ross back me up here
Ross|6|He could never get a woman like that in a million years|he could never get a woman like that in a million years
Chandler|4|Thank you, buddy|thank you buddy
Phoebe|5|Oh, oh, but y'know, you always see these really beautiful women with these really nothing guys, you could be one of those guys|oh oh but yknow you always see these really beautiful women with these really nothing guys you could be one of those guys
Monica|2|You could do that|you could do that
Chandler|4|Y'think|ythink
Chandler|4|Oh God, I can't believe I'm even considering this|oh god i cannot believe i am even considering this
Chandler|4|I'm very very aware of my tongue|i am very very aware of my tongue
Ross|6|C'mon|cmon
Ross|6|C'mon|cmon
Chandler|4|Here goes|here goes
Aurora|0|Yes|yes
Chandler|4|Hi|hi
Chandler|4|um|um
Chandler|4|okay, next word|okay next word
Chandler|4|would be|would be
Chandler|4|Chandler|chandler
Chandler|4|Chandler is my name, and, uh|chandler is my name and uh
Chandler|4|hi|hi
Aurora|0|Yes, you said that|yes you said that
Chandler|4|Yes, yes I did, but what I didn't say was what I was about to say, what I wanted to say was, uh|yes yes i did but what i did not say was what i was about to say what i wanted to say was uh
Chandler|4|would you like to go out with me sometime, thankyou, goodnight|would you like to go out with me sometime thankyou goodnight
Aurora|0|Chandler|chandler
Joey|3|Whadja think|whadja think
Joey|3|C'mon, you guys, it wasn't that bad|cmon you guys it was not that bad
Joey|3|It was better than that thing I did with the trolls, at least you got to see my head|it was better than that thing i did with the trolls at least you got to see my head
Chandler|4|She said yes|she said yes
Chandler|4|She said yes|she said yes
Chandler|4|Awful play, man|awful play man
Chandler|4|Whoah|whoah
Chandler|4|Her name's Aurora, and she's Italian, and she pronounces my name 'Chand-lrr'|her names aurora and she is italian and she pronounces my name chand lrr
Chandler|4|'Chand-lrr'|chand lrr
Chandler|4|I think I like it better that way|i think i like it better that way
Chandler|4|Oh, listen, the usher gave me this to give to you|oh listen the usher gave me this to give to you
Rachel|1|What is it|what is it
Joey|3|The Estelle Leonard Talent Agency|the estelle leonard talent agency
Joey|3|Wow, an agency left me its card|wow an agency left me its card
Joey|3|Maybe they wanna sign me|maybe they wanna sign me
Phoebe|5|Based on this play|based on this play
Phoebe|5|Based on this play|based on this play
Chandler|4|Hey, kids|hey kids
Phoebe|5|No, 'cause this line is passion, and this is|no because this line is passion and this is
Phoebe|5|just a line|just a line
Chandler|4|Well, I can't believe I've been here almost seven seconds and you haven't asked me how my date went|well i cannot believe i have been here almost seven seconds and you have not asked me how my date went
Monica|2|Oh, right, right|oh right right
Monica|2|How was your date, 'Chand-lrr'|how was your date chand lrr
Chandler|4|It was unbelievable|it was unbelievable
Chandler|4|I-I've never met anyone like her|i i have never met anyone like her
Chandler|4|She's had the most amazing life|she is had the most amazing life
Chandler|4|She was in the Israeli army|she was in the israeli army
Aurora|0|Luckily none of the bullets hit the engine block|luckily none of the bullets hit the engine block
Aurora|0|So, we made it to the border, but just barely, and I-|so we made it to the border but just barely and i
Aurora|0|I've been talking about myself all night long, I'm sorry|i have been talking about myself all night long i am sorry
Aurora|0|What about you|what about you
Aurora|0|Tell me one of your stories|tell me one of your stories
Chandler|4|Alright|alright
Chandler|4|Once I got on the subway, right, and it was at night, and I rode it all the way to Brooklyn|once i got on the subway right and it was at night and i rode it all the way to brooklyn
Chandler|4|just for the hell of it|just for the hell of it
Aurora|0|All of a sudden we realised we were in Yammon|all of a sudden we realised we were in yammon
Chandler|4|Oh, I'm sorry, so 'we' is|oh i am sorry so we is
Aurora|0|'We' would be me and Rick|we would be me and rick
Chandler|4|Who's Rick|who is rick
Aurora|0|My husband|my husband
Chandler|4|Oh, so you're divorced|oh so you are divorced
Aurora|0|No|no
Chandler|4|Oh, I'm sorry, then you're widowed|oh i am sorry then you are widowed
Chandler|4|Hopefully|hopefully
Aurora|0|No, I'm still married|no i am still married
Chandler|4|So tell me, how do- how do you think your husband would feel about you sitting here with me|so tell me how do how do you think your husband would feel about you sitting here with me
Chandler|4|Sliding your foot so far up my pant leg you can count the change in my pocket|sliding your foot so far up my pant leg you can count the change in my pocket
Aurora|0|Don't worry|do not worry
Aurora|0|I imagine he'd be okay with you because really, he's okay with Ethan|i imagine he would be okay with you because really he is okay with ethan
Chandler|4|Ethan|ethan
Chandler|4|There's, there's an Ethan|there is there is an ethan
Aurora|0|Mmmm|mmmm
Aurora|0|Ethan is my|ethan is my
Aurora|0|boyfriend|boyfriend
Chandler|4|So explain something to me here, uh, what kind of a relationship do you imagine us having if you already have a husband and a boyfriend|so explain something to me here uh what kind of a relationship do you imagine us having if you already have a husband and a boyfriend
Aurora|0|I suppose mainly sexual|i suppose mainly sexual
Chandler|4|Hm|hm
Chandler|4|What 'not work out'|what not work out
Chandler|4|I'm seeing her again on Thursday|i am seeing her again on thursday
Chandler|4|Didn't you listen to the story|did not you listen to the story
Monica|2|Didn't you listen to the story|did not you listen to the story
Monica|2|I mean, this is twisted|i mean this is twisted
Monica|2|How could you get involved with a woman like this|how could you get involved with a woman like this
Chandler|4|Well, y'know, I had some trouble with it at first too, but the way I look at it is, I get all the good stuff: all the fun, all the talking, all the sex; and none of the responsibility|well yknow i had some trouble with it at first too but the way i look at it is i get all the good stuff all the fun all the talking all the sex and none of the responsibility
Chandler|4|I mean, this is every guy's fantasy|i mean this is every guys fantasy
Phoebe|5|Oh, yeah|oh yeah
Phoebe|5|That is not true|that is not true
Phoebe|5|Ross, is this your fantasy|ross is this your fantasy
Ross|6|No, of course not|no of course not
Ross|6|Yeah, yeah, it is|yeah yeah it is
Monica|2|What|what
Monica|2|So you guys don't mind going out with someone else who's going out with someone else|so you guys do not mind going out with someone else who is going out with someone else
Joey|3|I couldn't do it|i could not do it
Monica|2|Good for you, Joey|good for you joey
Joey|3|When I'm with a woman, I need to know that I'm going out with more people than she is|when i am with a woman i need to know that i am going out with more people than she is
Ross|6|Well, y'know, monogamy can be a, uh, tricky concept|well yknow monogamy can be a uh tricky concept
Ross|6|I mean, anthropologically speaking-|i mean anthropologically speaking
Ross|6|Fine|fine
Ross|6|Fine, alright, now you'll never know|fine alright now you will never know
Monica|2|We're kidding|we are kidding
Monica|2|C'mon, tell us|cmon tell us
Ross|6|Alright|alright
Ross|6|There's a theory, put forth by Richard Leakey-|there is a theory put forth by richard leakey
Rachel|1|Tah-daaah|tah daaah
Chandler|4|Are we greeting each other this way now|are we greeting each other this way now
Chandler|4|'Cause I like that|because i like that
Rachel|1|Look|look
Rachel|1|I cleaned|i cleaned
Rachel|1|I did the windows, I did the floors|i did the windows i did the floors
Rachel|1|I even used all the attachments on the vacuum, except that little round one with the bristles, I don't know what that's for|i even used all the attachments on the vacuum except that little round one with the bristles i do not know what that is for
Ross|6|Oh yeah, nobody knows|oh yeah nobody knows
Ross|6|And we're not supposed to ask|and we are not supposed to ask
Rachel|1|Well, whaddya think|well whaddya think
Monica|2|Oh|oh
Monica|2|I-I see you moved the green ottoman|i i see you moved the green ottoman
Monica|2|How-how did that happen|how how did that happen
Rachel|1|I dunno|i dunno
Rachel|1|I-I thought it looked better there|i i thought it looked better there
Rachel|1|And I- and also, it's an extra seat around the coffee table|and i and also it is an extra seat around the coffee table
Monica|2|Yeah, yeah, it's interesting|yeah yeah it is interesting
Monica|2|but y'know what|but yknow what
Monica|2|Just for fun, let's see what it looked like in the old spot|just for fun let us see what it looked like in the old spot
Monica|2|Alright, just to compare|alright just to compare
Monica|2|Let's see|let us see
Monica|2|Well, it looks good there too|well it looks good there too
Monica|2|Let's just leave it there for a while|let us just leave it there for a while
Phoebe|5|I can't believe you tried to move the green ottoman|i cannot believe you tried to move the green ottoman
Chandler|4|Thank God you didn't try to fan out the magazines|thank god you did not try to fan out the magazines
Chandler|4|I mean, she'll scratch your eyes right out|i mean she will scratch your eyes right out
Monica|2|You guys, I am not that bad|you guys i am not that bad
Phoebe|5|Yeah, you are, Monica|yeah you are monica
Phoebe|5|Remember when I lived with you|remember when i lived with you
Phoebe|5|You were like, a little, y'know,  Ree|you were like a little yknow ree
Phoebe|5|Ree|ree
Phoebe|5|Ree|ree
Phoebe|5|Ree|ree
Monica|2|That is so unfair|that is so unfair
Ross|6|Oh c'mon|oh cmon
Ross|6|When we were kids, yours was the only Raggedy Ann doll that wasn't raggedy|when we were kids yours was the only raggedy ann doll that was not raggedy
Monica|2|Okay, so I'm responsible, I'm organised|okay so i am responsible i am organised
Monica|2|But hey, I can be a kook|but hey i can be a kook
Ross|6|Alright, you madcap gal|alright you madcap gal
Ross|6|Try to imagine this|try to imagine this
Ross|6|The phone bill arrives, but you don't pay it right away|the phone bill arrives but you do not pay it right away
Monica|2|Why not|why not
Ross|6|Because you're a kook|because you are a kook
Ross|6|Instead you wait until they send you a notice|instead you wait until they send you a notice
Monica|2|I could do that|i could do that
Rachel|1|Okay, uh, you let me go grocery shopping, and I buy laundry detergent, but it's not the one with the easy-pour spout|okay uh you let me go grocery shopping and i buy laundry detergent but it is not the one with the easy pour spout
Monica|2|Why would someone do that|why would someone do that
Monica|2|One might wonder|one might wonder
Chandler|4|Someone's left a glass on the coffee table|someones left a glass on the coffee table
Chandler|4|There's no coaster|there is no coaster
Chandler|4|It's a cold drink, it's a hot day|it is a cold drink it is a hot day
Chandler|4|Little beads of condensation are inching their way closer and closer to the surface of the wood|little beads of condensation are inching their way closer and closer to the surface of the wood
Monica|2|STOP IT|stop it
Monica|2|Oh my God|oh my god
Monica|2|It's true|it is true
Monica|2|Who am I|who am i
Ross|6|Monica|monica
Ross|6|You're Mom|you are mom
Phoebe|5|Ree|ree
Phoebe|5|Ree|ree
Phoebe|5|Ree|ree
Phoebe|5|Ree|ree
Phoebe|5|Ree|ree
Joey|3|Uh huh|uh huh
Joey|3|uh huh|uh huh
Joey|3|oh my God|oh my god
Joey|3|Okay|okay
Joey|3|Okay, I'll be there|okay i will be there
Joey|3|That was my agent|that was my agent
Joey|3|My agent has just gotten me a job|my agent has just gotten me a job
Joey|3|in the new Al Pacino movie|in the new al pacino movie
Monica|2|Well, what's the part|well what is the part
Joey|3|Can you believe this|can you believe this
Joey|3|Al Pacino|al pacino
Joey|3|This guy's the reason I became an actor|this guys the reason i became an actor
Joey|3|"""I'm out of order"|i am out of order
Joey|3|Pfeeeh|pfeeeh
Joey|3|You're out of order|you are out of order
Joey|3|This whole courtroom's out of order|this whole courtrooms out of order
Joey|3|""""|
Phoebe|5|Seriously, what-what's the part|seriously what what is the part
Joey|3|"""Just when I thought I was out, they pull me back in"|just when i thought i was out they pull me back in
Joey|3|""""|
Ross|6|C'mon, seriously, Joey, what's the part|cmon seriously joey what is the part
Joey|3|I'm his|i am his
Rachel|1|You're, you're 'mah mah mah' what|you are you are mah mah mah what
Joey|3|I'm his butt double|i am his butt double
Joey|3|'Kay|kay
Joey|3|I play Al Pacino's butt|i play al pacinos butt
Joey|3|Alright|alright
Joey|3|He goes into the shower, and then- I'm his butt|he goes into the shower and then i am his butt
Monica|2|Oh my God|oh my god
Joey|3|C'mon, you guys|cmon you guys
Joey|3|This is a real movie, and Al Pacino's in it, and that's big|this is a real movie and al pacinos in it and that is big
Chandler|4|Oh no, it's terrific, it's|oh no it is terrific it is
Chandler|4|it's|it is
Chandler|4|y'know, you deserve this, after all your years of struggling, you've finally been able to crack your way into showbusiness|yknow you deserve this after all your years of struggling you have finally been able to crack your way into showbusiness
Joey|3|Okay, okay, fine|okay okay fine
Joey|3|Make jokes, I don't care|make jokes i do not care
Joey|3|This is a big break for me|this is a big break for me
Ross|6|You're right, you're right, it is|you are right you are right it is
Ross|6|So you gonna invite us all to the big opening|so you gonna invite us all to the big opening
Monica|2|Alright, alright, alright|alright alright alright
Joey|3|Here|here
Joey|3|I need to borrow some moisturizer|i need to borrow some moisturizer
Monica|2|For what|for what
Joey|3|Whaddya think|whaddya think
Joey|3|Today's the big day|todays the big day
Monica|2|Oh my God|oh my god
Monica|2|Okay, go into the bathroom, use whatever you want, just don't ever tell me what you did in there|okay go into the bathroom use whatever you want just do not ever tell me what you did in there
Joey|3|Thank you|thank you
Chandler|4|Where's Joey|where is joey
Chandler|4|His mom's on the phone|his moms on the phone
Monica|2|He's in the bathroom|he is in the bathroom
Monica|2|I don't think you wanna go in there|i do not think you wanna go in there
Chandler|4|C'mon, we're roommates|cmon we are roommates
Chandler|4|My eyes|my eyes
Chandler|4|My eyes|my eyes
Monica|2|I warned you|i warned you
