char_name|char_id|unprocessed_line|processed_line
Written by|0|Marta Kauffman & David Crane|marta kauffman david crane
Monica|2|There's nothing to tell|there is nothing to tell
Monica|2|He's just some guy I work with|he is just some guy i work with
Joey|3|C'mon, you're going out with the guy|cmon you are going out with the guy
Joey|3|There's gotta be something wrong with him|there is gotta be something wrong with him
Chandler|4|All right Joey, be nice|all right joey be nice
Chandler|4|So does he have a hump|so does he have a hump
Chandler|4|A hump and a hairpiece|a hump and a hairpiece
Phoebe|5|Wait, does he eat chalk|wait does he eat chalk
Phoebe|5|Just, 'cause, I don't want her to go through what I went through with Carl- oh|just because i do not want her to go through what i went through with carl oh
Monica|2|Okay, everybody relax|okay everybody relax
Monica|2|This is not even a date|this is not even a date
Monica|2|It's just two people going out to dinner and- not having sex|it is just two people going out to dinner and not having sex
Chandler|4|Sounds like a date to me|sounds like a date to me
Chandler|4|Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked|alright so i am back in high school i am standing in the middle of the cafeteria and i realize i am totally naked
Chandler|4|Then I look down, and I realize there's a phone|then i look down and i realize there is a phone
Chandler|4|there|there
Joey|3|Instead of|instead of
Chandler|4|That's right|that is right
Joey|3|Never had that dream|never had that dream
Phoebe|5|No|no
Chandler|4|All of a sudden, the phone starts to ring|all of a sudden the phone starts to ring
Chandler|4|Now I don't know what to do, everybody starts looking at me|now i do not know what to do everybody starts looking at me
Monica|2|And they weren't looking at you before|and they were not looking at you before
Chandler|4|Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me|finally i figure i would better answer it and it turns out it is my mother which is very very weird because she never calls me
Ross|6|Hi|hi
Joey|3|This guy says hello, I wanna kill myself|this guy says hello i wanna kill myself
Monica|2|Are you okay, sweetie|are you okay sweetie
Ross|6|I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck|i just feel like someone reached down my throat grabbed my small intestine pulled it out of my mouth and tied it around my neck
Chandler|4|Cookie|cookie
Monica|2|Carol moved her stuff out today|carol moved her stuff out today
Joey|3|Ohh|ohh
Monica|2|Let me get you some coffee|let me get you some coffee
Ross|6|Thanks|thanks
Phoebe|5|Ooh|ooh
Phoebe|5|Oh|oh
Ross|6|No, no don't|no no do not
Ross|6|Stop cleansing my aura|stop cleansing my aura
Ross|6|No, just leave my aura alone, okay|no just leave my aura alone okay
Phoebe|5|Fine|fine
Phoebe|5|Be murky|be murky
Ross|6|I'll be fine, alright|i will be fine alright
Ross|6|Really, everyone|really everyone
Ross|6|I hope she'll be very happy|i hope she will be very happy
Monica|2|No you don't|no you do not
Ross|6|No I don't, to hell with her, she left me|no i do not to hell with her she left me
Joey|3|And you never knew she was a lesbian|and you never knew she was a lesbian
Ross|6|No|no
