char_name|char_id|unprocessed_line|processed_line
Ross|6|Uh, Rach, we're running low on resumes over here|uh rach we are running low on resumes over here
Monica|2|Do you really want a job with Popular Mechanics|do you really want a job with popular mechanics
Chandler|4|Well, if you're gonna work for mechanics, those are the ones to work for|well if you are gonna work for mechanics those are the ones to work for
Rachel|1|Hey, look, you guys, I'm going for anything here, OK|hey look you guys i am going for anything here ok
Rachel|1|I cannot be a waitress anymore, I mean it|i cannot be a waitress anymore i mean it
Rachel|1|I'm sick of the lousy tips, I'm sick of being called 'Excuse me|i am sick of the lousy tips i am sick of being called excuse me
Rachel|1|'|
Ross|6|Rach, did you proofread these|rach did you proofread these
Rachel|1|Uh|uh
Rachel|1|yeah, why|yeah why
Ross|6|Uh, nothing, I'm sure they'll be impressed with your excellent compuper skills|uh nothing i am sure they will be impressed with your excellent compuper skills
Rachel|1|Oh my Goood|oh my goood
Rachel|1|Oh, do you think it's on all of them|oh do you think it is on all of them
Joey|3|Oh no, I'm sure the Xerox machine caught a few|oh no i am sure the xerox machine caught a few
Monica|2|Hey, guys|hey guys
Chandler|4|Hey|hey
Ross|6|Hey|hey
Rachel|1|Hey|hey
Rachel|1|hi, ladies|hi ladies
Rachel|1|uh, can I get you anything|uh can i get you anything
Rachel|1|: Did you bring the mail|did you bring the mail
Monica|2|Lots of responses|lots of responses
Rachel|1|: Really|really
Rachel|1|: Sure, we have scones left|sure we have scones left
Rachel|1|: OK, read them to me|ok read them to me
Phoebe|5|: Dear Ms|dear ms
Phoebe|5|Green, thank you for your inquiry, however|green thank you for your inquiry however
Phoebe|5|oh|oh
Rachel|1|: We have apple cinnamon|we have apple cinnamon
Monica|2|: OK|ok
Monica|2|Dear Ms|dear ms
Monica|2|Green|green
Monica|2|yeah|yeah
Monica|2|yeah|yeah
Monica|2|yeah|yeah
Monica|2|No|no
Phoebe|5|Wow|wow
Rachel|1|What|what
Phoebe|5|: Your Visa bill is huge|your visa bill is huge
Rachel|1|Give me that|give me that
Chandler|4|You know, I can't believe you|you know i cannot believe you
Chandler|4|Linda is so great|linda is so great
Chandler|4|Why won't you go out with her again|why will not you go out with her again
Ross|6|I don't know|i do not know
Chandler|4|Is this still about her whole 'The Flintstones could've really happened' thing|is this still about her whole the flintstones could have really happened thing
Ross|6|No, it's not just that|no it is not just that
Ross|6|It's just—I want someone who|it is just i want someone who
Ross|6|who does something for me, y'know|who does something for me yknow
Ross|6|Who gets my heart pounding, who|who gets my heart pounding who
Ross|6|who makes me, uh|who makes me uh
Chandler|4|little playthings with yarn|little playthings with yarn
Ross|6|What|what
Chandler|4|Could you want her more|could you want her more
Ross|6|Who|who
Chandler|4|Dee, the sarcastic sister from Whats Happening|dee the sarcastic sister from whats happening
Ross|6|Look, I am totally, totally over her, OK, I just|look i am totally totally over her ok i just
Ross|6|: Hiiii|hiiii
Rachel|1|Hi|hi
Rachel|1|How are you|how are you
Ross|6|We're fine, we're fine|we are fine we are fine
Rachel|1|OK|ok
Joey|3|Shut up|shut up
Chandler|4|We're not—we're not saying anything|we are not we are not saying anything
Phoebe|5|What|what
Ross|6|Uhhhh|uhhhh
Ross|6|Joey cried last night|joey cried last night
Joey|3|Thank you|thank you
Chandler|4|We were playing poker, alright|we were playing poker alright
Joey|3|There was chocolate on the three|there was chocolate on the three
Joey|3|It looked like an eight, alright|it looked like an eight alright
Ross|6|Oh, guys, you should've seen him|oh guys you should have seen him
Ross|6|'Read 'em and weep|read em and weep
Ross|6|'|
Chandler|4|And then he did|and then he did
Rachel|1|Well, now, how come you guys have never played poker with us|well now how come you guys have never played poker with us
Phoebe|5|Yeah, what is that|yeah what is that
Phoebe|5|Like, some kind of guy thing|like some kind of guy thing
Phoebe|5|Like, some kind of sexist guy thing|like some kind of sexist guy thing
Phoebe|5|Like it's poker, so only guys can play|like it is poker so only guys can play
Ross|6|No, women are welcome to play|no women are welcome to play
Phoebe|5|Oh, OK, so then what is it|oh ok so then what is it
Phoebe|5|Some kind of|some kind of
Phoebe|5|you know, like, like|you know like like
Phoebe|5|some kind of, y'know, like|some kind of yknow like
Phoebe|5|alright, what is it|alright what is it
Chandler|4|There just don't happen to be any women in our games|there just do not happen to be any women in our games
Joey|3|Yeah, we just don't happen to know any women that know how to play poker|yeah we just do not happen to know any women that know how to play poker
Girls|0|Oh, yeah, right|oh yeah right
Monica|2|Oh, please, that is such a lame excuse|oh please that is such a lame excuse
Rachel|1|Really|really
Monica|2|I mean, that's a typical guy response|i mean that is a typical guy response
Ross|6|Excuse me, do any of you know how to play|excuse me do any of you know how to play
Girls|0|No|no
Rachel|1|But you could teach us|but you could teach us
Guys|0|No|no
Chandler|4|OK, so now we draw cards|ok so now we draw cards
Monica|2|So I wouldn't need any, right|so i would not need any right
Monica|2|Cause I have a straight|cause i have a straight
Rachel|1|Oh, good for you|oh good for you
Phoebe|5|Congratulations|congratulations
Chandler|4|OK Phoebs, how many do you want|ok phoebs how many do you want
Phoebe|5|OK, I just need two|ok i just need two
Phoebe|5|the, um, ten of spades and the six of clubs|the um ten of spades and the six of clubs
Ross|6|No|no
