Ross| Hey, you’re not going to believe this. I made up a joke and sent it in to Playboy. They printed it!
Phoebe| I didn’t know Playboy prints jokes.
Ross| Yeah, they print jokes, interviews, hard-hitting journalism. It’s not just about the pictures.
Monica| That didn’t work on mom, it’s not going to work on us.
Ross|  Here, check it out. It’s the first one, too.
Chandler| That is funny. It was also funny when I made it up.
Ross| What?
Chandler| I made that joke up.
Ross| Uh, oh-oh, no you didn’t. I did.
Chandler| Yes, I did. I told it to Dan at work, and he said it was the funniest joke he’d ever heard.
Ross| Hey, tell Dan, ‘Thanks.’
Ross| What?
Rachel| I’m sorry, I was just reading the joke below it. Man, that one is funny. 
Chandler| Monica, you remember me telling you that joke, right?
Monica| No.
Chandler| Seriously?
Monica| Well, you tell a lot of jokes!
Ross| Look, Chandler, it’s my joke. But, hey, if it makes you feel any better they don’t print the name, so it doesn’t really matter who gets credit, right?
Chandler| Yeah, I guess.
Joey|  Hey guys.
Chandler|  Hey, Joey, Playboy printed my joke.
Ross| No, it’s my joke, it’s mine. You can call them, they’ll tell you.
Chandler| It’s my joke.
Ross| It’s my joke.
Joey| Whoa-whoa-whoa. Jokes? You guys know they have naked chicks in there, right?
Chandler| Dude, you have got to turn on Behind the Music. The band Heart is having a really tough time, and I think they may break up.
Joey| Let’s go watch it at your place.
Chandler| Nah, Monica’s watching some cooking show. Come on, I don’t want to miss when they were skinny.
Joey| Chandler, Chandler, y’know what we should do? You and I should go out and get some new sunglasses.
Chandler| What? No, I want to watch this. . Did your cable go out?
Joey| No, that’s VH-1. I gotta tell you, the music these kids listen to today . . . It’s like a lotta noise to me. I don’t know…
Chandler| Joey, why is your cable out?
Joey| I uh, oh! Because, uh, I haven’t really paid the bill
Chandler| If you need money, will you please-please just let me loan you some money?
Joey| No, Chandler. Look, forget about it, okay? Look, I know things have been a little tight since Janine moved out. Oh, was she hot. 
Chandler| Whoa ho.
Joey| I know! Yeah, but, look I can handle it. All right? Look, I can listen to the radio, huh? And Ross gave me this great book .
Chandler|  All right, you want to see if the joke stealer will let us watch the show at his place?
Joey| Sure.
Chandler|  Paid your phone bill?
Joey| Not so much.
Phoebe|  Hey.
Monica|  It’s only you.
Phoebe| Wh-wh-what are you doing?
Rachel| We are looking at a Playboy.
Phoebe| Oh, I want to look too! . Yikes!
Monica| So do you think that these pictures—Are, are they trying to tell a story?
Rachel| Oh, yeah, sure. I mean, like in the case of this young woman, she has lost her clothes, so she rides naked on the horse, she’s crying out, ‘Where are they, where are they?’
Monica| Well, she’s not going to find them lying in the grass like that.
Phoebe| Oh, yeah. Aw, remember the days when you used to go out to the barn, lift up your shirt, and bend over?
Rachel| 
Monica| 
Rachel| You see, now, I would date this girl. She’s cute, she’s outdoorsy, you know, and she knows how to build a fire. I mean, that’s got to come in handy
Monica| Okay, I’ve got a question. If you had to pick one of us to date, who would it be?
Rachel|  I don’t know.
Monica| Me neither.
Phoebe| Rachel.
Monica| What?!
Phoebe| I don’t know.  Me neither.
