Jennifer Aniston |0| Previously on Friends.
Monica|2| Erica, are you okay?
Erica|0| Yeah, you know, maybe I ate too much. I keep getting these    stomach-aches. They come and go like every few minutes.
Monica|2| Oh my God!
Chandler|4| Relax! We'll just get her some antacids.
Monica|2| She doesn't have a stomach-ache. She's in labor!
Chandler|4| Oh my God!
Rachel|1| So if you think I didn't say goodbye to you because you don't    mean as much to me as everybody else, you're wrong. It's because you    mean more to me.
Ross|6| Rach!
Rachel|1| What?!
Ross|6| Hey.
Rachel|1| Shh.. Go back to sleep. I have to go home.
Ross|6| Oh. This was amazing.
Rachel|1| It really was. You've learned some new moves!
Ross|6|" Yeah, well, this guy at work gave me ""Sex for Dummies"" as a    joke."
Rachel|1| Ah.
Ross|6| Who's laughing now?
Rachel|1| I know!
Monica|2| Breathe, breathe, breathe... Good.
Chandler|4| Next time, can I say breathe?
Monica|2| No, last time you said it like Dracula, and it scared her! Can    I get you anything? You want some more ice chips?
Erica|0| No, I'm okay.
Monica|2| Alright, I'll be right back.
Chandler|4| Where are you going?
Monica|2| To use the bathroom.
Chandler|4| You can't leave me alone with her.
Monica|2| What?
Chandler|4| This is exactly the kind of social situation that I am not    comfortable with!
Monica|2| What kind of social situation are you comfortable with?
Chandler|4| It's just that we've never spent any time, you know, alone    together.
Monica|2| You'll be fine. Nah, you won't, but I'll be back in two    minutes.
Chandler|4| Okay.
Chandler|4| So, ah... Any plans for the summer?
Erica|0| I don't know. Maybe church-camp?
Chandler|4| Hah. May not wanna mention this. So, you ever wonder which    is worse, you know; going through labor or getting kicked in the nuts?
Erica|0| What?
Chandler|4| Well, it's just interesting. You know, because no one will    ever know, because no one can experience both.
Chandler|4| One of life's great, unanswerable questions. I mean, who    knows? Maybe there's something even more painful than those things?  Like this.
Phoebe|5| Morning.
Joey|3| Hey!
Phoebe|5| What's that?
Joey|3| It's my house-warming present for Monica and Chandler.
Phoebe|5| It's a baby chick and duck!
Joey|3| Uh-huh. And I named them Chick Jr. and Duck Jr.
Phoebe|5| I did not see that coming.
Joey|3| Yeah, I figure they'll love it at the new house, you know? It    has that big backyard. And then, when they get old, they can go to    that special farm that Chandler took the other chick and duck to.
Phoebe|5| Yes.
Joey|3| Yeah. It's a shame people can't visit there.
Phoebe|5| That is the rule, though.
Phoebe|5| Guess what? You're almost an uncle!
Ross|6| What?
Joey|3| Yeah, Erica went into labor last night. Monica and Chandler are    at the hospital right now!
Ross|6| Oh my God!
Phoebe|5| Yeah, and I have a definite feeling it's gonna be a girl.
Ross|6| Phoebe, you were sure Ben was gonna be a girl.
Phoebe|5| Have you seen him throw a ball?
Ross|6| Is Rachel here?
Joey|3| Uh, I think she's still asleep. Hey, hey, how did it go with you    guys last night? She seemed pretty pissed at you.
Ross|6| Uh, we, y'know, we worked things out.
Phoebe|5| What's that smile? Did something happen with you two?
Ross|6| Hey, I'm not one to kiss and tell, but I'm also not one to have    sex and shut up. We totally did it!
Joey|3| Oh my God. You and Rachel?
Ross|6| I know, it's pretty great.
Joey|3| So what does that mean? Are you guys getting back together?
Ross|6| Oh, I.. I don't know. We didn't really get to talk.
Phoebe|5| But do you wanna get back together?
Ross|6| I don't know. It was incredible. I mean, it just felt so right.    When I was holding her, I mean, I never wanted to let her go. You know    what? Yeah, I do. I wanna be together.
Phoebe|5|  YAY!
Ross|6| Shhh!
Phoebe|5|  Yay!
Joey|3| So, so is she still going to Paris?
Ross|6| Wow, I hadn't thought of that. I hope not.
Phoebe|5|" Oh, this is like the best day ever. Ever! You guys might get    back together, Monica and Chandler are getting their baby, there are    chicks and ducks in the world again! Oh, I feel like I'm in a musical!     ""Daa - raa... When the sun comes up, bright and beaming! And    the moon comes..."""
Rachel|1| Morning!
Phoebe|5| Guess we'll never know how it ends.
Joey|3| Okay.
Ross|6| Hey.
Rachel|1| Hey.
Ross|6| Hey. How did you sleep?
Rachel|1| Good. You?
Ross|6| Good.
Joey|3| I bet you did!
Ross|6| Uh. Would you guys mind giving us a minute?
Joey|3| Sure, yeah. Will you just keep an eye on the chick and the duck?
Rachel|1| Chick and the duck? Didn't they die...
Phoebe|5|  Dive. Yeah, they dove head-first into fun on    the farm.
Ross|6| So...
Ross|6| Morning.
Rachel|1| You too. Last night was just wonderful.
Ross|6| It really was.
Rachel|1| I woke up today with the biggest smile on my face.
Ross|6| I know, me too. It was... You know, it was like one of those    things you think is never gonna happen, and then it does, and it's    everything you want it to be.
Rachel|1| Uh-huh. I know. It was just, it was just the perfect way to say goodbye. 
Monica|2| It's just a little bit more, honey.
Erica|0| Help me! This hurts!
Chandler|4| Is it really that bad?
Erica|0| Uh-huh! I think it's time to kick you in the nuts and see which    is worse!
Doctor|0| The baby's head is crowning.
Monica|2| Oh! Oh my God! That is the most beautiful top of a head I have    ever seen! Chandler, you have to see this!
Chandler|4| I'm okay.
Monica|2| Chandler, you don't wanna miss this. This is the birth of your    child! It's the miracle of life!
Chandler|4| Alright. Wow, that is one disgusting miracle.
Doctor|0| Start pushing. Here we go. Here come the shoulders...
Monica|2| It's a... It's a boy!
Chandler|4| Wow!
Erica|0| Is he okay?
Doctor|0| He's just fine.
Monica|2| Oh, you did it!
Chandler|4|  It's a baby! A beautiful little baby! And some   other stuff I'm gonna pretend I don't see.
Doctor|0| Would you like to cut the umbilical cord?
Chandler|4| Well, that's spongy.
Monica|2|  Oh, hey handsome! Oh, I'm gonna love you so much   that no woman is ever gonna be good enough for you!  Oh, we are so lucky!
Chandler|4| I know. He has your eyes.
Chandler|4| I mean, I know that's not possible, but he does.
Nurse|0| We'll just get him cleaned up a bit.
Chandler|4| Okay.
Monica|2|  Oh my God, he's beautiful. Thank you so much.
Erica|0| I'm really happy for you guys.
Chandler|4| How do you feel?
Erica|0| I'm tired!
Doctor|0| Well, you don't have that much time to relax. The other one    will be along in a minute.
Monica|2| I... I'm sorry, who should be along in a what now?
Doctor|0| The next baby should be along in a minute.
Monica|2| We only ordered one!
Doctor|0| You know it's twins, right?
Chandler|4| Oh, yeah! These are the faces of two people in the know!
Doctor|0| I can't believe you didn't know it's twins! This has never    happened before.
Chandler|4| Well, gosh. That makes me feel so special and good.
Monica|2|  Wait, did you know it was twins?
Doctor|0| Yeah, it's here in the paperwork we got from the clinic in    Ohio.
Monica|2|  Anybody tell you?
Erica|0| I don't think so. Although, they did mention something about    two heartbeats. But I thought that was just mine and the baby's. They    kept saying both heartbeats are really strong, and I thought well,    that's good 'cause I'm having a baby.
Monica|2| This is unbelievable.
Erica|0| Twins actually run in my family.
Chandler|4| Interesting!  Can I see you for a second?
Chandler|4| What do we do?
Monica|2|" What do you mean ""what do we do""?"
Chandler|4|  Twins! Twins!!
Monica|2| Chandler, you're panicking!
Chandler|4| Uh-huh! Join me, won't you?! Okay, what do you say we keep   one, and then just like have an option on the other one?
Monica|2| We can't split them up!
Chandler|4| Why not? We could give each of them half a medallion, and    then years later, they'll find each other and be reunited. I mean,    that's a great day for everybody.
Monica|2| Okay, what if the person who adopts the other one is horrible?
Chandler|4| What if they're not? What if it's adopted by a king?
Monica|2| Yeah, because I hear the king is looking to adopt.
Chandler|4| Monica, we are not ready to have two babies!
Monica|2|" That doesn't matter! We have waited so long for this. I don't    care if it's two babies. I don't care if it's three babies! I don't    care if the entire cast of ""Eight is Enough"" comes out of there! We    are taking them home, because they are our children!"
Chandler|4|  Okay. Shhh...
Chandler|4| Okay.
Monica|2| Okay!
Chandler|4| Okay!
Doctor|0| It looks like we're about ready over here.
Doctor|0| Come on, Erica, start pushing again now.
Erica|0| Ow!
Doctor|0| Here she comes!
Chandler|4|  She? It's a girl?
Doctor|0| Yeah.
Chandler|4|  Well, now we have one of each!     And that's enough!
Ross|6| And then she said it was the perfect way to say goodbye.
Joey|3| Oh my God! What did you say?
Ross|6| Nothing! What do you say to that?
Phoebe|5| Ross, you've got to tell her how you feel!
Ross|6| No way!
Joey|3| You can't just give up! Is that what a dinosaur would do?
Ross|6| What?
Joey|3| Dude, I'm just trying to speak your language.
Phoebe|5| Ross, Rachel doesn't know that you wanna get back together. If    she did, she might feel differently. She might not even go.
Ross|6| You really think so?
Phoebe|5|" I'm telling you! Oh, okay! This is the part of the musical    where there'd be a really good convincing song.  ""Bam-bam,    don't take no for an answer. Bam-bam, don't let love fly away.    Bam-bam-bam-bam..."""
Rachel|1| Hi!
Phoebe|5| Can't a girl finish a song around here?
Joey|3| Hey!
Rachel|1| Hi! So I just dropped Emma off at my mom's.
Ross|6| Okay.
Joey|3| Oh, you're not taking her with you tonight?
Rachel|1| No, we decided that I would go ahead and set up first, and    then my mom would bring Emma to Paris on Sunday.
Phoebe|5| Wow, eight hour flight with a one-year old? Good luck, mom.
Rachel|1| Are you kidding? Eight hours with my mother talking about    Atkins? Good luck, Emma!
Ross|6| Alright, you know what? You're right. I should at least tell her   how I feel.
Joey|3| Ross, wait!
Ross|6| What? What?
Joey|3| Could you get me a muffin?
Gunther|0| Rachel?
Rachel|1| Yeah?
Gunther|0| I... I know you're leaving tonight, but I just have to tell   you. I love you.
Gunther|0| I... I don't know if that changes your plans at all, but I   thought you should know.
