Phoebe|5| Oh, hey Joey.
Joey|3| Uh, hey.
Phoebe|5| Listen, I need to ask you something. Ok, you know how my step dad's in prison.
Joey|3|  Yeah.
Phoebe|5| Yeah. Well, uhm... listen he was supposed to get a weekend furlough, so he'd come to the wedding tomorrow, but he just called and... uhm... well, apparently stabbing Iceman in the exercise yard just couldn't wait till Monday.
Joey|3| So he can't come?
Phoebe|5| No, and so there's no one to walk me down the aisle and... well, I would just really love it if you would do it.
Joey|3| Seriously? 
Phoebe|5| Yeah, you've... you know, sort of been like a dad to me. I mean, you've always, you know, looked out for me and shared your wisdom...
Joey|3| I am pretty wisdomous.
Phoebe|5| So... what do you say?
Joey|3| Are you kidding? Phoebe, I would be honored. 
Phoebe|5| Oh, thank you. I hope... I hope you know how much you mean to me.
Joey|3|  Listen, I hope... that you know...  I don't want you to see your father cry, GO TO YOUR ROOM!
 Phoebe|0| Oh.
Joey|3| Oh no, no, no, let your dad get this.
Phoebe|5|  Oh, it's my wedding planner. She's driving me crazy!  Hello... Hey, ok, stop screaming! Ok? So, halibut. All right, so salmon, either way. I don't-I don't... it doesn't matter to me! 
Monica|2|  Well, it matters to me!
Phoebe|5| Well, I don't care, so you pick!
Monica|2| Did you just hung up on me?  All right, look, I need you at the rehearsal dinner tonight at 1800 hours.
Phoebe|5| Uh-uh. Ok. What time is that.
Monica|2| You don't know military time?
Phoebe|5| Why, I must have been in missile training the day they taught that.
Monica|2| Just subtract twelve.
Phoebe|5| Ok, so... 1800 minus twelve is... one thousand, seven hundred and...
Monica|2|  Six o'clock!
Phoebe|5| Ok.
Monica|2| Ok. Hold on.  Geller here! No! I said it has to be there by 4 o'clock. Goodbye.  Oh, how hard it is to make an ice sculpture?
Phoebe|5| Ice sculpture? That sounds really fancy! I told you I just want a simple wedding.
Monica|2| Please... honey, leave the details to me. Now I wanna make this day as special for you as I can. Now, ok, I was thinking that the harpist should wear white.
Phoebe|5| What harpist? My friend Marjorie is playing the steel drums.
Monica|2| Ooh... she backed out.
Phoebe|5| She did? Why?
Monica|2|" I made her.  Steel drums don't really say ""elegant wedding"". Nor does Marjorie's overwhelming scent."
Phoebe|5|  Hey! She will shower when Tibet is free.
Chandler|4| Hey!
Phoebe|5| Hey!
Chandler|4| You look great. I'm so glad we're having this rehearsal dinner, you know, I so rarely get to practice my meals before I eat them. 
Phoebe|5| Okay, what did we say was your one gift to us?
Chandler|4| No stupid jokes. I thought that was for the actual wedding.
Phoebe|5| Rehearse it!
Ross|6| Hi! 
Mike|0| Thanks for coming you guys.
Ross|6| Oh,  hey, oh... I... I was-I was going for a hand shake.
Mike|0| Is that why your hand is pressed against my crotch?
Ross|6| That is why!
Mike|0| Yeah.
Phoebe|5| So Rach.
Rachel|1| Yeah.
Phoebe|5| Where is Emma?
Rachel|1| Oh, Monica made me send her to my mother's. Apparently babies and weddings don't mix.
Monica|2|  Are you still crying about your damn baby? Pheebs, you gotta keep the line moving, remember, 20 seconds per person. Your see these clowns all the time! 
Joey|3| Hey, you're Mike's parents, right?
Mike's mother|0| Yes, we are.
Joey|3| Ah, our little ones are growing up fast, uh?
Mike's father|0| How's that?
Joey|3| You know, on the one hand you're happy for them, but on the other hand it's hard to let go.
Mike's father|0| Who in God's name are you?
Joey|3| Hey, I'm not that fond of you either, ok buddy? But I'm just trying to be nice for the kids!
Chandler|4|  You know what I just realized? We have no idea what we're doing in the wedding tomorrow.
Ross|6| Yeah, I thought we'd be groomsmen, but wouldn't they have asked us by now? When did they ask you to be their bridesmaid?
Rachel|1| Uh... November?
Ross|6| I wanna say it's not looking good.
Rachel|1| Hey Pheebs...
Phoebe|5| What's up?
Rachel|1| Uhm... you haven't told these guys what they're doing in the wedding yet.
Chandler|4| Heh.
Phoebe|5| Uhm... well, they're not in the wedding.
Ross|6| What? 
Rachel|1| Well, this is really awkward  Oh, and I can leave!
Phoebe|5| I'm sorry you guys but, you know, Mike's got his brother and his friends from school so... you know, you were-you were... if it helps you, you were next in line, you just-you just missed the cut.
Ross|6| Oh, man!
Chandler|4| This is like figure skating team all over again.  I mean synchronized swimming.  I mean- I mean the balance beam.  Help me!
Ross|6| FOOTBALL!
Chandler|4| Thank you.
Monica|2|  Pheebs, spit that out, that has pork in it.
Phoebe|5| Oh! I though the pot stickers were supposed to be vegetarian!
Monica|2| Yeah, I changed them. I-I sent you a fax about it!
Phoebe|5| I don't have a fax machine.
Monica|2| Ah, well then there are gonna be a few surprises!
Ross|6| I can't believe we're gonna be the only people that aren't in this wedding.
Chandler|4| I know, I hate being left out of things.
Ross|6| And it's a wedding! It'd be weird if I'm not in it...
Mike|0| Hey guys, how is it going?
Chandler|4| Fine. We're just sitting here. Alone. Doing nothing. It's our rehearsal for tomorrow.
Mike|0| Yeah look, about tomorrow, I... I've got a question for ya. I just found out that one of my groomsmen had had an emergency and can't make it.
Chandler|4| What happened?
Ross|6| Who cares, AND?
Mike|0| ...and I was wondering if... you know, maybe one of you guys...  
Ross|6| I'll do it!
Chandler|4|  M-Me-me-me!
Mike|0| You both wanna do it? Uhm... there's only room for one.
Chandler|4| Pick me, I look great in a tux and I will not steal focus.
Ross|6| No, Mike, no, no. You wanna pick me, I mean... watch!  Huh?
Mike|0| You know, I really don't feel very comfortable making this decision. You know, Phoebe knows you better, I'm gonna let her choose. 
Ross|6|  Well, if Phoebe's choosing, then say hello to Mike's next groomsman.
Chandler|4| Oh, I will. But I will need a mirror... as he is me!
